location,site,type,year,sample.no,depth,density,swe,htc
BLKf,BLK,forest,2008,1,84,131.6414948,110.5788556,0.060653191
BLKf,BLK,forest,2008,2,86,159.504384,137.1737702,0.086974938
BLKf,BLK,forest,2008,3,82,170.699067,139.9732349,0.104471005
BLKf,BLK,forest,2008,4,61,137.6785917,83.98394096,0.091358787
BLKf,BLK,forest,2008,5,78,139.9732349,109.1791232,0.073848678
BLKf,BLK,forest,2008,6,80,174.9665437,139.9732349,0.112503846
BLKf,BLK,forest,2008,7,86,175.7803415,151.1710937,0.105630537
BLKf,BLK,forest,2008,8,50,145.5721643,72.78608217,0.12460458
BLKf,BLK,forest,2008,9,88,146.3356547,128.7753761,0.071542641
BLKf,BLK,forest,2008,10,64,174.9665437,111.9785879,0.140629807
BLKf,BLK,forest,2008,11,88,152.6980745,134.3743055,0.077898982
BLKf,BLK,forest,2008,12,60,144.6390094,86.78340566,0.102510171
BLKf,BLK,forest,2008,13,94,163.7984664,153.9705584,0.083914911
BLKf,BLK,forest,2008,14,68,144.0900948,97.98126445,0.089764925
BLKf,BLK,forest,2008,15,66,182.3893667,120.376982,0.148184379
BLKf,BLK,forest,2008,16,74,174.0207786,128.7753761,0.12031446
BLKf,BLK,forest,2008,17,63,159.9694114,100.7807292,0.119420992
BLKf,BLK,forest,2008,18,76,184.1753091,139.9732349,0.131218948
BLKf,BLK,forest,2008,19,66,152.6980745,100.7807292,0.103865309
BLKf,BLK,forest,2008,20,82,187.7689737,153.9705584,0.126409916
BLKf,BLK,forest,2008,21,62,198.6716883,123.1764467,0.187166279
BLKf,BLK,forest,2008,22,78,129.206063,100.7807292,0.062924318
BLKf,BLK,forest,2008,23,58,197.8931942,114.7780526,0.19850939
BLKf,BLK,forest,2008,24,84,146.6386271,123.1764467,0.075260104
BLKf,BLK,forest,2008,25,66,199.3558195,131.5748408,0.177035854
BLKf,BLK,forest,2008,26,84,133.3078428,111.9785879,0.062198433
BLKf,BLK,forest,2008,27,59,185.0493614,109.1791232,0.170635937
BLKf,BLK,forest,2008,28,90,146.1942676,131.5748408,0.069817695
BLKf,BLK,forest,2008,29,68,156.4406743,106.3796585,0.105812695
BLKf,BLK,forest,2008,30,88,146.3356547,128.7753761,0.071542641
BLKf,BLK,forest,2008,31,78,157.9185215,123.1764467,0.093998055
BLKf,BLK,forest,2008,32,74,166.4546578,123.1764467,0.11007977
BLKf,BLK,forest,2008,33,72,190.5191253,137.1737702,0.148214943
BLKe,BLK,treeline,2008,1,72,190.5191253,137.1737702,0.148214943
BLKe,BLK,treeline,2008,2,62,189.641157,117.5775173,0.17053787
BLKe,BLK,treeline,2008,3,94,241.2304687,226.7566406,0.182005201
BLKe,BLK,treeline,2008,4,86,218.0978312,187.5641348,0.162611619
BLKe,BLK,treeline,2008,5,66,203.5974326,134.3743055,0.184649438
BLKe,BLK,treeline,2008,6,73,195.5790406,142.7726996,0.154052621
BLKe,BLK,treeline,2008,7,66,233.2887249,153.9705584,0.24243253
BLKe,BLK,treeline,2008,8,70,231.9556465,162.3689525,0.225974372
BLKe,BLK,treeline,2008,9,70,199.9617642,139.9732349,0.16793577
BLKe,BLK,treeline,2008,10,80,253.7014883,202.9611907,0.236539336
BLKe,BLK,treeline,2008,11,66,182.3893667,120.376982,0.148184379
BLKe,BLK,treeline,2008,12,64,229.6435886,146.9718967,0.242256817
BLKe,BLK,treeline,2008,13,74,147.5393557,109.1791232,0.086483125
BLKe,BLK,treeline,2008,14,80,244.9531611,195.9625289,0.220507538
BLKe,BLK,treeline,2008,15,64,201.2115252,128.7753761,0.18598292
BLKe,BLK,treeline,2008,16,62,207.7022196,128.7753761,0.204568102
