year,RID_Fpg,ROK_Fpg,FRO_Fpg,FRO_Xpg,BLK_Fpg,BLK_Fpm,BLM_Xpm,BLK_Fll,BLK_Xll,BLK_Fll_n,BLK_Xll_n,BLK_Fpg_n,ROK_Fpg_n,FRO_Fpg_n,FRO_Xpg_n,RID_Fpg_n,BLK_Fpm_n,BLM_Xpm_n
1600,,0.123467403,,,,,,,,,,,1,,,,,
1601,,0.149538796,,,,,,,,,,,1,,,,,
1602,,0.160687737,,,,,,,,,,,1,,,,,
1603,,0.197735164,,,,,,,,,,,1,,,,,
1604,,0.243333036,,,,,,,,,,,1,,,,,
1605,,0.302307799,,,,,,,,,,,1,,,,,
1606,,0.311712325,,,,,,,,,,,1,,,,,
1607,,0.445641805,,,,,,,,,,,1,,,,,
1608,,0.404651255,,,,,,,,,,,1,,,,,
1609,,0.265624293,,,,,,,,,,,1,,,,,
1610,,0.204116806,,,,,,,,,,,1,,,,,
1611,,0.173809825,,,,,,,,,,,1,,,,,
1612,,0.455373549,,,,,,,,,,,1,,,,,
1613,,0.356064398,,,,,,,,,,,1,,,,,
1614,,0.615780774,,,,,,,,,,,1,,,,,
1615,,0.355535563,,,,,,,,,,,1,,,,,
1616,,0.618593124,,,,,,,,,,,1,,,,,
1617,,0.515422186,,,,,,,,,,,1,,,,,
1618,,0.418299402,,,,,,,,,,,1,,,,,
1619,,0.447140953,,,,,,,,,,,1,,,,,
1620,,0.288425279,,,,,,,,,,,1,,,,,
1621,,0.433273533,,,,,,,,,,,1,,,,,
1622,,0.432613532,,,,,,,,,,,1,,,,,
1623,,0.531567354,,,,,,,,,,,1,,,,,
1624,,0.392453975,,,,,,,,,,,1,,,,,
1625,,0.485627892,,,,,,,,,,,1,,,,,
1626,,0.470720516,,,,,,,,,,,1,,,,,
1627,,0.318135216,,,,,,,,,,,1,,,,,
1628,,0.260768419,,,,,,,,,,,1,,,,,
1629,,0.211735467,,,,,,,,,,,1,,,,,
1630,,0.295739647,,,,,,,,,,,1,,,,,
1631,,0.218500071,,,,,,,,,,,1,,,,,
1632,,0.188648762,,,,,,,,,,,1,,,,,
1633,,0.239044268,,,,,,,,,,,1,,,,,
1634,,0.258181517,,,,,,,,,,,1,,,,,
1635,,0.236130334,,,,,,,,,,,1,,,,,
1636,,0.152625683,,,,,,,,,,,1,,,,,
1637,,0.129760413,,,,,,,,,,,1,,,,,
1638,,0.100670037,,,,,,,,,,,1,,,,,
1639,,0.094909431,,,,,,,,,,,1,,,,,
1640,,0.132907567,,,,,,,,,,,1,,,,,
1641,,0.148313232,,,,,,,,,,,1,,,,,
1642,,0.122699129,,,,,,,,,,,1,,,,,
1643,,0.103674202,,,,,,,,,,,1,,,,,
1644,,0.128763672,,,,,,,,,,,1,,,,,
1645,,0.125147746,,,,,,,,,,,1,,,,,
1646,,0.499156433,,,,,,,,,,,2,,,,,
1647,,0.386629927,,,,,,,,,,,2,,,,,
1648,,0.420348538,,,,,,,,,,,2,,,,,
1649,,0.325127613,,,,,,,,,,,2,,,,,
1650,,0.316394477,,,,,,,,,,,2,,,,,
1651,,0.276086706,,,,,,,,,,,2,,,,,
1652,,0.326605455,,,,,,,,,,,2,,,,,
1653,,0.358114963,,,,,,,,,,,2,,,,,
1654,,0.379741136,,,,,,,,,,,2,,,,,
1655,,0.395493918,,,,,,,,,,,2,,,,,
1656,,0.434163671,,,,,,,,,,,2,,,,,
1657,,0.404960544,,,,,,,,,,,2,,,,,
1658,,0.520518234,,,,,,,,,,,2,,,,,
1659,,0.488097145,,,,,,,,,,,2,,,,,
1660,,0.449732827,,,,,,,,,,,2,,,,,
1661,,0.541519103,,,,,,,,,,,2,,,,,
1662,,0.414080477,,,,,,,,,,,2,,,,,
1663,,0.416609155,,,,,,,,,,,2,,,,,
1664,,0.410177306,,,,,,,,,,,2,,,,,
1665,,0.348840129,,,,,,,,,,,2,,,,,
1666,,0.332735299,,,,,,,,,,,2,,,,,
1667,,0.282560728,,,,,,,,,,,2,,,,,
1668,,0.394556644,,,,,,,,,,,2,,,,,
1669,,0.310508164,,,,,,,,,,,2,,,,,
1670,,0.262164422,,,,,,,,,,,2,,,,,
1671,,0.302062633,,,,,,,,,,,2,,,,,
1672,,0.287210741,,,,,,,,,,,2,,,,,
1673,,0.252225344,,,,,,,,,,,2,,,,,
1674,,0.231876315,,,,,,,,,,,2,,,,,
1675,,0.33946503,,,,,,,,,,,2,,,,,
1676,,0.402642806,,,,,,,,,,,2,,,,,
1677,,0.327591847,,,,,,,,,,,2,,,,,
1678,,0.29839925,,,,,,,,,,,2,,,,,
1679,,0.367907051,,,,,,,,,,,2,,,,,
1680,,0.386409929,,,,,,,,,,,2,,,,,
1681,,0.422087928,,,,,,,,,,,2,,,,,
1682,,0.434050945,,,,,,,,,,,2,,,,,
1683,,0.236314087,,,,,,,,,,,2,,,,,
1684,,0.271395013,,,,,,,,,,,2,,,,,
1685,,0.23655732,,,,,,,,,,,2,,,,,
1686,,0.207540788,,,,,,,,,,,2,,,,,
1687,,0.193132565,,,,,,,,,,,2,,,,,
1688,,0.242562011,,,,,,,,,,,2,,,,,
1689,,0.266106628,,,,,,,,,,,2,,,,,
1690,,0.173887564,,,,,,,,,,,2,,,,,
1691,,0.179992804,,,,,,,,,,,2,,,,,
1692,,0.191236513,,,,,,,,,,,2,,,,,
1693,,0.460224919,,,,,,,,,,,3,,,,,
1694,,0.212533873,,,,,,,,,,,3,,,,,
1695,,0.20780497,,,,,,,,,,,3,,,,,
1696,,0.191936438,,,,,,,,,,,3,,,,,
1697,,0.342425255,,,,,,,,,,,3,,,,,
1698,,0.368858362,,,,,,,,,,,3,,,,,
1699,,0.549231157,,,,,,,,,,,3,,,,,
1700,,0.5382417,,,,,,,,,,,3,,,,,
1701,,0.513115434,,,,,,,,,,,3,,,,,
1702,,0.686403563,,,,,,,,,,,3,,,,,
1703,,0.63149735,,,,,,,,,,,3,,,,,
1704,,0.393845668,,,,,,,,,,,3,,,,,
1705,,0.481488294,,,,,,,,,,,3,,,,,
1706,,0.358728338,,,,,,,,,,,3,,,,,
1707,,0.39786316,,,,,,,,,,,3,,,,,
1708,,0.185383361,,,,,,,,,,,3,,,,,
1709,,0.274285664,,,,,,,,,,,3,,,,,
1710,,0.364407957,,,,,,,,,,,3,,,,,
1711,,0.323945586,,,,,,,,,,,3,,,,,
1712,,0.22142606,,,,,,,,,,,3,,,,,
1713,,0.258310702,,,,,,,,,,,3,,,,,
1714,,0.233218596,,,,,,,,,,,3,,,,,
1715,,0.257990666,,,,,,,,,,,3,,,,,
1716,,0.338052267,,,,,,,,,,,3,,,,,
1717,,0.309721813,,,,,,,,,,,3,,,,,
1718,,0.585812313,,,,,,,,,,,5,,,,,
1719,,0.671909509,,,,,,,,,,,5,,,,,
1720,,0.658772873,,,,,,,,,,,5,,,,,
1721,,0.685384132,,,,,,,,,,,5,,,,,
1722,,0.578437931,,,,,,,,,,,5,,,,,
1723,,0.5159576,,,,,,,,,,,5,,,,,
1724,,0.571378088,,,,,,,,,,,5,,,,,
1725,,0.521237093,,,,,,,,,,,5,,,,,
1726,,0.602076048,,,,,,,,,,,5,,,,,
1727,,0.477431362,,,,,,,,,,,6,,,,,
1728,,0.547215292,,,,,,,,,,,6,,,,,
1729,,0.42035937,,,,,,,,,,,8,,,,,
1730,,0.435534116,,,,,,,,,,,8,,,,,
1731,,0.467676272,,,,,,,,,,,8,,,,,
1732,,0.56721168,,,,,,,,,,,10,,,,,
1733,,0.497533083,,,,,,,,,,,13,,,,,
1734,,0.355096183,,,,,,,,,,,13,,,,,
1735,,0.373781612,,,,,,,,,,,15,,,,,
1736,,0.428049604,,,,,,,,,,,15,,,,,
1737,,0.491203087,,,,,,,,,,,15,,,,,
1738,,0.509226399,,,,,,,,,,,15,,,,,
1739,,0.466033171,,,,,,,,,,,17,,,,,
