decade,Pg,Pm,Ll
1505,0,0,0
1515,0,0,0
1525,0,0,0
1535,0,0,0
1545,0,0,0
1555,0,0,0
1565,0,0,0
1575,0.002380952,0,0
1585,0.002380952,0,0
1595,0,0,0
1605,0,0,0
1615,0.002380952,0,0
1625,0.002380952,0,0
1635,0,0,0
1645,0,0,0
1655,0,0,0
1665,0.002380952,0,0
1675,0.002380952,0,0
1685,0.002380952,0,0
1695,0.002380952,0,0
1705,0.007142857,0,0
1715,0.00952381,0,0
1725,0.016666667,0.010416667,0
1735,0.011904762,0,0
1745,0.004761905,0,0.017699115
1755,0.019047619,0,0
1765,0.007142857,0.010416667,0
1775,0.00952381,0.010416667,0
1785,0.002380952,0.020833333,0
1795,0.002380952,0.020833333,0
1805,0,0.020833333,0.008849558
1815,0.002380952,0.020833333,0
1825,0.011904762,0.020833333,0
1835,0.016666667,0.041666667,0.008849558
1845,0.011904762,0.052083333,0
1855,0.016666667,0.072916667,0.017699115
1865,0.023809524,0.03125,0.008849558
1875,0.026190476,0.052083333,0
1885,0.038095238,0.03125,0.026548673
1895,0.042857143,0.072916667,0.097345133
1905,0.05952381,0.041666667,0.008849558
1915,0.069047619,0.020833333,0.079646018
1925,0.1,0.083333333,0.03539823
1935,0.114285714,0.09375,0.026548673
1945,0.130952381,0.0625,0.017699115
1955,0.116666667,0.010416667,0.026548673
1965,0.05,0.072916667,0.044247788
1975,0.030952381,0.052083333,0.132743363
1985,0.021428571,0.041666667,0.212389381
1995,0.007142857,0.03125,0.230088496
