Year,1624.1b,1624.1a,1624.2a,1920.1a,1920.1b,1920.2a,1920.2b,1920.3a,1920.3b,1921.1a,1921.1b,1921.2a,1921.2b,1922.1a,1922.1b,1923.1a,1923.1b,1923.2a,1923.2b,1924.1a,1924.1b,1919.1a,1919.1b,1919.2a,1919.2b,1618.2a,1618.2b,1619.1a,1619.1b,1619.2a,1619.2b,1620.1a,1620.1b,1620.2a,1620.2b,1621.1a,1621.1b,1621.2a,1621.2b,1566.1a,1566.1b,1566.2a,1566.2b,1567.1a,1567.1b,1567.2b,1567.2a,1568.1a,1568.1b,1568.2a,1568.2b,1569.1a,1569.1b,1569.2a,1569.2b,1570.1a,1570.1b,1570.2a,1570.2b,1571.1a,1571.1b,1571.2a,1571.2b,1572.1a,1572.1b,1622.1a,1622.1b,1622.2b,1622.2a,1623.2a,1623.2b,1928.1a,1928.1b,1929.1a,1929.1b,1929.2a,1929.2b,1930.1a,1930.1b,1930.2a,1930.2b,1931.1a,1931.1b,1931.2b,1931.2a,1932.1a,1932.1b,1932.2a,1932.2b,1612.1a,1612.1b,1612.2a,1612.2b,1613.1a,1613.1b,1613.2a,1613.2b,1614.1a,1614.1b,1614.2a,1614.2b,1925.2a,1925.2b,1925.1a,1925.1b,1926.1a,1926.1b,1926.2a,1926.2b,1927.1a,1927.1b,1927.2b,1927.2a,1924.2a,1924.2b,1573.1a,1573.1b,1573.2a,1573.2b,1574.1a,1574.1b,1574.2a,1574.2b,1575.1a,1575.1b,1575.2a,1576.2a,1576.2b,1914.1a,1914.1b,1914.2a,1914.2b,1915.1a,1915.1b,1915.2a,1915.2b,1916.1a,1916.1b,1916.2a,1916.2b,1917.1a,1917.1b,1917.2a,1917.2b,1933.1a,1933.1b,1933.2a,1933.2b,1934.1a,1934.1b,1934.2a,1934.2b,1935.2a,1935.2b,1942.1a,1942.1b,1942.2a,1942.2b,1943.1a,1943.1b,1943.2a,1943.2b,1615.1a,1615.1b,1615.2a,1615.2b,1616.1a,1616.1b,1616.2a,1616.2b,1617.1a,1617.1b,1617.2b,1617.2a,1618.1a,1618.1b,1561.1b,1561.1a,1560.1a,1560.1b,1560.2a,1560.2b,1561.2a,1561.2b,1562.1a,1562.1b,1562.2a,1562.2b,1563.1a,1563.1b,1563.2a,1563.2b,1564.1a,1564.1b,1564.2a,1564.2b,1565.1a,1565.1b,1565.2a,1565.2b,1936.1a,1936.1b,1936.2a,1936.2b,1937.1a,1937.1b,1937.2a,1937.2b,1938.1a,1938.1b,1938.2a,1938.2b,1939.1a,1939.1b,1837.1a,1837.1b,1837.2a,1837.2b,1838.1a,1838.1b,1838.2a,1838.2b,1939.2a,1939.2b,1940.1a,1940.1b,1940.2a,1940.2b,1941.1a,1941.1b,1941.2a,1941.2b
1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
