Year,1845.1b,1845.1a,1845.2a,1845.2b,1847.1a,1847.1b,1847.2a,1847.2b,1848.1a,1848.1b,1848.2b,1848.2a,1953.1b,1953.1a,1953.2a,1953.2b,1955.1b,1955.1a,1955.2a,1955.2b,1839.1a,1839.1b,1839.2a,1839.2b,1841.1a,1841.1b,1842.1a,1842.1b,1842.2a,1842.2b,1843.1a,1843.1b,1843.2a,1843.2b,1844.1a,1844.1b,1559.1a,1559.1b,1559.2a,1559.2b,1558.1a,1558.1b,1558.2a,1558.2b,1557.1a,1557.1b,1557.2a,1557.2b,1850.1a,1850.1b,1850.2a,1850.2b,1555.1a,1555.1b,1555.2a,1555.2b,1554.1a,1554.1b,1553.1a,1553.1b,1553.2a,1553.2b,1554.2a,1554.2b,1552.1a,1552.1b,1552.2a,1552.2b,1556.1a,1556.1b,1556.2a,1556.2b
1862,,,0.576,0.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,,,0.161,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,,,0.275,0.29,0.561,0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,,,0.409,0.521,0.373,0.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,,,0.688,0.575,0.306,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,,,0.753,0.799,0.491,0.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,,,0.626,0.818,1.051,0.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,,,0.465,0.488,0.754,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,,,0.349,0.453,0.708,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,,,0.307,0.371,0.673,0.554,,,,,,,,,,,,,,,,,,,,,,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,,,0.235,0.348,0.696,0.412,,,,,,,,,,,,,,,,,,,,,,0.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,,,0.195,0.254,0.675,0.524,,,,,,,,,,,,,,,,,,,,,,0.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,,,0.331,0.205,0.553,0.621,,,,,,,,,,,,,,,,,,,,,,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,,,0.159,0.176,0.452,0.372,,,,,,,,,,,,,,,,,,,,,0.982,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,,,0.215,0.23,0.478,0.355,,,,,,,,,,,,,,,,,,,,,1.251,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,,,0.279,0.226,0.525,0.404,,,,,,,,,,,,,,,,,0.246,0.258,,,1.199,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,,,0.275,0.394,0.375,0.305,,,,,,,,,,,,,,,,,0.273,0.283,,,1.046,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,,,0.356,0.399,0.336,0.243,,,,,,,,,,,,,,,,,0.475,1.057,,,0.557,0.12,,,,,,,,,,,,,,,,,,,,,,,1.569,,,,,,,,,,,,,,,,,,,,,
1880,,,0.376,0.316,0.359,0.291,,,,0.278,,,,,,,,,,,,,0.493,0.788,,,0.55,0.07,,,,,,,,,,,,,,,,,,,,,,,1.708,,,,,,,,,,,,,,,,,,,,,
1881,,,0.328,0.335,0.246,0.227,,,,0.246,,,,,,,,,,,,,0.817,0.94,,,0.337,0.063,,,,,,,,,,,,,,,,,,,,,,,1.616,1.668,,,,,,,,,,,,,,,,,,,,
1882,,,0.392,0.225,0.068,0.208,,,,0.161,,,,,,,,,,,,,0.969,1.227,,,0.294,0.054,,,,,,,,,,,,,,,,,,,,,,,1.305,1.502,,,,,,,,,,,,,,,,,,,,
1883,,,0.251,0.167,0.208,0.155,,,,0.185,,,,,,,,,,,,,0.916,1.035,,,0.361,0.08000001,,,,,,,,,,,,,,,,,,,,,,,1.301,1.165,,,,,,,,,,,,,,,,,,,,
1884,,,0.274,0.207,0.316,0.143,,,,0.17,,,,,,,,,,,,,0.742,0.945,,,0.419,0.072,,,,,,,,,,,,,,,,,,,,,,,1.222,0.634,,,,,,,,,,,,,,,,,,,,
1885,,,0.277,0.217,0.384,0.163,,,,0.192,,,,,,,,,,,,,0.354,0.89,,,0.299,0.148,,,,,,,,,,,,,,,,,,,,,,,1.204,1.034,,,,,,,,,,,,,,,,,,,,
1886,,,0.234,0.26,0.64,0.241,,,,0.161,,,,,,,,,,,,,0.278,0.873,,,0.498,0.136,,,,,,,,,,,,,,,,,,,,,,,0.949,1.11,,,,,,,,,,,,,,,,,,,,
1887,,,0.271,0.169,0.471,0.237,,,,0.331,,,,,,,,,,,,,0.226,0.4,,,0.222,0.279,,,,,,,,,,,,,,,,,,,,,,,0.851,1.972,,,,,,,,,,,,,,,,,,,,
1888,,,0.225,0.127,0.466,0.189,,,,0.335,0.332,0.285,,,,,,,,,,,0.319,0.497,,,0.404,0.245,,,,,,,,,,,,,,,,,,,,,,,0.751,1.076,,,,,,,,,,,,,,,,,,,,
1889,0.788,1.59,0.206,0.154,0.481,0.15,,,,0.35,0.302,0.4,,,,,,,,,,,0.387,0.432,,,0.422,0.151,,,,,,,,,,,,,,,,,,,,,,,0.944,1.145,,,,,,,,,,,,,,,,,,,,
1890,0.669,0.684,0.262,0.145,0.401,0.136,,,,0.428,0.272,0.129,,,,,,,,,,,0.453,0.491,,,0.5050001,0.207,,,,,,,,,,,,,,,,,,,,,,,0.694,1.117,,,,,,,,,,,,,,,,,,,,
1891,0.526,0.425,0.276,0.072,0.378,0.121,,,,0.417,0.332,0.221,,,,,,,,,,,0.466,0.543,,,0.494,0.127,,,,,,,,,,,,,,,,,,,,,2.331,3.348,0.574,1.077,,,,,,,,,,,,,,,,,,,,
1892,0.5050001,0.258,0.223,0.094,0.393,0.134,,,,0.303,0.33,0.278,,,,,,,,,,,0.399,0.556,,,0.517,0.108,,,,,,,,,,,,,,,,,,,,,1.534,3.188,0.556,1.108,,,,,,,,,,,,,,,,,,,,
1893,0.345,0.245,0.231,0.106,0.515,0.152,,,,0.475,0.247,0.236,,,,,,,,,,,0.243,0.69,,,0.664,0.089,,,,,,,,,,,,,,,,,,,,,1.264,2.131,0.456,1.164,,,,,,,,,,,,,,,,,,,,
1894,0.407,0.494,0.248,0.135,0.64,0.211,,,,0.462,0.35,0.221,,,,,,,,,,,0.342,0.747,,,0.605,0.101,,,,,,,,,,,,,,,,,,,,,1.17,2.543,0.592,1.253,,,,,,,,,,,,,,,,,,,,
1895,0.363,0.457,0.26,0.106,0.569,0.235,,,,0.469,0.292,0.225,,,,,,,,,,,0.264,0.758,,,0.648,0.109,,,,,,,,,,,,,,,,,,,,,1.016,2.171,0.643,1.203,,,,,,,,,,,,,,,,,,,,
1896,0.41,0.273,0.209,0.085,0.57,0.158,,,,0.608,0.352,0.294,,,,,,,,,,,0.248,0.8270001,,,0.7,0.124,,,,,,,,,,,,,,,,,,,,,0.9520001,2,0.511,1.328,,,,,,,,,,,,,,,,,,,,
1897,0.38,0.274,0.136,0.118,0.702,0.151,,,,0.458,0.289,0.284,,,,,,,,,,,0.318,0.802,,,0.641,0.126,,,,,,,,,,,,,,,,,,,,,0.9350001,2.029,0.5510001,1.596,,,,,,,,,,,,,,,,,,,,
1898,0.216,0.2,0.13,0.085,0.64,0.124,,,,0.442,0.314,0.336,,,,,,,,,,,0.219,0.815,,,0.666,0.158,,,,,,,,,,,,,,,,,,,,,0.907,1.739,0.613,1.626,,,,,,,,,,,,,,,,,,,,
