Year,338.1a10,338.1b10,338.2a10,338.2b10,339.1b10,339.2b10,340.1a10,340.1b10,340.2a10,340.2b10,342.1a10,342.1b10,342.2a10,342.2b10,343.1a10,343.1b10,343.2a10,343.2b10,344.1a10,344.1b10,344.2a10,344.2b10
1815,,,,,,0.468,,,,,,,,,,,,,,,,
1816,,,,,,0.433,,,,,,,,,,,,,,,,
1817,,,,,,0.306,,,,,,,,,,,,,,,,
1818,,,,,,0.221,,,,,,,,,,,,,,,,
1819,,,,,,0.186,,,,,,,,,,,,,,,,
1820,,,,,,0.122,,,,,,,,,,,,,,,,
1821,,,,,,0.09,,,,,,,,,,,,,,,,
1822,,,,,,0.076,,,,,,,,,,,,,,,,
1823,,,,,,0.053,,,,,,,,,,,,,,,,
1824,,,,,,0.046,,,,,,,,,,,,,,,,
1825,,,,,,0.07300001,,,,,,,,,,,,,,,,
1826,,,,,,0.034,,,,,,,,,,,,,,,,
1827,,,,,,0.024,,,,,,,,,,,,,,,,
1828,,,,,,0.057,,,,,,,,,,,,,,,,
1829,,,,,,0.057,,,,,,,,,,,,,,,,
1830,,,,,,0.048,,,,,,,,,,,,,,,,
1831,,,,,,0.064,,,,,,,,,,,,,,,,
1832,,,,,,0.082,,,,,,,,,,,,,,,,
1833,,,,,,0.113,,,,,,,,,,,,,,,,
1834,,,,,,0.082,,,,,,,,,,,,,,,,
1835,,,,,,0.077,,,,,,,,,,,,,,,,
1836,,,,,,0.069,,,,,,,,,,,,,,,,
1837,,,,,,0.074,,,,,,,,,,,,,,,,
1838,,,,,,0.041,,,,,,,,,,,,,,,,
1839,,,,,,0.087,,,,,,,,,,,,,,,,
1840,,,,,,0.068,,,,,,,,,,,,,,,,
1841,,,,,,0.055,,,,,,,,,,,,,,,,
1842,,,,,0.356,0.063,,,,,,,,,,,,,,,,
1843,,,,,0.215,0.057,,,,,,,,,,,,,,,,
1844,,,,,0.235,0.086,,,,,,,,,,,,,,,,
1845,,,,,0.153,0.093,,,,,,,,,,,,,,,,
1846,,,,,0.099,0.115,,,,,,,,,,,,,,,,
1847,,,,,0.102,0.075,,,,,,,,,,,,,,,,
1848,,,,,0.225,0.09100001,,,,,,,,,,,,,,,,
1849,,,,,0.257,0.044,,,,,,,,,,,,,,,,
1850,,,,,0.221,0.055,,,,,,,,,,,,,,,,
1851,,,,,0.303,0.072,,,,,,,,,,,,,,,,
1852,,,,,0.12,0.051,,,,,,,,,,,,,,,,
1853,,,,,0.199,0.031,,,,,,,,,,,,,,,,
1854,,,,,0.153,0.056,,,,,,,,,,,,,,,,
