Year,88.2b,88.1a,88.1b,86.2a,86.2b,86.1a,86.1b,213.2a,213.2b,213.1a,213.1b,210.2a,210.2b,210.1a,210.1b,780.1a,780.1b,780.2a,780.2b,782.1a,782.1b,782.2a,782.2b,776.2a,776.2b,776.1a,776.1b,774.2a,774.2b,2a,2b,1a,1b,337.1a,337.1b,337.2a,337.2b,344.1a,344.1b,344.2a,344.2b,343.2a,343.1b,342.2a,342.1a,342.1b,341.1a,341.1b,340.2a,340.2b,340.1a,340.1b,339.2a,339.2b,LT2b,LT2a,206.2a,206.2b,206.1a,206.1b,84.2,LT1a,LT1b,84.1a,209.2a,209.2b,209.1a,209.1b,EF3.1Aa,EF3.1Ab,EF3.1Ba,EF3.1Bb,2.2a,2.2b,2.1a,2.1b,754.1a,754.1b,754.2a,754.2b,751.1a,751.1b,751.2a,751.2b,756.1a,756.1b,756.2a,756.2b,752.1a,752.1b,752.2a,752.2b,749.1a,749.1b,749.2a,749.2b,755.1a,755.1b,755.2a,755.2b,751.2Aa,751.2Ab,203.2b,203.2a,256.2a,256.2b,262.2b,262.2a,263.1a,263.1b,264.2b,269.2a,269.2b,256.1a,256.1b,269.1b,269.1a,262.1a,262.1b,98.2a,98.2b,263.2b,263.2a,203.1a,203.1b,110.1a,110.1b,110.2a,110.2b,111.2Aa,111.2Ab,108a,108b,255.1a,255.1b,255.2a,255.2b,247.1a,247.1b,744.1a,744.1b,743.2b,743.1a,743.1b,246.1a,246.1b,338.1b,338.1a,771.2a,771.2b,771.1b,771.1a,772.1a,772.1b,772.2b,772.2a,773.2a,773.2b,773.1b,773.1a,774.1b,768.2b,768.1a,767.1a,778.1a,778.2b,783.2a,783.2b,777.1a,777.1b,777.2a,777.2b,785.1b,785.2a,785.2b,781.1b,788.2a,788.1a,787.2b,787.2a,787.1a,787.1b,779.2a,779.2b,779.1b,779.1a,775.2a,775.2b,775.1a,766.2a,766.2b,766.1a,769.1b,769.2a,769.2b,770.1b,770.1a,770.2b,770.2a,761.1a,761.1b,761.2b,761.2a,759.1b,759.1a,759.2a,759.2b,760.1a,760.2a,760.2b,758.1a,758.1b,758.2b,757.1a,757.1b,765.1b,765.2a,765.2b,753.2b,753.1b,753.1a,764.2b,764.2a,764.1b,762.2a,762.2b,762.1a,762.1b,63.2a,63.2b,62.2a,62.2b,#?b,#?a,57.1a,57.1b,62.1a,62.1b,60.2a,60.2b,202.1a,202.1b,202.2a,202.2b,53.1a,53.1b,111.2a,111.2b,205.2a,205.2b,53.2a,53.2b,93.1a,93.1b,92.2a,92.2b,92.1a,92.1b,90.2a,90.2b,90.1a,90.1b,93.2a,93.2b,94.1a,94.1b
1808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.438,,,,,,,,,,,,,,
1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353,,,,,,,,,,,,,,
1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.488,,,,,,,,0.176,,,,,,,,,,,,,,
1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341,,,,,,,,0.302,,,,,,,,,,,,,,
1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234,,,,,,,,0.57,,,,,,,,,,,,,,
1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379,,,,,,,,0.621,,,,,,,,,,,,,,
1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.385,,,,,,,,0.67,,,,,,,,,,,,,,
1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.802,,,,,,,,0.558,,,,,,,,,,,,,,
1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.686,,,,,,,,0.433,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.643,,,,,,,,0.229,,,,,,,,,,,,,,
