location,site,type,year,sample.no,depth,density,swe,htc
T10c,T10,TreeIsland,2012,1,33,305.3961489,100.7807292,0.830922469
T10c,T10,TreeIsland,2012,2,68,263.4790305,179.1657407,0.300144598
T10c,T10,TreeIsland,2012,3,47,285.9027777,134.3743055,0.511312279
T10c,T10,TreeIsland,2012,4,26,344.5495014,89.58287036,1.342385443
T10c,T10,TreeIsland,2012,5,38,322.6751416,122.6165538,0.805554174
T10c,T10,TreeIsland,2012,6,27,316.2358271,85.38367331,1.088944404
T10c,T10,TreeIsland,2012,7,22,330.845828,72.78608217,1.462769764
T10c,T10,TreeIsland,2012,8,50,349.9330873,174.9665437,0.720024614
T10c,T10,TreeIsland,2012,9,42,369.9292638,155.3702908,0.957933621
T10c,T10,TreeIsland,2012,10,36,308.7187459,111.1387485,0.778342657
T10c,T10,TreeIsland,2012,11,48,361.5975236,173.5668113,0.80086071
T10c,T10,TreeIsland,2012,12,77,247.2254539,190.3635995,0.233368896
T10c,T10,TreeIsland,2012,13,84,383.260048,321.9384403,0.514108925
T10c,T10,TreeIsland,2012,14,75,358.3314814,268.7486111,0.503333686
T10c,T10,TreeIsland,2012,15,96,262.4498155,251.9518229,0.210944711
T10c,T10,TreeIsland,2012,13,43,341.7951086,146.9718967,0.79874943
T10c,T10,TreeIsland,2012,14,70,319.9388227,223.9571759,0.429915571
T10c,T10,TreeIsland,2012,15,74,340.4754363,251.9518229,0.460561023
T10c,T10,TreeIsland,2012,16,53,396.1506649,209.9598524,0.870547032
T10c,T10,TreeIsland,2012,17,70,339.9349991,237.9544994,0.485334375
T10c,T10,TreeIsland,2012,18,68,339.6409377,230.9558376,0.498744914
T10c,T10,TreeIsland,2012,19,71,354.8617224,251.9518229,0.521443543
T10c,T10,TreeIsland,2012,20,62,361.2212514,223.9571759,0.6187315
T10c,T10,TreeIsland,2012,21,92,334.7186053,307.9411169,0.358029828
T10c,T10,TreeIsland,2012,1,44,254.4967908,111.9785879,0.432772119
T10c,T10,TreeIsland,2012,2,52,333.7823295,173.5668113,0.629898638
T10c,T10,TreeIsland,2012,3,58,337.8664292,195.9625289,0.57864129
T10c,T10,TreeIsland,2012,4,62,288.9770012,179.1657407,0.39598816
T10c,T10,TreeIsland,2012,5,78,358.9057306,279.9464699,0.485527142
T10c,T10,TreeIsland,2012,6,72,357.7093782,257.5507523,0.522486997
T10c,T10,TreeIsland,2012,7,60,382.5935088,229.5561053,0.717251186
T10c,T10,TreeIsland,2012,8,52,279.9464699,145.5721643,0.44309207
T10c,T10,TreeIsland,2012,9,58,299.253123,173.5668113,0.453938188
T10c,T10,TreeIsland,2012,10,82,320.9142459,263.1496817,0.36924232
T10c,T10,TreeIsland,2012,11,80,307.9411169,246.3528935,0.348491913
T10c,T10,TreeIsland,2012,12,64,297.4431242,190.3635995,0.406420143
T10d,T10,Deflation,2012,1,8,335.9357638,26.87486111,4.147341775
T10d,T10,Deflation,2012,2,5,330.3368344,16.51684172,6.416398542
T10d,T10,Deflation,2012,3,6,303.2753424,18.19652054,4.506820731
T10d,T10,Deflation,2012,13,20,202.9611907,40.59223813,0.6055407
T10d,T10,Deflation,2012,14,28,259.9502934,72.78608217,0.709528628
T10d,T10,Deflation,2012,15,17,312.8813487,53.18982927,1.693003122
T10d,T10,Deflation,2012,16,12,338.2686511,40.59223813,2.803429168
T10d,T10,Deflation,2012,17,24,373.2619598,89.58287036,1.70672501
