season,year,air.pp.15,air.pp.0,air.pp.neg0.8,air.pp.neg1.5,air.pp.neg2.3,air.pp.neg3.0,air.pp.neg6.1,air.pp.neg9.1,air.pp.neg12.2,air.pp.neg15
freeze,2007,-17.58074522,-8.114465217,-0.123073913,-0.23828,-0.327166957,-0.380438261,-0.476486957,-0.482550435,-0.451516522,-0.349917391
freeze,2008,-17.30272436,-8.389293269,-0.565272436,-0.465978365,-0.435024038,-0.419785256,-0.459495192,-0.449842949,-0.422951923,-0.329027244
freeze,2009,-13.7894354,-6.110995717,-0.365874375,-0.39344611,-0.424873662,-0.435563169,-0.483855817,-0.460846538,-0.43159172,-0.353817273
freeze,2010,-12.76640993,-5.713633272,-0.147608456,-0.267278493,-0.347775735,-0.39552114,-0.468963235,-0.462538603,-0.435035846,-0.359824449
freeze,2011,-15.75848463,-8.137493528,-0.291466828,-0.281330906,-0.318096278,-0.346977346,-0.417881877,-0.421449029,-0.405340615,-0.32338835
freeze,2012,-15.24752979,-6.435303543,-0.199557971,-0.26110789,-0.322339775,-0.356221417,-0.419847021,-0.416660225,-0.402363929,-0.324640097
freeze,2013,-18.48621146,-8.281159806,-0.32693301,-0.295460856,-0.314439064,-0.332515738,-0.383985472,-0.371230024,-0.356026634,-0.268843422
freeze,2014,-18.29065315,-9.607220017,-0.668024159,-0.500432269,-0.440318378,-0.439956859,-0.458283003,-0.414335634,-0.38299396,-0.296767041
freeze,2015,-15.78123239,-7.946019433,-0.823804049,-0.64257004,-0.560205668,-0.535453441,-0.506689879,-0.430352227,-0.375555466,-0.294293117
freeze,2016,-16.8137294,-7.40196791,-0.741262793,-0.58555941,-0.526352992,-0.5173183,-0.519737207,-0.447941023,-0.387284475,-0.296870772
freeze,2017,-15.48956471,-5.211485362,-0.56553775,-0.511493837,-0.496835131,-0.508719569,-0.520471495,-0.459989214,-0.397815871,-0.310496148
thaw,2007,7.843014423,9.265526923,-0.353155769,-0.4587,-0.496298077,-0.501414423,-0.549945192,-0.574323077,-0.547777885,-0.549215385
thaw,2008,9.011736287,10.624423,-0.58818038,-0.738337553,-0.76575,-0.72235865,-0.602920886,-0.562054852,-0.538927215,-0.55067616
thaw,2009,8.132034221,9.54347275,-0.482493029,-0.604397972,-0.641760456,-0.627613435,-0.577844106,-0.552977186,-0.524769328,-0.533520913
thaw,2010,7.574112523,9.476529038,-0.303872958,-0.403800363,-0.447101633,-0.459614338,-0.511138838,-0.527649728,-0.503097096,-0.511075318
thaw,2011,9.729947589,10.93064361,-0.460765199,-0.568030398,-0.575816562,-0.540468553,-0.520610063,-0.536473795,-0.523663522,-0.542449686
thaw,2012,9.1635,10.51103564,-0.388252621,-0.491185535,-0.512715933,-0.500268344,-0.502692872,-0.515963312,-0.501142558,-0.520930818
thaw,2013,10.55806146,12.22118822,-0.571733675,-0.656882202,-0.648115237,-0.5931242,-0.526878361,-0.528058899,-0.515224072,-0.544427657
thaw,2014,8.554252182,9.526018429,-0.692419981,-0.825912706,-0.82485548,-0.777586809,-0.578637245,-0.504878758,-0.478342386,-0.49743356
thaw,2015,8.478349738,9.725231414,-0.727348691,-0.84402199,-0.867369634,-0.869987435,-0.682292147,-0.557497382,-0.49873822,-0.515546597
thaw,2016,7.690155321,8.680181208,-0.660631831,-0.784253116,-0.805326942,-0.785649089,-0.642120805,-0.541678811,-0.48775743,-0.494043145
thaw,2017,9.941751121,10.35257623,-0.588099776,-0.716131166,-0.749170404,-0.741053812,-0.635548206,-0.560160314,-0.510650224,-0.524866592
thaw,2018,9.19025,10.1998122,-0.690344498,-0.770699761,-0.763004785,-0.720082536,-0.604508373,-0.540760766,-0.498136364,-0.511032297
