Row Labels,rlk15,rlk0,rlk8,mlk15,mlk0,mlk80,airfneg15,airpneg15,airp0,airp15,airpneg08,tun8,tun15,tun0,ppdw0,ppdc8,ppdc15,ppdc0,ppawneg5,ppac8,ppac15,ppac0,bwp8,bwp15,bwp0,pfr8,pfr15,pfr0,bfr8,bfr15,bfr0,fen8,fen15,fen0,wsu8,wsu15,wsu0,tis8,tis15,tis0,bsw8,bsw15,bsw0
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,-2.455978082,-3.484334247,-2.827969863,,,,,,,,,-0.824923077,-2.908926027,4.411614583,0.821595364,-3.540428767,1.390953319,1.49657981,-2.669812673,2.714118483,,,,1.10710007,-3.167385918,2.098578801,,,,1.67679543,-4.270223133,0.85304056
2002,,,,,,,,,,,,-3.088578082,-6.547879452,-4.267709589,0.702388544,-4.710159269,-6.864590245,-4.691191892,-3.063416438,-5.246186813,-6.999591781,-4.719616438,-0.910021918,-3.908661479,-0.378015564,-0.019513485,-6.620621426,-0.277511905,0.886229858,-5.923166192,1.439825992,,,,-0.056057534,-6.101079452,0.44689863,,,,0.705116935,-7.280753565,-0.861166666
2003,,,,,,,,,,,,-2.962415504,-4.757520842,-2.976705913,1.807570751,-4.624676732,-5.199826235,-3.700193702,-2.596473973,-5.131753425,-5.21139726,-3.678361644,-0.567997245,2.133308036,5.533049107,-0.210145205,-4.930950685,0.510186301,0.95260274,-4.436369863,2.094876712,,,,0.291520548,-4.417556164,1.521876712,,,,0.756060274,-5.657043836,0.173369863
2004,,,,,,,,,,,,-2.938553091,-7.539902302,-5.72825279,0.870169399,-5.160809889,-8.351505464,-6.536404372,-3.676647541,-5.854360656,-8.334581967,-6.068551913,-1.089718579,-8.503644809,-2.811054645,-0.280771858,-7.978969945,-0.60541735,0.577376444,-7.4033106,1.066400556,,,,-0.264234973,-7.377540984,0.0855,0.896164557,-8.254738139,1.326131212,0.437319672,-8.654560109,-2.246704918
2005,,,,-4.97717888,0.430655301,-0.349749787,,,,,,-3.227689297,-4.214909692,-3.825385908,1.451624658,-4.864109589,-5.00409863,-3.440531507,-2.718824658,-5.353662311,-5.010479452,-3.561091159,-5.589355191,-10.80503346,-5.930847584,0.646909033,-4.446430908,0.189143065,1.587259798,-4.07977067,2.361145748,-1.869687671,-5.198520548,0.317090411,0.556123288,-4.099871233,1.089449315,1.04830137,-3.977742466,2.549315068,1.49849863,-5.230345205,0.221126027
2006,-2.876460274,1.956998038,-1.85392677,-3.325146339,1.456515478,-0.085274095,,,,,,-1.764505377,-2.479837423,-2.168877995,2.807794521,-3.475665753,-3.34450137,-1.395476712,-0.927604113,-3.781245223,-3.318052055,-1.389850191,,-3.503731507,1.198038356,1.336203489,-2.761014639,1.792960552,1.9106,-2.493013699,3.192317808,-0.492268493,-3.448515068,2.27369589,0.685353425,-2.535936986,1.715605479,1.97790411,-3.944482192,2.552736986,1.670079164,-3.624326739,1.196456402
2007,-5.237131507,0.40153252,-2.632234059,-5.761682192,-0.404723288,-0.036391781,0.572263014,-0.444578082,0.139063014,-5.507213699,-0.232326027,-3.083311954,-5.140981673,-4.409896771,1.637827397,-4.031671233,-5.726975342,-3.687750685,-2.439279452,-4.873591781,-5.695027397,-3.91369589,,-5.790410959,-0.727621918,0.774849772,-5.222945662,-0.345782648,1.388128767,-4.929920548,1.557005479,-0.1762,-5.867635616,1.686471233,0.579468493,-4.940471233,0.792454795,1.733353425,-5.429139726,1.874876712,1.503285234,-6.103165224,-0.482002109
2008,-5.690409836,-0.577431694,-3.682330507,-6.269062842,-0.420989071,-0.666521858,0.600180328,-0.424740437,-0.178377049,-5.938625683,-0.575139344,-2.991919836,-5.48442866,-3.976994222,0.695778689,-4.740887978,-6.114434426,-3.913027322,-2.82098803,-5.362896572,-6.091996616,-3.625979934,,-6.211062842,-1.011363388,-0.050725182,-5.740438734,-0.17846061,0.695164665,-5.434617486,1.340799415,-1.546377753,-5.893992875,0.792968856,-0.365467213,-5.348934426,0.021379781,0.763953552,-5.852355191,2.06647541,0.535635149,-6.444485681,-0.344168016
2009,-5.745126027,-1.559687671,-3.80670137,-6.191079452,-0.892131507,-0.767446575,0.552008219,-0.418542466,-0.470945205,-5.891917808,-0.407860274,-2.938637775,-5.570621356,-3.860726305,0.932678554,-3.954290601,-6.17961655,-4.136267801,-2.640208219,-4.681145205,-6.159556164,-3.297709589,,-5.959856031,-0.851093385,-0.467479452,-5.632991781,-1.027989041,0.598550685,-5.251328767,0.924967123,-1.269451834,-6.382568167,0.529346784,-0.335868493,-5.158405479,-0.020991781,0.867605479,-5.544857158,1.092944032,0.951142466,-6.227484932,0.070378082
2010,-2.315794521,1.546424658,-1.954427397,-2.515627397,0.973150685,0.021430137,0.493547945,-0.435926027,1.929876712,-2.5312,-0.226257534,-1.516134247,-2.558180822,-1.374320548,2.003426893,-3.025448101,-2.882975875,-1.810867948,-0.879964384,-3.384421918,-2.834638356,-0.821419178,4.675631868,1.545576923,4.407818681,1.519364384,-2.250005479,1.536583562,2.053230137,-1.919191781,2.668106849,0.802739726,-2.828824658,3.15750137,0.922347945,-1.990923288,1.428410959,1.615953425,-3.113297019,2.34301713,1.847063014,-2.987945205,2.009630137
