location,site,type,year,sample.no,depth,density,swe,htc
AIRF,AIR,Forest,2007,1,70,185.9644407,130.1751085,0.145247647
AIRP,AIR,Forest,2007,1,48,207.0437433,99.3809968,0.262561059
AIRF,AIR,Forest,2007,2,70,177.9659701,124.5761791,0.133021923
AIRP,AIR,Forest,2007,2,48,224.5403977,107.7793909,0.30881264
AIRF,AIR,Forest,2007,3,70,195.9625289,137.1737702,0.161285513
AIRP,AIR,Forest,2007,3,42,187.9640583,78.9449045,0.247313411
AIRF,AIR,Forest,2007,4,78,190.2200372,148.371629,0.136384574
AIRP,AIR,Forest,2007,4,38,184.1753091,69.98661747,0.262437897
AIRF,AIR,Forest,2007,5,74,174.0207786,128.7753761,0.12031446
AIRP,AIR,Forest,2007,5,43,198.5666821,85.38367331,0.269582461
AIRF,AIR,Forest,2007,6,72,178.8546891,128.7753761,0.130621749
AIRP,AIR,Forest,2007,6,35,183.9648231,64.38768807,0.284281671
AIRF,AIR,Forest,2007,7,67,220.4056162,147.6717629,0.213165953
AIRP,AIR,Forest,2007,7,40,194.5627966,77.82511862,0.278231911
AIRF,AIR,Forest,2007,8,73,247.3499631,180.5654731,0.246404236
AIRP,AIR,Forest,2007,8,40,153.9705584,61.58822337,0.174245957
AIRF,AIR,Forest,2007,9,68,210.9890674,143.4725658,0.192467907
AIRP,AIR,Forest,2007,9,51,203.0984193,103.5801939,0.237788168
AIRF,AIR,Forest,2007,10,75,143.7058545,107.7793909,0.080953381
AIRP,AIR,Forest,2007,10,44,185.7826573,81.7443692,0.230624262
AIRF,AIR,Forest,2007,11,82,112.6613842,92.38233506,0.04550757
AIRP,AIR,Forest,2007,11,38,191.5423215,72.78608217,0.283852829
AIRF,AIR,Forest,2007,12,83,210.8030647,174.9665437,0.157406651
AIRP,AIR,Forest,2007,12,36,188.1862381,67.74704571,0.289214825
AIRF,AIR,Forest,2007,13,74,189.1530202,139.9732349,0.142148464
AIRP,AIR,Forest,2007,13,34,180.3184615,61.3082769,0.281156935
AIRF,AIR,Forest,2007,14,74,186.3157249,137.8736364,0.137915993
AIRP,AIR,Forest,2007,14,36,214.6256269,77.26522568,0.376190638
AIRF,AIR,Forest,2007,15,81,338.7006672,274.3475405,0.416384367
AIRP,AIR,Forest,2007,15,29,207.5465208,60.18849102,0.436697039
AIRF,AIR,Forest,2007,16,83,229.3537343,190.3635995,0.186329179
AIRP,AIR,Forest,2007,16,32,188.0890344,60.18849102,0.325030642
