year,month,day,jd,Year-JD,Tair,T0,T80,tun15,season
2004,10,15,289,2004-289,-2.212,-0.805,0.354,-2.296,SON
2004,10,16,290,2004-290,-4.496,-1.746,0.277,-3.866,SON
2004,10,17,291,2004-291,-8.700,-2.270,0.227,-7.650,SON
2004,10,18,292,2004-292,-10.550,-2.236,0.180,-8.650,SON
2004,10,19,293,2004-293,-9.060,-3.248,0.114,-7.120,SON
2004,10,20,294,2004-294,-1.158,-1.333,0.038,-1.153,SON
2004,10,21,295,2004-295,-2.344,-1.004,-0.013,-2.218,SON
2004,10,22,296,2004-296,-1.015,-0.658,-0.039,-0.517,SON
2004,10,23,297,2004-297,-0.653,-0.436,-0.060,-0.254,SON
2004,10,24,298,2004-298,-2.271,-0.295,-0.090,-1.955,SON
2004,10,25,299,2004-299,-2.054,-0.392,-0.110,-2.077,SON
2004,10,26,300,2004-300,-6.887,-0.877,-0.113,-4.950,SON
2004,10,27,301,2004-301,-3.136,-1.354,-0.121,-1.196,SON
2004,10,28,302,2004-302,0.938,-0.564,-0.113,2.352,SON
2004,10,29,303,2004-303,-3.778,-0.862,-0.161,-2.178,SON
2004,10,30,304,2004-304,-9.200,-3.091,-0.128,-6.297,SON
2004,10,31,305,2004-305,-2.653,-1.868,-0.166,-1.996,SON
2004,11,1,306,2004-306,-1.238,-0.753,-0.165,-1.067,SON
2004,11,2,307,2004-307,-14.260,-2.354,-0.130,-11.920,SON
2004,11,3,308,2004-308,-1.869,-2.496,-0.167,-1.753,SON
2004,11,4,309,2004-309,-0.034,-0.786,-0.167,0.171,SON
2004,11,5,310,2004-310,-1.799,-0.501,-0.185,-1.374,SON
2004,11,6,311,2004-311,-4.236,-0.730,-0.191,-3.303,SON
2004,11,7,312,2004-312,-8.030,-1.048,-0.169,-4.796,SON
2004,11,8,313,2004-313,-11.970,-1.583,-0.160,-8.680,SON
2004,11,9,314,2004-314,-10.860,-2.374,-0.151,-8.950,SON
2004,11,10,315,2004-315,-12.670,-1.980,-0.172,-10.400,SON
2004,11,11,316,2004-316,-18.450,-3.459,-0.202,-14.050,SON
2004,11,12,317,2004-317,-16.960,-4.195,-0.230,-15.370,SON
2004,11,13,318,2004-318,-13.130,-3.208,-0.184,-11.300,SON
2004,11,14,319,2004-319,-15.240,-3.386,-0.168,-12.470,SON
2004,11,15,320,2004-320,-6.395,-2.992,-0.188,-5.890,SON
2004,11,16,321,2004-321,0.871,-1.359,-0.175,0.507,SON
2004,11,17,322,2004-322,-1.703,-0.357,-0.210,-0.409,SON
2004,11,18,323,2004-323,-7.770,-1.510,-0.185,-7.910,SON
2004,11,19,324,2004-324,-5.036,-2.233,-0.201,-5.673,SON
2004,11,20,325,2004-325,-6.766,-1.984,-0.195,-6.430,SON
2004,11,21,326,2004-326,-15.170,-2.732,-0.195,-13.800,SON
2004,11,22,327,2004-327,-16.700,-4.547,-0.228,-13.600,SON
2004,11,23,328,2004-328,-7.610,-3.437,-0.189,-6.734,SON
2004,11,24,329,2004-329,-20.770,-3.581,-0.275,-18.930,SON
2004,11,25,330,2004-330,-24.940,-6.000,-0.375,-21.380,SON
2004,11,26,331,2004-331,-20.330,-6.223,-0.273,-17.480,SON
2004,11,27,332,2004-332,-17.970,-4.943,-0.213,-16.340,SON
2004,11,28,333,2004-333,-20.170,-5.359,-0.264,-17.920,SON
2004,11,29,334,2004-334,-26.880,-7.040,-0.425,-25.740,SON
2004,11,30,335,2004-335,-27.830,-8.490,-0.443,-24.030,SON
2004,12,1,336,2004-336,-22.110,-7.990,-0.328,-18.230,DJF
2004,12,2,337,2004-337,-25.850,-8.470,-0.418,-24.660,DJF
2004,12,3,338,2004-338,-26.620,-8.830,-0.399,-25.400,DJF
2004,12,4,339,2004-339,-27.050,-10.220,-0.429,-24.380,DJF
2004,12,5,340,2004-340,-27.250,-10.270,-0.464,-24.830,DJF
2004,12,6,341,2004-341,-25.990,-10.660,-0.399,-24.150,DJF
2004,12,7,342,2004-342,-18.920,-8.520,-0.252,-17.680,DJF
2004,12,8,343,2004-343,-25.120,-8.660,-0.400,-24.600,DJF
2004,12,9,344,2004-344,-25.500,-9.750,-0.417,-24.070,DJF
2004,12,10,345,2004-345,-19.950,-10.260,-0.271,-19.020,DJF
2004,12,11,346,2004-346,-14.530,-7.800,-0.180,-13.480,DJF
2004,12,12,347,2004-347,-19.300,-7.110,-0.264,-18.330,DJF
2004,12,13,348,2004-348,-20.140,-8.080,-0.306,-18.410,DJF
2004,12,14,349,2004-349,-16.490,-7.870,-0.261,-15.840,DJF
2004,12,15,350,2004-350,-20.470,-7.690,-0.383,-20.350,DJF
2004,12,16,351,2004-351,-27.860,-8.470,-0.606,-26.560,DJF
2004,12,17,352,2004-352,-29.150,-9.540,-0.649,-28.030,DJF
2004,12,18,353,2004-353,-32.200,-10.290,-0.572,-30.150,DJF
2004,12,19,354,2004-354,-32.790,-11.700,-0.592,-31.020,DJF
2004,12,20,355,2004-355,-30.630,-12.370,-0.708,-27.450,DJF
2004,12,21,356,2004-356,-33.760,-12.470,-0.647,-30.560,DJF
2004,12,22,357,2004-357,-34.470,-13.090,-0.649,-31.130,DJF
2004,12,23,358,2004-358,-37.170,-13.400,-0.419,-33.950,DJF
2004,12,24,359,2004-359,-36.750,-14.140,-0.497,-33.200,DJF
2004,12,25,360,2004-360,-35.520,-14.690,-0.805,-32.930,DJF
2004,12,26,361,2004-361,-28.790,-16.270,-1.354,-27.590,DJF
2004,12,27,362,2004-362,-22.640,-14.470,-1.454,-21.450,DJF
2004,12,28,363,2004-363,-21.260,-12.410,-1.601,-19.670,DJF
2004,12,29,364,2004-364,-27.120,-12.110,-1.871,-25.810,DJF
2004,12,30,365,2004-365,-28.970,-13.180,-2.015,-27.670,DJF
2004,12,31,366,2004-366,-28.440,-13.730,-2.097,-25.400,DJF
2005,1,1,1,36891,-27.280,-13.790,-2.202,-26.000,DJF
2005,1,2,2,36922,-25.970,-13.540,-2.252,-25.180,DJF
2005,1,3,3,36950,-26.150,-12.650,-2.354,-25.070,DJF
2005,1,4,4,36981,-29.780,-13.700,-2.474,-27.920,DJF
2005,1,5,5,37011,-15.000,-13.740,-2.323,-13.670,DJF
2005,1,6,6,37042,-12.600,-11.010,-2.377,-12.060,DJF
2005,1,7,7,37072,-21.530,-9.530,-2.586,-20.420,DJF
2005,1,8,8,37103,-26.080,-9.360,-2.739,-24.660,DJF
2005,1,9,9,37134,-31.070,-9.610,-2.700,-29.800,DJF
2005,1,10,10,37164,-30.900,-10.000,-2.609,-29.300,DJF
2005,1,11,11,37195,-27.540,-10.470,-2.737,-26.530,DJF
2005,1,12,12,37225,-31.010,-10.480,-2.691,-30.180,DJF
2005,1,13,13,2005-13,-25.290,-10.610,-2.818,-24.880,DJF
2005,1,14,14,2005-14,-35.450,-10.330,-2.628,-33.280,DJF
2005,1,15,15,2005-15,-31.870,-12.640,-2.929,-30.280,DJF
2005,1,16,16,2005-16,-35.230,-13.710,-2.715,-33.730,DJF
2005,1,17,17,2005-17,-30.120,-14.420,-2.975,-28.800,DJF
2005,1,18,18,2005-18,-24.390,-13.500,-3.125,-23.850,DJF
2005,1,19,19,2005-19,-30.330,-12.670,-3.288,-27.940,DJF
2005,1,20,20,2005-20,-32.680,-12.840,-3.262,-29.970,DJF
2005,1,21,21,2005-21,-30.680,-13.290,-3.377,-28.020,DJF
2005,1,22,22,2005-22,-23.500,-13.230,-3.396,-21.700,DJF
2005,1,23,23,2005-23,-19.190,-12.310,-3.333,-18.800,DJF
2005,1,24,24,2005-24,-31.620,-11.580,-3.558,-28.760,DJF
2005,1,25,25,2005-25,-30.170,-12.370,-3.577,-27.060,DJF
2005,1,26,26,2005-26,-25.930,-12.840,-3.594,-24.290,DJF
2005,1,27,27,2005-27,-21.790,-12.400,-3.539,-21.200,DJF
2005,1,28,28,2005-28,-20.330,-11.560,-3.535,-20.350,DJF
2005,1,29,29,2005-29,-25.960,-11.000,-3.693,-24.800,DJF
2005,1,30,30,2005-30,-20.040,-10.790,-3.520,-19.010,DJF
2005,1,31,31,2005-31,-22.650,-10.490,-3.584,-21.840,DJF
2005,2,1,32,2005-32,-14.430,-10.180,-3.450,-14.040,DJF
2005,2,2,33,2005-33,-8.640,-9.470,-3.401,-7.840,DJF
2005,2,3,34,2005-34,-26.360,-8.780,-3.588,-24.790,DJF
2005,2,4,35,2005-35,-29.890,-8.900,-3.560,-28.940,DJF
2005,2,5,36,2005-36,-32.160,-9.650,-3.397,-30.060,DJF
2005,2,6,37,2005-37,-30.400,-10.380,-3.350,-28.260,DJF
2005,2,7,38,2005-38,-27.990,-10.880,-3.329,-25.380,DJF
2005,2,8,39,2005-39,-18.310,-10.990,-3.119,-16.950,DJF
2005,2,9,40,2005-40,-26.060,-10.740,-3.279,-24.130,DJF
2005,2,10,41,2005-41,-20.600,-10.280,-3.131,-19.850,DJF
2005,2,11,42,2005-42,-20.890,-9.920,-3.163,-20.200,DJF
2005,2,12,43,2005-43,-27.660,-9.540,-3.257,-26.660,DJF
2005,2,13,44,2005-44,-21.070,-9.400,-3.166,-20.820,DJF
2005,2,14,45,2005-45,-19.000,-9.140,-3.090,-18.750,DJF
2005,2,15,46,2005-46,-22.710,-8.810,-3.188,-22.360,DJF
2005,2,16,47,2005-47,-28.150,-8.540,-3.287,-27.180,DJF
2005,2,17,48,2005-48,-32.370,-8.120,-3.090,-30.660,DJF
2005,2,18,49,2005-49,-31.210,-8.160,-3.174,-29.660,DJF
2005,2,19,50,2005-50,-28.710,-8.290,-3.233,-27.280,DJF
2005,2,20,51,2005-51,-27.310,-8.290,-3.207,-27.750,DJF
2005,2,21,52,2005-52,-29.630,-8.230,-3.130,-27.800,DJF
