year,site,zone,tree,aspect,height,code,dry.wgt,fresh.wgt,water,viability,stem,sur.area,gmin
2008,FRO,Forest,921,L,EAA,FRO F921 EAA,NA,NA,NA,NA,NA,NA,NA
2008,FRO,Forest,921,L,EAC,FRO F921 EAC,0.2485,0.4913,97.70623742,0.966666667,NA,0.018476172,2.36976E-05
2008,FRO,Forest,921,L,EAS,FRO F921 EAS,0.299,0.6457,115.9531773,0.983870968,NA,0.021285386,2.58249E-05
2008,FRO,Forest,921,W,NWA,FRO F921 NWA,0.1313,0.2878,119.1926885,1,NA,0.010995654,3.02182E-05
2008,FRO,Forest,921,W,NWC,FRO F921 NWC,0.2352,0.5166,119.6428571,0.985915493,NA,0.019237571,4.2551E-05
2008,FRO,Forest,921,W,NWS,FRO F921 NWS,0.6247,1.3492,115.9756683,1,NA,0.041165362,4.34326E-05
2008,FRO,Forest,921,L,SOA,FRO F921 SOA,0.2281,0.5024,120.2542744,0.987012987,NA,0.02036801,1.98156E-05
2008,FRO,Forest,921,L,SOC,FRO F921 SOC,0.4983,1.116,123.961469,1,NA,0.026897383,4.28173E-05
2008,FRO,Forest,921,L,SOS,FRO F921 SOS,0.4356,0.9315,113.8429752,1,NA,0.029533735,3.09708E-05
2008,FRO,Forest,923,L,EAA,FRO F923 EAA,0.1864,0.4339,132.77897,1,NA,0.014587975,4.63473E-05
2008,FRO,Forest,923,L,EAC,FRO F923 EAC,0.2331,0.5613,140.7979408,0.985294118,NA,0.018588734,3.23976E-05
2008,FRO,Forest,923,L,EAS,FRO F923 EAS,0.3447,0.7994,131.9118074,1,NA,0.024023848,3.41434E-05
2008,FRO,Forest,923,W,NWA,FRO F923 NWA,0.3159,0.7121,125.4194365,1,NA,0.023437724,2.84925E-05
2008,FRO,Forest,923,W,NWC,FRO F923 NWC,NA,NA,NA,NA,NA,NA,NA
2008,FRO,Forest,923,W,NWS,FRO F923 NWS,NA,NA,NA,NA,NA,NA,NA
2008,FRO,Forest,923,L,SOA,FRO F923 SOA,0.3602,0.8371,132.3986674,1,NA,0.023501241,2.92457E-05
2008,FRO,Forest,923,L,SOC,FRO F923 SOC,0.259,0.6019,132.3938224,1,NA,0.018966619,4.00472E-05
2008,FRO,Forest,923,L,SOS,FRO F923 SOS,0.4151,0.7151,72.27174175,1,NA,0.01917727,4.16039E-05
2008,FRO,Forest,925,L,EAA,FRO F925 EAA,0.2282,0.5263,130.6310254,1,NA,0.015891277,4.89215E-05
