CODE,Site,Zone,Tree,Aspect,Height,2013.water,2014.water,2015.water,2016.water,2017.water,2018.water,2013.sa,2014.sa,2015.sa,2016.sa,2017.sa,2018.sa,2013.gmin,2014.gmin,2015.gmin,2016.gmin,2017.gmin,2018.gmin
AIR.F1.LA,AIR,F,1,L,A,91.16022099,NA,NA,NA,103.8243626,NA,2.4864444,NA,NA,NA,2.5704459,NA,6.76995E-07,NA,NA,NA,1.36126E-06,NA
AIR.F1.LC,AIR,F,1,L,C,93.34461365,NA,NA,NA,118.0052297,NA,2.520045,NA,NA,NA,2.6208468,NA,7.17821E-07,NA,NA,NA,1.05143E-06,NA
AIR.F1.LS,AIR,F,1,L,S,90.45151739,NA,NA,NA,109.3509351,NA,2.5032447,NA,NA,NA,2.5032447,NA,2.84367E-07,NA,NA,NA,6.50622E-07,NA
AIR.F1.WA,AIR,F,1,W,A,121.2970376,NA,NA,NA,113.6094675,NA,2.3856426,NA,NA,NA,2.5872462,NA,6.52105E-07,NA,NA,NA,1.61023E-06,NA
AIR.F1.WC,AIR,F,1,W,C,106.8833652,NA,NA,NA,114.3867925,NA,2.5536456,NA,NA,NA,2.9232522,NA,1.26305E-06,NA,NA,NA,1.02436E-06,NA
AIR.F1.WS,AIR,F,1,W,S,94.4005743,NA,NA,NA,95.85006693,NA,2.6544474,NA,NA,NA,2.3856426,NA,4.45413E-08,NA,NA,NA,6.35094E-06,NA
AIR.F2.LA,AIR,F,2,L,A,118.5908319,NA,NA,NA,122.4021592,NA,2.9232522,NA,NA,NA,3.0576546,NA,6.46322E-07,NA,NA,NA,1.11504E-06,NA
AIR.F2.LC,AIR,F,2,L,C,121.1911357,NA,NA,NA,118.9566495,NA,3.1752567,NA,NA,NA,2.9064519,NA,5.30739E-08,NA,NA,NA,1.45071E-06,NA
AIR.F2.LS,AIR,F,2,L,S,121.928934,NA,NA,NA,NA,NA,3.961333895,NA,NA,NA,NA,NA,1.21871E-06,NA,NA,NA,NA,NA
AIR.F2.WA,AIR,F,2,W,A,116.2380038,NA,NA,NA,126.5734266,NA,3.7800675,NA,NA,NA,2.9232522,NA,4.12716E-07,NA,NA,NA,2.31038E-06,NA
AIR.F2.WC,AIR,F,2,W,C,114.1972122,NA,NA,NA,124.1547708,NA,3.8304684,NA,NA,NA,3.1416561,NA,1.77933E-07,NA,NA,NA,1.28992E-06,NA
AIR.F2.WS,AIR,F,2,W,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AIR.F3.LA,AIR,F,3,L,A,NA,NA,NA,NA,105.2287582,NA,NA,NA,NA,NA,2.2680405,NA,NA,NA,NA,NA,6.73786E-07,NA
AIR.F3.LC,AIR,F,3,L,C,125.6880734,NA,NA,NA,115.3658537,NA,3.0912552,NA,NA,NA,2.4192432,NA,1.67933E-07,NA,NA,NA,9.52197E-07,NA
AIR.F3.LS,AIR,F,3,L,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AIR.F3.WA,AIR,F,3,W,A,119.0575916,NA,NA,NA,114.6262887,NA,3.0912552,NA,NA,NA,2.856051,NA,1.12151E-06,NA,NA,NA,9.89594E-07,NA
AIR.F3.WC,AIR,F,3,W,C,142.9243065,NA,NA,NA,108.9544513,NA,2.9232522,NA,NA,NA,2.3184414,NA,7.85478E-07,NA,NA,NA,7.35209E-07,NA
AIR.F3.WS,AIR,F,3,W,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AIR.F4.LA,AIR,F,4,L,A,105.5818852,NA,NA,NA,112.8406276,NA,3.1248558,NA,NA,NA,3.3264594,NA,6.73931E-07,NA,NA,NA,1.11184E-06,NA
AIR.F4.LC,AIR,F,4,L,C,99.27960378,NA,NA,NA,113.2821724,NA,3.4104609,NA,NA,NA,2.9568528,NA,1.34985E-07,NA,NA,NA,1.05384E-06,NA
AIR.F4.LS,AIR,F,4,L,S,115.5897436,NA,NA,NA,120.7980653,NA,2.8224504,NA,NA,NA,3.2928588,NA,5.21677E-06,NA,NA,NA,1.21212E-06,NA
AIR.F4.WA,AIR,F,4,W,A,63.38951311,NA,NA,NA,126.3779528,NA,2.6040465,NA,NA,NA,3.2592582,NA,1.99426E-06,NA,NA,NA,5.62187E-07,NA
AIR.F4.WC,AIR,F,4,W,C,90.73319756,NA,NA,NA,116.584064,NA,2.688048,NA,NA,NA,4.4016786,NA,9.32038E-07,NA,NA,NA,9.30857E-07,NA
AIR.F4.WS,AIR,F,4,W,S,94.19642857,NA,NA,NA,125.8390805,NA,2.3352417,NA,NA,NA,3.9312702,NA,2.43638E-07,NA,NA,NA,1.10718E-06,NA
AIR.F5.LA,AIR,F,5,L,A,90.78125,NA,NA,NA,108.2446809,NA,2.885698588,NA,NA,NA,2.688048,NA,3.45262E-07,NA,NA,NA,5.81582E-07,NA
AIR.F5.LC,AIR,F,5,L,C,85.35483871,NA,NA,NA,106.9827184,NA,3.0912552,NA,NA,NA,2.688048,NA,9.18322E-08,NA,NA,NA,1.39311E-06,NA
