year,site,zone,tree,aspect,height,code,dry.wgt,fresh.wgt,water,viability,stem,sur.area,gmin,lat,lon,dist,cover
2013,BRF,Forest,1,L,C,BRR F1 LC,0.20,0.4204,111.8952,80.9524,21.0000,0.0148,0.0000279,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,1,L,S,BRR F1 LS,0.13,0.2560,95.4198,62.2222,19.0000,0.0123,0.0000310,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,1,W,A,BRR F1 WA,0.16,0.3360,107.4074,93.4783,29.0000,0.0157,0.0000108,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,1,W,C,BRR F1 WC,0.32,0.6603,106.7961,85.0000,34.0000,0.0226,0.0000212,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,1,W,S,BRR F1 WS,0.26,0.4860,87.6448,90.3846,28.0000,0.0195,0.0000132,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,2,L,A,BRR F2 LA,0.36,0.7576,111.8568,100.0000,36.0000,0.0257,0.0000103,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,2,L,C,BRR F2 LC,0.46,0.9327,102.4528,97.8261,44.0000,0.0291,0.0000126,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,2,L,S,BRR F2 LS,NA,NA,NA,NA,NA,NA,NA,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,2,W,A,BRR F2 WA,0.24,0.5046,111.4837,100.0000,32.8000,0.0214,0.0000110,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,2,W,C,BRR F2 WC,0.13,0.2739,103.0393,100.0000,16.0000,0.0112,0.0000096,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,2,W,S,BRR F2 WS,0.19,0.4029,109.9531,96.5517,31.0000,0.0192,0.0000103,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,3,L,A,BRR F3 LA,0.26,0.5557,111.5341,95.0000,29.7000,0.0221,0.0000098,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,3,L,C,BRR F3 LC,0.27,0.5524,106.5819,100.0000,23.7000,0.0154,0.0000074,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,3,L,S,BRR F3 LS,0.08,0.1751,115.9063,100.0000,12.3000,0.0093,0.0000055,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,3,W,A,BRR F3 WA,0.16,0.3469,114.2681,100.0000,20.2000,0.0135,0.0000091,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,3,W,C,BRR F3 WC,0.34,0.6257,83.1138,100.0000,38.7000,0.0205,0.0000130,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,3,W,S,BRR F3 WS,NA,NA,NA,NA,NA,NA,NA,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,4,L,A,BRR F4 LA,0.28,0.7681,172.2793,92.1875,28.0000,0.0287,0.0000209,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,4,L,C,BRR F4 LC,0.48,0.9712,100.5783,90.5405,30.0000,0.0288,0.0000248,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,4,L,S,BRR F4 LS,NA,NA,NA,NA,NA,NA,NA,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,4,W,A,BRR F4 WA,0.56,1.2089,114.3820,98.6486,37.6000,0.0392,0.0000113,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,4,W,C,BRR F4 WC,0.52,1.0963,111.5184,98.5507,31.0000,0.0275,0.0000147,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,4,W,S,BRR F4 WS,NA,NA,NA,NA,NA,NA,NA,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,5,L,A,BRR F5 LA,0.42,0.8862,109.4045,89.3333,38.7000,0.0275,0.0000102,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,5,L,C,BRR F5 LC,0.42,0.8604,106.6282,94.9495,32.0000,0.0283,0.0000127,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,5,L,S,BRR F5 LS,0.17,0.3614,114.6081,94.7368,19.0000,0.0127,0.0000102,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,5,W,A,BRR F5 WA,0.24,0.5176,113.3553,100.0000,26.6000,0.0186,0.0000104,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,5,W,C,BRR F5 WC,0.16,0.3243,108.8216,100.0000,11.0000,0.0106,0.0000118,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,5,W,S,BRR F5 WS,0.31,0.6587,112.0051,92.1875,33.4000,0.0238,0.0000079,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,1,L,A,BRR R1 LA,0.39,0.8725,124.5817,98.7500,35.0000,0.0302,0.0000119,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,1,L,C,BRR R1 LC,0.31,0.6927,125.8559,100.0000,24.0000,0.0159,0.0000169,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,1,L,S,BRR R1 LS,0.16,0.3626,127.1930,100.0000,22.0000,0.0148,0.0000089,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,1,W,A,BRR R1 WA,0.14,0.2709,92.2640,96.4286,19.0000,0.0100,0.0000197,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,1,W,C,BRR R1 WC,0.14,0.2969,115.3009,100.0000,10.0000,0.0086,0.0000109,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,1,W,S,BRR R1 WS,NA,NA,NA,NA,NA,NA,NA,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,2,L,A,BRR R2 LA,0.23,0.4880,112.1739,98.3871,21.7000,0.0170,0.0000086,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,2,L,C,BRR R2 LC,0.17,0.3407,96.1428,2.5000,25.0000,0.0093,0.0000122,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,2,L,S,BRR R2 LS,NA,NA,NA,NA,NA,NA,NA,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,2,W,A,BRR R2 WA,0.17,0.3326,100.8454,100.0000,20.0000,0.0123,0.0000124,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,2,W,C,BRR R2 WC,0.28,0.5517,97.2471,100.0000,24.0000,0.0150,0.0000147,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,2,W,S,BRR R2 WS,0.17,0.3555,112.2388,100.0000,19.0000,0.0144,0.0000072,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,3,L,A,BRR R3 LA,0.29,0.6142,108.7695,100.0000,21.0000,0.0113,0.0000253,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,3,L,C,BRR R3 LC,0.26,0.5172,101.0886,100.0000,18.0000,0.0083,0.0000311,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,3,L,S,BRR R3 LS,0.09,0.1970,111.8280,100.0000,11.0000,0.0053,0.0000319,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,3,W,A,BRR R3 WA,0.30,0.6214,107.5484,100.0000,20.0000,0.0143,0.0000185,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,3,W,C,BRR R3 WC,0.44,0.9020,105.4670,96.2264,30.0000,0.0160,0.0000254,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,3,W,S,BRR R3 WS,0.28,0.5856,110.9510,100.0000,35.4000,0.0209,0.0000084,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,4,L,A,BRR R4 LA,0.46,1.0441,126.9289,100.0000,30.0000,0.0359,0.0000058,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,4,L,C,BRR R4 LC,0.62,1.3485,118.0275,100.0000,39.0000,0.0373,0.0000109,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,4,L,S,BRR R4 LS,0.45,1.0677,135.3317,100.0000,35.0000,0.0396,0.0000087,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,4,W,A,BRR R4 WA,0.25,0.5777,129.5193,78.3333,23.0000,0.0237,0.0000065,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,4,W,C,BRR R4 WC,0.31,0.6847,120.3734,98.4615,25.4000,0.0222,0.0000063,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,4,W,S,BRR R4 WS,0.51,1.1452,125.3444,100.0000,47.0000,0.0337,0.0000073,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,5,L,A,BRR R5 LA,0.21,0.5614,168.0993,100.0000,22.0000,0.0204,0.0000088,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,5,L,C,BRR R5 LC,0.44,1.0152,130.0997,99.1525,42.0000,0.0353,0.0000189,58.12008,-92.96609,7.162149902,51
2013,BRF,Forest,5,L,S,BRR R5 LS,0.08,0.1835,119.7605,100.0000,16.0000,0.0108,0.0000071,58.12008,-92.96609,7.162149902,51
