location,site,type,wind,plotting,year,sample.no,depth,density,swe,htc
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,21,58,183.41,106.38,0.1705
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,30,46,179.53,82.58,0.206
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,23,70,223.96,156.77,0.2107
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,3,46,188.66,86.78,0.2275
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,19,64,223.08,142.77,0.2286
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,18,50,198.76,99.38,0.2323
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,17,56,212.46,118.98,0.237
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,25,41,184.35,75.59,0.2437
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,15,42,189.96,79.78,0.2526
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,1,56,219.96,123.18,0.254
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,29,58,224.44,130.18,0.2553
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,22,55,218.87,120.38,0.2561
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,13,47,208.47,97.98,0.2719
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,27,58,231.68,134.37,0.2721
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,4,44,203.6,89.58,0.277
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,14,42,199.96,83.98,0.2799
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,20,64,249.29,159.54,0.2855
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,31,38,195.23,74.19,0.2949
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,28,58,241.45,140.04,0.2955
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,12,37,193.97,71.77,0.299
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,32,37,193.97,71.77,0.299
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,8,38,197.42,75.02,0.3015
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,24,53,233.56,123.78,0.3026
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,9,38,198.91,75.59,0.3061
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,5,41,206.76,84.77,0.3066
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,26,46,219.09,100.78,0.3068
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,16,48,224.02,107.53,0.3074
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,10,33,190.87,62.99,0.3246
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,11,45,230.18,103.58,0.3461
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,7,34,205.84,69.99,0.3664
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,6,34,218.19,74.19,0.4117
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,33,32,218.71,69.99,0.4395
Mary Lake: Forest,MLK,forest,deposition,C.2006,2006,2,38,246.79,93.78,0.4712
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,29,30,325.58,97.67,1.0388
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,31,30,325.58,97.67,1.0388
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,25,26,321.86,83.68,1.1714
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,30,24,319.53,76.69,1.2507
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,7,22,316.77,69.69,1.341
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,32,22,316.77,69.69,1.341
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,3,21,315.2,66.19,1.3909
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,8,21,315.2,66.19,1.3909
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,1,20,313.47,62.69,1.4445
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,2,20,313.47,62.69,1.4445
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,11,20,313.47,62.69,1.4445
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,20,20,313.47,62.69,1.4445
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,26,20,313.47,62.69,1.4445
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,10,18,309.43,55.7,1.5639
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,15,18,309.43,55.7,1.5639
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,18,18,309.43,55.7,1.5639
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,28,18,309.43,55.7,1.5639
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,33,18,309.43,55.7,1.5639
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,13,16,304.39,48.7,1.7025
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,22,16,304.39,48.7,1.7025
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,27,16,304.39,48.7,1.7025
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,5,15,301.36,45.2,1.78
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,6,14,297.9,41.71,1.8636
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,9,14,297.9,41.71,1.8636
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,21,14,297.9,41.71,1.8636
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,23,14,297.9,41.71,1.8636
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,24,14,297.9,41.71,1.8636
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,12,12,289.25,34.71,2.0497
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,4,10,277.13,27.71,2.258
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,14,10,277.13,27.71,2.258
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,16,10,277.13,27.71,2.258
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,17,10,277.13,27.71,2.258
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2007,2007,19,10,277.13,27.71,2.258
Broad: Riparian Forest,BRF,forest,deposition,C.2007,2007,NA,NA,NA,NA,NA
Broad: Sedge Fen,BCF,fen,scour,D.2007,2007,NA,NA,NA,NA,NA
Broad: Shrub,BSH,shrub,deposition,B.2007,2007,NA,NA,NA,NA,NA
Broad: Spruce Forest,BSF,forest,deposition,C.2007,2007,NA,NA,NA,NA,NA
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,29,122,285.33,348.1,0.1962
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,28,109,280.59,305.84,0.2123
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,33,108,280.17,302.59,0.2137
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,32,106,279.33,296.09,0.2164
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,31,100,276.58,276.58,0.2249
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,27,96,274.56,263.58,0.2309
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,30,96,274.56,263.58,0.2309
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,6,90,271.19,244.07,0.2402
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,26,90,271.19,244.07,0.2402
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,8,88,269.96,237.57,0.2435
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,9,88,269.96,237.57,0.2435
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,1,86,268.68,231.07,0.2468
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,2,86,268.68,231.07,0.2468
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,5,86,268.68,231.07,0.2468
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,3,82,265.93,218.06,0.2536
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,10,78,262.9,205.06,0.2605
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,16,77,262.09,201.81,0.2623
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,7,76,261.26,198.56,0.264
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,17,76,261.26,198.56,0.264
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,25,75,260.41,195.31,0.2658
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,4,68,253.75,172.55,0.2784
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,15,64,249.29,159.54,0.2855
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,24,64,249.29,159.54,0.2855
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,12,63,248.09,156.29,0.2872
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,13,61,245.56,149.79,0.2906
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,14,58,241.45,140.04,0.2955
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,11,57,239.98,136.79,0.297
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,22,53,233.56,123.78,0.3026
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,23,53,233.56,123.78,0.3026
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,18,50,228.06,114.03,0.3058
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,21,50,228.06,114.03,0.3058
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,20,41,206.76,84.77,0.3066
Mary Lake: Forest,MLK,forest,deposition,C.2007,2007,19,46,219.62,101.03,0.3083
Owl: Coastal Fen,OCF,fen,scour,D.2007,2007,22,53,187.51,99.38,0.195
Owl: Coastal Fen,OCF,fen,scour,D.2007,2007,33,55,201.05,110.58,0.2161
Owl: Coastal Fen,OCF,fen,scour,D.2007,2007,15,25,145.57,36.39,0.2492
Owl: Coastal Fen,OCF,fen,scour,D.2007,2007,30,58,231.68,134.37,0.2721
Owl: Coastal Fen,OCF,fen,scour,D.2007,2007,5,58,234.09,135.77,0.2778
Owl: Coastal Fen,OCF,fen,scour,D.2007,2007,1,49,217.1,106.38,0.2828
Owl: Coastal Fen,OCF,fen,scour,D.2007,2007,28,60,244.95,146.97,0.294
Owl: Coastal Fen,OCF,fen,scour,D.2007,2007,24,63,255.51,160.97,0.3047
Owl: Coastal Fen,OCF,fen,scour,D.2007,2007,23,64,262.45,167.97,0.3164
Owl: Coastal Fen,OCF,fen,scour,D.2007,2007,4,53,240.33,127.38,0.3204
Owl: Coastal Fen,OCF,fen,scour,D.2007,2007,2,44,225.87,99.38,0.3409
