location,site,type,year,sample.no,depth,density,swe,htc
Mary Lake: Forest,MLK,forest,2006,1,56,219.9579406,123.1764467,0.254002852
Mary Lake: Forest,MLK,forest,2006,2,38,246.7949142,93.78206741,0.471233488
Mary Lake: Forest,MLK,forest,2006,3,46,188.6595775,86.78340566,0.227482092
Mary Lake: Forest,MLK,forest,2006,4,44,203.5974326,89.58287036,0.276974156
Mary Lake: Forest,MLK,forest,2006,5,41,206.7622737,84.77253222,0.306553354
Mary Lake: Forest,MLK,forest,2006,6,34,218.1935721,74.18581451,0.411672937
Mary Lake: Forest,MLK,forest,2006,7,34,205.8429925,69.98661747,0.366387449
Mary Lake: Forest,MLK,forest,2006,8,38,197.4200651,75.01962473,0.301540961
Mary Lake: Forest,MLK,forest,2006,9,38,198.9093339,75.58554686,0.306107563
Mary Lake: Forest,MLK,forest,2006,10,33,190.8725931,62.98795572,0.32457909
Mary Lake: Forest,MLK,forest,2006,11,45,230.1782086,103.5801939,0.346149117
Mary Lake: Forest,MLK,forest,2006,12,37,193.9693394,71.76865557,0.298959102
Mary Lake: Forest,MLK,forest,2006,13,47,208.4707754,97.98126445,0.271856572
Mary Lake: Forest,MLK,forest,2006,14,42,199.9617642,83.98394096,0.27989295
Mary Lake: Forest,MLK,forest,2006,15,42,189.963676,79.78474391,0.252603387
Mary Lake: Forest,MLK,forest,2006,16,48,224.0194091,107.5293163,0.307381261
Mary Lake: Forest,MLK,forest,2006,17,56,212.4593745,118.9772497,0.236979675
Mary Lake: Forest,MLK,forest,2006,18,50,198.7619936,99.3809968,0.232297221
Mary Lake: Forest,MLK,forest,2006,19,64,223.0823432,142.7726996,0.228611331
Mary Lake: Forest,MLK,forest,2006,20,64,249.2887858,159.5448229,0.285478129
Mary Lake: Forest,MLK,forest,2006,21,58,183.4132044,106.3796585,0.170522046
Mary Lake: Forest,MLK,forest,2006,22,55,218.8672401,120.376982,0.256062608
Mary Lake: Forest,MLK,forest,2006,23,70,223.9571759,156.7700231,0.21065863
Mary Lake: Forest,MLK,forest,2006,24,53,233.5550229,123.7841622,0.302586735
Mary Lake: Forest,MLK,forest,2006,25,41,184.3549924,75.58554686,0.243709961
Mary Lake: Forest,MLK,forest,2006,26,46,219.0885416,100.7807292,0.306781261
Mary Lake: Forest,MLK,forest,2006,27,58,231.6798371,134.3743055,0.272079497
Mary Lake: Forest,MLK,forest,2006,28,58,241.4465655,140.039008,0.295502664
Mary Lake: Forest,MLK,forest,2006,29,58,224.4398422,130.1751085,0.255340231
Mary Lake: Forest,MLK,forest,2006,30,46,179.5308883,82.58420861,0.206000303
Mary Lake: Forest,MLK,forest,2006,31,38,195.2258277,74.18581451,0.294875221
Mary Lake: Forest,MLK,forest,2006,32,37,193.9693394,71.76865557,0.298959102
Mary Lake: Forest,MLK,forest,2006,33,32,218.7081796,69.98661747,0.439468148
Broad: Coastal Beach Ridge,BBR,beach,2007,1,20,313.4704506,62.69409012,1.444476734
Broad: Coastal Beach Ridge,BBR,beach,2007,2,20,313.4704506,62.69409012,1.444476734
Broad: Coastal Beach Ridge,BBR,beach,2007,3,21,315.2008088,66.19216984,1.390921698
Broad: Coastal Beach Ridge,BBR,beach,2007,4,10,277.1329296,27.71329296,2.257998224
Broad: Coastal Beach Ridge,BBR,beach,2007,5,15,301.3579436,45.20369154,1.78000556
Broad: Coastal Beach Ridge,BBR,beach,2007,6,14,297.8972273,41.70561183,1.863597919
Broad: Coastal Beach Ridge,BBR,beach,2007,7,22,316.7738616,69.69024956,1.34098317
Broad: Coastal Beach Ridge,BBR,beach,2007,8,21,315.2008088,66.19216984,1.390921698
Broad: Coastal Beach Ridge,BBR,beach,2007,9,14,297.8972273,41.70561183,1.863597919
Broad: Coastal Beach Ridge,BBR,beach,2007,10,18,309.4329483,55.69793069,1.563896242
Broad: Coastal Beach Ridge,BBR,beach,2007,11,20,313.4704506,62.69409012,1.444476734
Broad: Coastal Beach Ridge,BBR,beach,2007,12,12,289.2454366,34.7094524,2.049741604
Broad: Coastal Beach Ridge,BBR,beach,2007,13,16,304.3860704,48.70177126,1.702459917
Broad: Coastal Beach Ridge,BBR,beach,2007,14,10,277.1329296,27.71329296,2.257998224
Broad: Coastal Beach Ridge,BBR,beach,2007,15,18,309.4329483,55.69793069,1.563896242
Broad: Coastal Beach Ridge,BBR,beach,2007,16,10,277.1329296,27.71329296,2.257998224
Broad: Coastal Beach Ridge,BBR,beach,2007,17,10,277.1329296,27.71329296,2.257998224
Broad: Coastal Beach Ridge,BBR,beach,2007,18,18,309.4329483,55.69793069,1.563896242
Broad: Coastal Beach Ridge,BBR,beach,2007,19,10,277.1329296,27.71329296,2.257998224
Broad: Coastal Beach Ridge,BBR,beach,2007,20,20,313.4704506,62.69409012,1.444476734
Broad: Coastal Beach Ridge,BBR,beach,2007,21,14,297.8972273,41.70561183,1.863597919
Broad: Coastal Beach Ridge,BBR,beach,2007,22,16,304.3860704,48.70177126,1.702459917
Broad: Coastal Beach Ridge,BBR,beach,2007,23,14,297.8972273,41.70561183,1.863597919
Broad: Coastal Beach Ridge,BBR,beach,2007,24,14,297.8972273,41.70561183,1.863597919
Broad: Coastal Beach Ridge,BBR,beach,2007,25,26,321.8560324,83.68256842,1.171378609
Broad: Coastal Beach Ridge,BBR,beach,2007,26,20,313.4704506,62.69409012,1.444476734
Broad: Coastal Beach Ridge,BBR,beach,2007,27,16,304.3860704,48.70177126,1.702459917
Broad: Coastal Beach Ridge,BBR,beach,2007,28,18,309.4329483,55.69793069,1.563896242
Broad: Coastal Beach Ridge,BBR,beach,2007,29,30,325.5829576,97.67488728,1.03884177
Broad: Coastal Beach Ridge,BBR,beach,2007,30,24,319.5267041,76.68640899,1.250692104
Broad: Coastal Beach Ridge,BBR,beach,2007,31,30,325.5829576,97.67488728,1.03884177
Broad: Coastal Beach Ridge,BBR,beach,2007,32,22,316.7738616,69.69024956,1.34098317
Broad: Coastal Beach Ridge,BBR,beach,2007,33,18,309.4329483,55.69793069,1.563896242
Broad: Riparian Forest,BRF,forest,2007,NA,NA,NA,NA,NA
Broad: Sedge Fen,BCF,fen,2007,NA,NA,NA,NA,NA
Broad: Shrub,BSH,shrub,2007,NA,NA,NA,NA,NA
Broad: Spruce Forest,BSF,forest,2007,NA,NA,NA,NA,NA
Mary Lake: Forest,MLK,forest,2007,1,86,268.6815634,231.0661445,0.246788326
Mary Lake: Forest,MLK,forest,2007,2,86,268.6815634,231.0661445,0.246788326
Mary Lake: Forest,MLK,forest,2007,3,82,265.9295949,218.0622679,0.253551872
Mary Lake: Forest,MLK,forest,2007,4,68,253.7480876,172.5486996,0.278383809
Mary Lake: Forest,MLK,forest,2007,5,86,268.6815634,231.0661445,0.246788326
Mary Lake: Forest,MLK,forest,2007,6,90,271.1889124,244.0700211,0.240241859
Mary Lake: Forest,MLK,forest,2007,7,76,261.2584906,198.5564529,0.264042943
Mary Lake: Forest,MLK,forest,2007,8,88,269.9637305,237.5680828,0.243486844
Mary Lake: Forest,MLK,forest,2007,9,88,269.9637305,237.5680828,0.243486844
Mary Lake: Forest,MLK,forest,2007,10,78,262.8953733,205.0583912,0.26050653
Mary Lake: Forest,MLK,forest,2007,11,57,239.9790154,136.7880388,0.297042786
Mary Lake: Forest,MLK,forest,2007,12,63,248.0854822,156.2938538,0.287216564
Mary Lake: Forest,MLK,forest,2007,13,61,245.5605171,149.7919155,0.290626073
Mary Lake: Forest,MLK,forest,2007,14,58,241.4465655,140.039008,0.295502664
Mary Lake: Forest,MLK,forest,2007,15,64,249.2887858,159.5448229,0.285478129
Mary Lake: Forest,MLK,forest,2007,16,77,262.0875611,201.807422,0.262270488
Mary Lake: Forest,MLK,forest,2007,17,76,261.2584906,198.5564529,0.264042943
Mary Lake: Forest,MLK,forest,2007,18,50,228.0625093,114.0312547,0.305833548
Mary Lake: Forest,MLK,forest,2007,19,46,219.6247348,101.027378,0.30828472
Mary Lake: Forest,MLK,forest,2007,20,41,206.7622737,84.77253222,0.306553354
Mary Lake: Forest,MLK,forest,2007,21,50,228.0625093,114.0312547,0.305833548
Mary Lake: Forest,MLK,forest,2007,22,53,233.5550229,123.7841622,0.302586735
Mary Lake: Forest,MLK,forest,2007,23,53,233.5550229,123.7841622,0.302586735
Mary Lake: Forest,MLK,forest,2007,24,64,249.2887858,159.5448229,0.285478129
Mary Lake: Forest,MLK,forest,2007,25,75,260.4073116,195.3054837,0.265822914
Mary Lake: Forest,MLK,forest,2007,26,90,271.1889124,244.0700211,0.240241859
Mary Lake: Forest,MLK,forest,2007,27,96,274.5581626,263.5758361,0.230857941
Mary Lake: Forest,MLK,forest,2007,28,109,280.5857204,305.8384352,0.212349852
Mary Lake: Forest,MLK,forest,2007,29,122,285.3287167,348.1010343,0.196190722
Mary Lake: Forest,MLK,forest,2007,30,96,274.5581626,263.5758361,0.230857941
Mary Lake: Forest,MLK,forest,2007,31,100,276.5797128,276.5797128,0.224899232
Mary Lake: Forest,MLK,forest,2007,32,106,279.3259696,296.0855277,0.216403408
Mary Lake: Forest,MLK,forest,2007,33,108,280.1735797,302.5874661,0.213686917
Owl: Coastal Beach Ridge,OBR,beach,2007,1,32,205.5856888,65.78742042,0.388314056
Owl: Coastal Beach Ridge,OBR,beach,2007,2,23,267.7748842,61.58822337,0.916556359
