year,month,day,jd,Year-JD,Tair,T0,T80,tun15,season,ppa80
2005,8,27,239,2005-239,14.38,16.524,,10.57,JJA,-0.493
2005,8,28,240,2005-240,10.19,9.61,0.58,10.17,JJA,-0.582
2005,8,29,241,2005-241,12.68,14.06,0.47,13.86,JJA,-0.547
2005,8,30,242,2005-242,17.05,18.02,0.433,19.01,JJA,-0.56
2005,8,31,243,2005-243,15.75,17.27,0.57,13.66,JJA,-0.412
2005,9,1,244,2005-244,10.86,11.09,0.783,9.94,SON,-0.459
2005,9,2,245,2005-245,8.09,7.55,0.836,8.44,SON,-0.428
2005,9,3,246,2005-246,8.42,7.34,0.832,8.6,SON,-0.704
2005,9,4,247,2005-247,12.52,12.17,,11.48,SON,-0.497
2005,9,5,248,2005-248,15,15.13,,14.33,SON,-0.578
2005,9,6,249,2005-249,10.23,10.01,,9.46,SON,-0.506
2005,9,7,250,2005-250,8.31,8.36,,8.54,SON,-0.436
2005,9,8,251,2005-251,11.38,11.48,,10.06,SON,-0.643
2005,9,9,252,2005-252,14.83,15.03,,14.17,SON,-0.409
2005,9,10,253,2005-253,14.28,14.09,,13.98,SON,-0.483
2005,9,11,254,2005-254,9.58,9.52,,8.74,SON,-0.423
2005,9,12,255,2005-255,8.35,8.64,,7.75,SON,-0.463
2005,9,13,256,2005-256,6.83,6.82,,7.01,SON,-0.459
2005,9,14,257,2005-257,4.478,4.328,,4.886,SON,-0.52
2005,9,15,258,2005-258,5.731,5.802,,5.691,SON,-0.65
2005,9,16,259,2005-259,6.685,6.076,,8.04,SON,-0.51
2005,9,17,260,2005-260,7.49,8.17,,5.211,SON,-0.439
2005,9,18,261,2005-261,8.94,8.16,,9,SON,-0.621
2005,9,19,262,2005-262,9.71,9.98,,7.67,SON,-0.379
2005,9,20,263,2005-263,9.56,9.78,,8.27,SON,-0.452
2005,9,21,264,2005-264,3.694,3.452,,5.039,SON,-0.467
2005,9,22,265,2005-265,1.332,1.125,,2.98,SON,-0.569
2005,9,23,266,2005-266,2.881,3.078,,3.346,SON,-0.589
2005,9,24,267,2005-267,4.22,4.002,,5.557,SON,-0.49
2005,9,25,268,2005-268,2.983,2.636,,3.501,SON,-0.512
2005,9,26,269,2005-269,3.475,3.105,,4.348,SON,-0.57
2005,9,27,270,2005-270,4.946,5.498,,5.844,SON,-0.459
2005,9,28,271,2005-271,2.495,2.299,,5.257,SON,-0.476
2005,9,29,272,2005-272,2.733,2.822,,4.375,SON,-0.481
2005,9,30,273,2005-273,4.52,4.336,,5.448,SON,-0.479
2005,10,1,274,2005-274,1.325,0.616,,1.228,SON,-0.521
2005,10,2,275,2005-275,-0.254,-1.107,,2.242,SON,-0.549
2005,10,3,276,2005-276,0.994,0.578,,1.473,SON,-0.496
2005,10,4,277,2005-277,-1.323,-2.194,,-1.169,SON,-0.64
2005,10,5,278,2005-278,-4.381,-6.353,,-3.102,SON,-0.551
2005,10,6,279,2005-279,-3.205,-6.725,,-2.16,SON,-0.62
2005,10,7,280,2005-280,1.012,0.138,,2.136,SON,-0.562
