site,pit,date,depth,density,swe,htc
AIR,Upland forest,2007,70,185.96,130.18,0.15
AIR,Upland forest,2007,70,177.97,124.58,0.13
AIR,Upland forest,2007,70,195.96,137.17,0.16
AIR,Upland forest,2007,78,190.22,148.37,0.14
AIR,Upland forest,2007,74,174.02,128.78,0.12
AIR,Upland forest,2007,72,178.85,128.78,0.13
AIR,Upland forest,2007,67,220.41,147.67,0.21
AIR,Upland forest,2007,73,247.35,180.57,0.25
AIR,Upland forest,2007,68,210.99,143.47,0.19
AIR,Upland forest,2007,75,143.71,107.78,0.08
AIR,Upland forest,2007,82,112.66,92.38,0.05
AIR,Upland forest,2007,83,210.80,174.97,0.16
AIR,Upland forest,2007,74,189.15,139.97,0.14
AIR,Upland forest,2007,74,186.32,137.87,0.14
AIR,Upland forest,2007,81,338.70,274.35,0.42
AIR,Upland forest,2007,83,229.35,190.36,0.19
AIR,Upland forest,2007,81,235.02,190.36,0.20
AIR,Upland forest,2007,75,205.29,153.97,0.17
AIR,Upland forest,2007,77,181.78,139.97,0.13
AIR,Upland forest,2007,72,241.07,173.57,0.24
AIR,Upland forest,2007,70,237.95,166.57,0.24
AIR,Upland forest,2007,72,204.13,146.97,0.17
AIR,Upland forest,2007,90,150.08,135.07,0.07
AIR,Upland forest,2007,77,203.60,156.77,0.16
AIR,Upland forest,2007,80,201.21,160.97,0.15
AIR,Upland forest,2007,80,236.20,188.96,0.21
AIR,Upland forest,2007,84,199.96,167.97,0.14
AIR,Upland forest,2007,86,201.82,173.57,0.14
AIR,Upland forest,2007,97,242.43,235.16,0.18
AIR,Upland forest,2007,92,286.03,263.15,0.26
AIR,Upland forest,2007,85,223.96,190.36,0.17
AIR,Upland forest,2007,78,186.63,145.57,0.13
AIR,Upland forest,2007,64,184.81,118.28,0.16
AIR,Upland forest,2007,72,219.68,158.17,0.20
AIR,Upland forest,2007,62,189.64,117.58,0.17
AIR,Upland forest,2007,48,207.04,99.38,0.26
AIR,Upland forest,2007,48,224.54,107.78,0.31
AIR,Upland forest,2007,42,187.96,78.94,0.25
AIR,Upland forest,2007,38,184.18,69.99,0.26
AIR,Upland forest,2007,43,198.57,85.38,0.27
AIR,Upland forest,2007,35,183.96,64.39,0.28
AIR,Upland forest,2007,40,194.56,77.83,0.28
AIR,Upland forest,2007,40,153.97,61.59,0.17
AIR,Upland forest,2007,51,203.10,103.58,0.24
AIR,Upland forest,2007,44,185.78,81.74,0.23
AIR,Upland forest,2007,38,191.54,72.79,0.28
AIR,Upland forest,2007,36,188.19,67.75,0.29
AIR,Upland forest,2007,34,180.32,61.31,0.28
AIR,Upland forest,2007,36,214.63,77.27,0.38
AIR,Upland forest,2007,29,207.55,60.19,0.44
AIR,Upland forest,2007,32,188.09,60.19,0.33
AIR,Upland forest,2007,30,191.30,57.39,0.36
AIR,Upland forest,2007,45,255.06,114.78,0.43
AIR,Upland forest,2007,47,163.80,76.99,0.17
AIR,Upland forest,2007,47,175.71,82.58,0.19
AIR,Upland forest,2007,43,205.08,88.18,0.29
AIR,Upland forest,2007,60,373.26,223.96,0.68
AIR,Upland forest,2007,48,189.55,90.98,0.22
AIR,Upland forest,2007,37,219.42,81.18,0.38
AIR,Upland forest,2007,50,204.36,102.18,0.25
AIR,Upland forest,2007,52,304.17,158.17,0.52
AIR,Upland forest,2007,47,235.27,110.58,0.35
AIR,Upland forest,2007,35,211.96,74.19,0.38
AIR,Upland forest,2007,30,289.28,86.78,0.82
AIR,Upland forest,2007,49,342.79,167.97,0.71
AIR,Upland forest,2007,48,347.02,166.57,0.74
AIR,Upland forest,2007,60,244.95,146.97,0.29
AIR,Upland forest,2007,44,235.41,103.58,0.37
AIR,Upland forest,2007,32,188.09,60.19,0.33
AIR,Upland forest,2007,48,198.30,95.18,0.24
AIR,Upland forest,2008,79,237.42,187.56,0.21
AIR,Upland forest,2008,75,131.76,98.82,0.07
AIR,Upland forest,2008,78,211.75,165.17,0.17
AIR,Upland forest,2008,44,229.05,100.78,0.35
AIR,Upland forest,2008,86,253.90,218.36,0.22
AIR,Upland forest,2008,79,219.70,173.57,0.18
