site,year,depth,density,swe,htc
TIS,2004,210,249.29,523.5,0.09
TIS,2004,97,178.93,173.57,0.1
TIS,2004,186,255.87,475.91,0.1
TIS,2004,230,344.21,791.69,0.15
TIS,2004,110,249.41,274.35,0.17
TIS,2004,238,377.34,898.07,0.18
TIS,2004,151,302.19,456.31,0.18
TIS,2004,108,256.62,277.15,0.18
TIS,2004,149,306.25,456.31,0.19
TIS,2004,125,282.19,352.73,0.19
TIS,2004,118,276.63,326.42,0.19
TIS,2004,100,257.55,257.55,0.2
TIS,2004,215,381.25,819.68,0.2
TIS,2004,102,263.48,268.75,0.2
TIS,2004,219,393.46,861.68,0.21
TIS,2004,223,397.7,886.87,0.21
TIS,2004,135,311.05,419.92,0.21
TIS,2004,220,398.03,875.67,0.21
TIS,2004,219,398.57,872.87,0.21
TIS,2004,141,321.64,453.51,0.22
TIS,2004,190,375.72,713.86,0.22
TIS,2004,99,274.29,271.55,0.22
TIS,2004,139,326.27,453.51,0.23
TIS,2004,164,355.05,582.29,0.23
TIS,2004,106,287.87,305.14,0.23
TIS,2004,142,335.15,475.91,0.23
TIS,2004,143,336.72,481.51,0.23
TIS,2004,196,394.21,772.65,0.23
TIS,2004,111,297.6,330.34,0.23
TIS,2004,107,293.03,313.54,0.24
TIS,2004,107,293.03,313.54,0.24
TIS,2004,151,348.54,526.3,0.24
TIS,2004,108,295.5,319.14,0.24
TIS,2004,142,339.09,481.51,0.24
TIS,2004,157,356.62,559.89,0.24
TIS,2004,97,282.83,274.35,0.24
TIS,2004,140,339.93,475.91,0.24
TIS,2004,140,339.93,475.91,0.24
TIS,2004,147,348.5,512.3,0.24
TIS,2004,133,332.57,442.32,0.24
TIS,2004,113,307.2,347.13,0.25
TIS,2004,113,307.2,347.13,0.25
TIS,2004,111,307.69,341.53,0.25
TIS,2004,113,314.63,355.53,0.26
TIS,2004,158,372.08,587.89,0.26
TIS,2004,112,314.94,352.73,0.26
TIS,2004,86,276.69,237.95,0.26
TIS,2004,165,385.14,635.48,0.26
TIS,2004,137,351.47,481.51,0.27
TIS,2004,137,353.51,484.31,0.27
TIS,2004,141,361.35,509.5,0.27
TIS,2004,97,300.15,291.14,0.27
TIS,2004,96,300.36,288.34,0.28
TIS,2004,118,333.56,393.6,0.28
TIS,2004,155,384.7,596.29,0.28
TIS,2004,93,298.01,277.15,0.28
TIS,2004,150,384.46,576.69,0.29
TIS,2004,101,327.07,330.34,0.31
TIS,2004,45,240.13,108.06,0.38
TIS,2004,46,283.6,130.46,0.51
TIS,2004,47,289.48,136.05,0.52
TIS,2004,47,307.35,144.45,0.59
TIS,2004,40,284.15,113.66,0.59
TIS,2004,44,321.94,141.65,0.69
TIS,2004,47,349.04,164.05,0.76
TIS,2004,40,347.13,138.85,0.89
TIS,2004,35,340.73,119.26,0.98
TIS,2005,218,321.04,699.87,0.14
TIS,2005,243,357.13,867.83,0.15
TIS,2005,224,356.18,797.85,0.17
TIS,2005,140,287.94,403.12,0.17
TIS,2005,118,272.83,321.94,0.19
TIS,2005,181,340.27,615.88,0.19
TIS,2005,226,380.9,860.84,0.19
TIS,2005,248,400.73,993.81,0.19
TIS,2005,238,394.04,937.82,0.19
TIS,2005,234,394.8,923.82,0.2
TIS,2005,170,337.58,573.89,0.2
TIS,2005,146,316.38,461.91,0.2
TIS,2005,148,319.67,473.11,0.2
TIS,2005,116,283.57,328.94,0.2
TIS,2005,176,349.93,615.88,0.2
TIS,2005,133,311.52,414.32,0.21
TIS,2005,119,299.94,356.93,0.22
TIS,2005,132,318.12,419.92,0.23
TIS,2005,140,329.94,461.91,0.23
TIS,2005,127,319.62,405.92,0.24
TIS,2005,117,317.03,370.93,0.25
TIS,2005,166,387.88,643.88,0.27
TIS,2005,142,358.8,509.5,0.27
TIS,2005,140,357.93,501.1,0.27
TIS,2005,140,361.93,506.7,0.28
TIS,2005,164,392.61,643.88,0.28
TIS,2005,77,269.04,207.16,0.28
TIS,2005,158,398.66,629.88,0.3
TIS,2005,144,382.98,551.49,0.3
TIS,2005,75,287.41,215.56,0.32
TIS,2005,80,297.44,237.95,0.33
TIS,2005,72,283.83,204.36,0.33
TIS,2005,74,295.08,218.36,0.35
TIS,2005,61,284.54,173.57,0.39
TIS,2005,77,319.94,246.35,0.39
TIS,2006,211,307.81,649.48,0.13
TIS,2006,181,303.15,548.7,0.15
TIS,2006,160,290.44,464.71,0.16
TIS,2006,210,341.27,716.66,0.16
TIS,2006,168,308.27,517.9,0.17
TIS,2006,106,250.9,265.95,0.17
TIS,2006,148,298.86,442.32,0.18
TIS,2006,128,279.95,358.33,0.18
TIS,2006,104,255.72,265.95,0.18
TIS,2006,122,277.65,338.74,0.19
TIS,2006,91,246.11,223.96,0.2
TIS,2006,112,274.95,307.94,0.2
TIS,2006,126,297.72,375.13,0.21
TIS,2006,107,274.71,293.94,0.21
