site,pit,year,depth,density,swe,htc
BFR,BFR,2003,46.00,91.29,41.99,0.05
BFR,BFR,2003,50.00,111.98,55.99,0.07
BFR,BFR,2003,46.00,115.63,53.19,0.09
BFR,BFR,2003,58.00,144.80,83.98,0.11
BFR,BFR,2003,58.00,144.80,83.98,0.11
BFR,BFR,2003,41.00,136.56,55.99,0.13
BFR,BFR,2003,47.00,148.91,69.99,0.14
BFR,BFR,2003,64.00,174.97,111.98,0.14
BFR,BFR,2003,63.00,177.74,111.98,0.15
BFR,BFR,2003,46.00,152.14,69.99,0.15
BFR,BFR,2003,50.00,167.97,83.98,0.17
BFR,BFR,2003,64.00,196.84,125.98,0.18
BFR,BFR,2003,61.00,195.04,118.98,0.18
BFR,BFR,2003,48.00,174.97,83.98,0.19
BFR,BFR,2003,58.00,193.07,111.98,0.19
BFR,BFR,2003,58.00,193.07,111.98,0.19
BFR,BFR,2003,42.00,166.63,69.99,0.19
BFR,BFR,2003,50.00,181.97,90.98,0.19
BFR,BFR,2003,62.00,203.19,125.98,0.20
BFR,BFR,2003,63.00,211.07,132.97,0.21
BFR,BFR,2003,41.00,170.70,69.99,0.21
BFR,BFR,2003,69.00,223.15,153.97,0.21
BFR,BFR,2003,46.00,182.57,83.98,0.21
BFR,BFR,2003,46.00,182.57,83.98,0.21
BFR,BFR,2003,66.00,222.68,146.97,0.22
BFR,BFR,2003,68.00,226.43,153.97,0.22
BFR,BFR,2003,45.00,186.63,83.98,0.23
BFR,BFR,2003,63.00,222.18,139.97,0.23
BFR,BFR,2003,63.00,222.18,139.97,0.23
BFR,BFR,2003,63.00,222.18,139.97,0.23
BFR,BFR,2003,54.00,207.37,111.98,0.23
BFR,BFR,2003,54.00,207.37,111.98,0.23
BFR,BFR,2003,62.00,225.76,139.97,0.24
BFR,BFR,2003,51.00,205.84,104.98,0.24
BFR,BFR,2003,65.00,236.88,153.97,0.25
BFR,BFR,2003,48.00,204.13,97.98,0.26
BFR,BFR,2003,48.00,204.13,97.98,0.26
BFR,BFR,2003,43.00,195.31,83.98,0.26
BFR,BFR,2003,43.00,195.31,83.98,0.26
BFR,BFR,2003,56.00,224.96,125.98,0.27
BFR,BFR,2003,60.00,233.29,139.97,0.27
BFR,BFR,2003,49.00,214.24,104.98,0.28
BFR,BFR,2003,65.00,247.64,160.97,0.28
BFR,BFR,2003,65.00,247.64,160.97,0.28
BFR,BFR,2003,51.00,219.57,111.98,0.28
BFR,BFR,2003,42.00,199.96,83.98,0.28
BFR,BFR,2003,66.00,254.50,167.97,0.29
BFR,BFR,2003,46.00,213.00,97.98,0.29
BFR,BFR,2003,39.00,197.40,76.99,0.29
BFR,BFR,2003,58.00,241.33,139.97,0.30
BFR,BFR,2003,58.00,241.33,139.97,0.30
BFR,BFR,2003,52.00,228.80,118.98,0.30
BFR,BFR,2003,54.00,233.29,125.98,0.30
BFR,BFR,2003,63.00,255.51,160.97,0.30
BFR,BFR,2003,63.00,255.51,160.97,0.30
BFR,BFR,2003,43.00,211.59,90.98,0.31
BFR,BFR,2003,49.00,228.53,111.98,0.31
BFR,BFR,2003,49.00,228.53,111.98,0.31
BFR,BFR,2003,51.00,233.29,118.98,0.31
BFR,BFR,2003,51.00,233.29,118.98,0.31
BFR,BFR,2003,60.00,256.62,153.97,0.32
BFR,BFR,2003,40.00,209.96,83.98,0.32
BFR,BFR,2003,40.00,209.96,83.98,0.32
BFR,BFR,2003,40.00,209.96,83.98,0.32
BFR,BFR,2003,56.00,249.95,139.97,0.33
BFR,BFR,2003,56.00,249.95,139.97,0.33
BFR,BFR,2003,54.00,246.25,132.97,0.33
BFR,BFR,2003,37.00,208.07,76.99,0.34
BFR,BFR,2003,49.00,242.81,118.98,0.35
BFR,BFR,2003,58.00,265.47,153.97,0.36
