site,zone,year,zone.year,depth,density,swe,htc
BLK,aF,2008,2008.aF,84,131.6414948,110.5788556,0.060653191
BLK,aF,2008,2008.aF,86,159.504384,137.1737702,0.086974938
BLK,aF,2008,2008.aF,82,170.699067,139.9732349,0.104471005
BLK,aF,2008,2008.aF,61,137.6785917,83.98394096,0.091358787
BLK,aF,2008,2008.aF,78,139.9732349,109.1791232,0.073848678
BLK,aF,2008,2008.aF,80,174.9665437,139.9732349,0.112503846
BLK,aF,2008,2008.aF,86,175.7803415,151.1710937,0.105630537
BLK,aF,2008,2008.aF,50,145.5721643,72.78608217,0.12460458
BLK,aF,2008,2008.aF,88,146.3356547,128.7753761,0.071542641
BLK,aF,2008,2008.aF,64,174.9665437,111.9785879,0.140629807
BLK,aF,2008,2008.aF,88,152.6980745,134.3743055,0.077898982
BLK,aF,2008,2008.aF,60,144.6390094,86.78340566,0.102510171
BLK,aF,2008,2008.aF,94,163.7984664,153.9705584,0.083914911
BLK,aF,2008,2008.aF,68,144.0900948,97.98126445,0.089764925
BLK,aF,2008,2008.aF,66,182.3893667,120.376982,0.148184379
BLK,aF,2008,2008.aF,74,174.0207786,128.7753761,0.12031446
BLK,aF,2008,2008.aF,63,159.9694114,100.7807292,0.119420992
BLK,aF,2008,2008.aF,76,184.1753091,139.9732349,0.131218948
BLK,aF,2008,2008.aF,66,152.6980745,100.7807292,0.103865309
BLK,aF,2008,2008.aF,82,187.7689737,153.9705584,0.126409916
BLK,aF,2008,2008.aF,62,198.6716883,123.1764467,0.187166279
BLK,aF,2008,2008.aF,78,129.206063,100.7807292,0.062924318
BLK,aF,2008,2008.aF,58,197.8931942,114.7780526,0.19850939
BLK,aF,2008,2008.aF,84,146.6386271,123.1764467,0.075260104
BLK,aF,2008,2008.aF,66,199.3558195,131.5748408,0.177035854
BLK,aF,2008,2008.aF,84,133.3078428,111.9785879,0.062198433
BLK,aF,2008,2008.aF,59,185.0493614,109.1791232,0.170635937
BLK,aF,2008,2008.aF,90,146.1942676,131.5748408,0.069817695
BLK,aF,2008,2008.aF,68,156.4406743,106.3796585,0.105812695
BLK,aF,2008,2008.aF,88,146.3356547,128.7753761,0.071542641
BLK,aF,2008,2008.aF,78,157.9185215,123.1764467,0.093998055
BLK,aF,2008,2008.aF,74,166.4546578,123.1764467,0.11007977
BLK,aF,2008,2008.aF,72,190.5191253,137.1737702,0.148214943
BLK,bE,2008,2008.bE,72,190.5191253,137.1737702,0.148214943
BLK,bE,2008,2008.bE,62,189.641157,117.5775173,0.17053787
BLK,bE,2008,2008.bE,94,241.2304687,226.7566406,0.182005201
BLK,bE,2008,2008.bE,86,218.0978312,187.5641348,0.162611619
BLK,bE,2008,2008.bE,66,203.5974326,134.3743055,0.184649438
BLK,bE,2008,2008.bE,73,195.5790406,142.7726996,0.154052621
BLK,bE,2008,2008.bE,66,233.2887249,153.9705584,0.24243253
BLK,bE,2008,2008.bE,70,231.9556465,162.3689525,0.225974372
BLK,bE,2008,2008.bE,70,199.9617642,139.9732349,0.16793577
BLK,bE,2008,2008.bE,80,253.7014883,202.9611907,0.236539336
BLK,bE,2008,2008.bE,66,182.3893667,120.376982,0.148184379
BLK,bE,2008,2008.bE,64,229.6435886,146.9718967,0.242256817
BLK,bE,2008,2008.bE,74,147.5393557,109.1791232,0.086483125
BLK,bE,2008,2008.bE,80,244.9531611,195.9625289,0.220507538
BLK,bE,2008,2008.bE,64,201.2115252,128.7753761,0.18598292
BLK,bE,2008,2008.bE,62,207.7022196,128.7753761,0.204568102
BLK,bE,2008,2008.bE,82,170.699067,139.9732349,0.104471005
BLK,bE,2008,2008.bE,68,189.3755531,128.7753761,0.155055168
BLK,bE,2008,2008.bE,64,196.8373616,125.9759114,0.1779846
BLK,bE,2008,2008.bE,68,205.8429925,139.9732349,0.183193724
BLK,bE,2008,2008.bE,75,194.0962191,145.5721643,0.147679502
BLK,bE,2008,2008.bE,70,171.9671172,120.376982,0.124205295
BLK,bE,2008,2008.bE,68,185.2586933,125.9759114,0.148386917
BLK,bE,2008,2008.bE,72,217.7361432,156.7700231,0.193586865
BLK,bE,2008,2008.bE,65,176.5816195,114.7780526,0.141034371
