site,zone,date,year,zone.year,depth,density,swe,htc
BLK,E,20080306,2008,E.2008,74,148,109,0.086
BLK,E,20080306,2008,E.2008,78,162,126,0.098
BLK,E,20080306,2008,E.2008,82,171,140,0.104
BLK,E,20080306,2008,E.2008,70,172,120,0.124
BLK,E,20080306,2008,E.2008,65,177,115,0.141
BLK,E,20080306,2008,E.2008,67,180,120,0.142
BLK,E,20080306,2008,E.2008,75,194,146,0.148
BLK,E,20080306,2008,E.2008,66,182,120,0.148
BLK,E,20080306,2008,E.2008,72,191,137,0.148
BLK,E,20080306,2008,E.2008,68,185,126,0.148
BLK,E,20080306,2008,E.2008,73,196,143,0.154
BLK,E,20080306,2008,E.2008,68,189,129,0.155
BLK,E,20080306,2008,E.2008,76,203,154,0.159
BLK,E,20080306,2008,E.2008,86,218,188,0.163
BLK,E,20080306,2008,E.2008,70,200,140,0.168
BLK,E,20080306,2008,E.2008,62,190,118,0.171
BLK,E,20080306,2008,E.2008,64,197,126,0.178
BLK,E,20080306,2008,E.2008,94,241,227,0.182
BLK,E,20080306,2008,E.2008,68,206,140,0.183
BLK,E,20080306,2008,E.2008,66,204,134,0.185
BLK,E,20080306,2008,E.2008,64,201,129,0.186
BLK,E,20080306,2008,E.2008,82,232,190,0.193
BLK,E,20080306,2008,E.2008,72,218,157,0.194
BLK,E,20080306,2008,E.2008,66,212,140,0.2
BLK,E,20080306,2008,E.2008,62,208,129,0.205
BLK,E,20080306,2008,E.2008,62,212,132,0.214
BLK,E,20080306,2008,E.2008,80,245,196,0.221
BLK,E,20080306,2008,E.2008,76,239,182,0.222
BLK,E,20080306,2008,E.2008,70,232,162,0.226
BLK,E,20080306,2008,E.2008,80,254,203,0.237
BLK,E,20080306,2008,E.2008,64,230,147,0.242
BLK,E,20080306,2008,E.2008,66,233,154,0.242
BLK,E,20080306,2008,E.2008,67,242,162,0.258
BLK,F,20080306,2008,A.2008,84,132,111,0.061
BLK,F,20080306,2008,A.2008,84,133,112,0.062
BLK,F,20080306,2008,A.2008,78,129,101,0.063
BLK,F,20080306,2008,A.2008,90,146,132,0.07
BLK,F,20080306,2008,A.2008,88,146,129,0.072
BLK,F,20080306,2008,A.2008,88,146,129,0.072
BLK,F,20080306,2008,A.2008,78,140,109,0.074
BLK,F,20080306,2008,A.2008,84,147,123,0.075
BLK,F,20080306,2008,A.2008,88,153,134,0.078
BLK,F,20080306,2008,A.2008,94,164,154,0.084
BLK,F,20080306,2008,A.2008,86,160,137,0.087
BLK,F,20080306,2008,A.2008,68,144,98,0.09
BLK,F,20080306,2008,A.2008,61,138,84,0.091
BLK,F,20080306,2008,A.2008,78,158,123,0.094
BLK,F,20080306,2008,A.2008,60,145,87,0.103
BLK,F,20080306,2008,A.2008,66,153,101,0.104
BLK,F,20080306,2008,A.2008,82,171,140,0.104
BLK,F,20080306,2008,A.2008,86,176,151,0.106
BLK,F,20080306,2008,A.2008,68,156,106,0.106
BLK,F,20080306,2008,A.2008,74,166,123,0.11
BLK,F,20080306,2008,A.2008,80,175,140,0.113
BLK,F,20080306,2008,A.2008,63,160,101,0.119
BLK,F,20080306,2008,A.2008,74,174,129,0.12
BLK,F,20080306,2008,A.2008,50,146,73,0.125
BLK,F,20080306,2008,A.2008,82,188,154,0.126
BLK,F,20080306,2008,A.2008,76,184,140,0.131
BLK,F,20080306,2008,A.2008,64,175,112,0.141
BLK,F,20080306,2008,A.2008,66,182,120,0.148
BLK,F,20080306,2008,A.2008,72,191,137,0.148
BLK,F,20080306,2008,A.2008,59,185,109,0.171
BLK,F,20080306,2008,A.2008,66,199,132,0.177
BLK,F,20080306,2008,A.2008,62,199,123,0.187
BLK,F,20080306,2008,A.2008,58,198,115,0.199
BLK,T,20080306,2008,T.2008,14,80,11,0.134
BLK,T,20080306,2008,T.2008,14,100,14,0.21
BLK,T,20080306,2008,T.2008,14,120,17,0.302
BLK,T,20080306,2008,T.2008,20,154,31,0.348
BLK,T,20080306,2008,T.2008,13,129,17,0.378
BLK,T,20080306,2008,T.2008,20,168,34,0.415
BLK,T,20080306,2008,T.2008,11,127,14,0.433
BLK,T,20080306,2008,T.2008,11,127,14,0.433
BLK,T,20080306,2008,T.2008,12,140,17,0.48
BLK,T,20080306,2008,T.2008,12,140,17,0.48
BLK,T,20080306,2008,T.2008,20,182,36,0.487
BLK,T,20080306,2008,T.2008,11,153,17,0.623
BLK,T,20080306,2008,T.2008,11,153,17,0.623
BLK,T,20080306,2008,T.2008,12,163,20,0.653
BLK,T,20080306,2008,T.2008,15,187,28,0.683
BLK,T,20080306,2008,T.2008,10,168,17,0.829
BLK,T,20080306,2008,T.2008,14,200,28,0.84
BLK,T,20080306,2008,T.2008,14,200,28,0.84
