site,group,date,year,zone,sample,weight,depth,density,swe,htc
T10,2,20120223,2012,Deflation,19,172,28,172,48,0.31
T10,2,20120223,2012,Deflation,21,170,26,183,48,0.38
T10,2,20120223,2012,Deflation,18,117,19,172,33,0.46
T10,2,20120223,2012,Deflation,24,282,34,232,79,0.47
T10,2,20120223,2012,Deflation,23,110,18,171,31,0.48
T10,3,20120223,2012,Deflation,1,450,46,274,126,0.48
T10,2,20120223,2012,Deflation,22,170,24,198,48,0.48
T10,3,20120223,2012,Deflation,11,220,28,220,62,0.51
T10,2,20120223,2012,Deflation,20,160,22,204,45,0.55
T10,2,20120223,2012,Deflation,13,145,20,203,41,0.61
T10,3,20120223,2012,Deflation,2,540,48,315,151,0.61
T10,3,20120223,2012,Deflation,12,540,48,315,151,0.61
T10,3,20120223,2012,Deflation,3,440,40,308,123,0.70
T10,2,20120223,2012,Deflation,14,260,28,260,73,0.71
T10,3,20120223,2012,Deflation,9,230,24,268,64,0.88
T10,3,20120223,2012,Deflation,4,460,38,339,129,0.89
T10,3,20120223,2012,Deflation,5,440,36,342,123,0.96
T10,3,20120223,2012,Deflation,6,340,30,317,95,0.99
T10,3,20120223,2012,Deflation,10,220,22,280,62,1.05
T10,3,20120223,2012,Deflation,8,360,30,336,101,1.11
T10,3,20120223,2012,Deflation,17,46,7,184,13,1.42
T10,3,20120223,2012,Deflation,7,280,23,341,78,1.48
T10,2,20120223,2012,Deflation,29,30,5,168,8,1.66
T10,2,20120223,2012,Deflation,15,190,17,313,53,1.69
T10,2,20120223,2012,Deflation,17,320,24,373,90,1.71
T10,2,20120223,2012,Deflation,27,58,7,232,16,2.26
T10,3,20120223,2012,Deflation,14,60,7,240,17,2.42
T10,2,20120223,2012,Deflation,16,145,12,338,41,2.80
T10,3,20120223,2012,Deflation,15,40,5,224,11,2.95
T10,1,20120223,2012,Deflation,1,96,8,336,27,4.15
T10,1,20120223,2012,Deflation,3,65,6,303,18,4.51
T10,3,20120223,2012,Deflation,16,36,4,252,10,4.67
T10,1,20120223,2012,Deflation,2,59,5,330,17,6.42
T10,3,20120223,2012,Deflation,13,100,7,400,28,6.72
T10,1,20120223,2012,Drift,6,1550,138,314,434,0.21
T10,1,20120223,2012,Drift,5,1980,154,360,554,0.25
T10,2,20120223,2012,Drift,14,1300,113,322,364,0.27
T10,1,20120223,2012,Drift,3,1780,139,358,498,0.27
T10,1,20120223,2012,Drift,8,1840,142,363,515,0.27
T10,1,20120223,2012,Drift,9,1860,140,372,521,0.29
T10,1,20120223,2012,Drift,7,1880,141,373,526,0.29
T10,2,20120223,2012,Drift,22,1880,141,373,526,0.29
T10,2,20120223,2012,Drift,20,1300,110,331,364,0.29
T10,2,20120223,2012,Drift,17,1320,111,333,370,0.29
T10,2,20120223,2012,Drift,13,1150,101,319,322,0.30
T10,2,20120223,2012,Drift,21,1380,114,339,386,0.30
T10,3,20120223,2012,Drift,11,1720,132,365,482,0.30
T10,3,20120223,2012,Drift,10,1720,130,370,482,0.31
T10,1,20120223,2012,Drift,4,1800,134,376,504,0.31
T10,1,20120223,2012,Drift,10,1850,136,381,518,0.31
T10,1,20120223,2012,Drift,2,1625,124,367,455,0.32
T10,3,20120223,2012,Drift,8,1630,124,368,456,0.32
T10,3,20120223,2012,Drift,13,1180,99,334,330,0.33
T10,3,20120223,2012,Drift,1,1100,94,328,308,0.34
T10,2,20120223,2012,Drift,18,1570,119,369,440,0.34
T10,3,20120223,2012,Drift,14,1380,109,354,386,0.34
T10,2,20120223,2012,Drift,15,1500,115,365,420,0.34
T10,3,20120223,2012,Drift,3,1520,116,367,426,0.34
T10,3,20120223,2012,Drift,12,1680,124,379,470,0.34
T10,2,20120223,2012,Drift,24,1490,114,366,417,0.35
T10,3,20120223,2012,Drift,6,1620,120,378,454,0.35
T10,2,20120223,2012,Drift,16,1725,125,386,483,0.35
T10,2,20120223,2012,Drift,23,1680,122,386,470,0.36
T10,3,20120223,2012,Drift,5,1580,116,381,442,0.37
T10,3,20120223,2012,Drift,15,1760,124,397,493,0.37
T10,3,20120223,2012,Drift,4,1380,104,371,386,0.39
T10,2,20120223,2012,Drift,19,2150,139,433,602,0.40
T10,3,20120223,2012,Drift,2,1400,104,377,392,0.40
T10,3,20120223,2012,Drift,7,1660,116,401,465,0.41
T10,3,20120223,2012,Drift,9,960,80,336,269,0.41
T10,3,20120223,2012,Drift,0,50,11,127,14,0.43
T10,1,20120223,2012,Drift,1,950,73,364,266,0.53
T10,1,20120223,2012,Island,15,900,96,262,252,0.21
T10,1,20120223,2012,Island,12,680,77,247,190,0.23
