Year,Month,jd,wsu.air,tun.air,tun.0,tun.5
2014,1,1,-33.7400,-30.4198,-22.08633374,
2014,1,2,-34.6200,-31.0549,-22.46407168,
2014,1,3,-25.8900,-24.7548,-18.71673965,
2014,1,4,-24.0800,-23.4486,-17.93980139,
2014,1,5,-21.5500,-21.6228,-16.85380483,
2014,1,6,-21.2300,-21.3918,-16.71644558,
2014,1,7,-27.7000,-26.0610,-19.49367791,
2014,1,8,-26.6000,-25.2672,-19.02150549,
2014,1,9,-16.5200,-17.9928,-14.69468912,
2014,1,10,-25.4800,-24.4589,-18.54074811,
2014,1,11,-24.6900,-23.8888,-18.20164246,
2014,1,12,-22.1800,-22.0774,-17.12423085,
2014,1,13,-26.0200,-24.8486,-18.77254185,
2014,1,14,-27.1400,-25.6569,-19.25329922,
2014,1,15,-30.3300,-27.9590,-20.62259924,
2014,1,16,-25.2200,-24.2713,-18.42914372,
2014,1,17,-25.3400,-24.3579,-18.48065344,
2014,1,18,-26.7000,-25.3393,-19.06443025,
2014,1,19,-33.5900,-30.3116,-22.0219466,
2014,1,20,-30.1300,-27.8146,-20.53674971,
2014,1,21,-31.2800,-28.6445,-21.03038451,
2014,1,22,-26.1400,-24.9352,-18.82405156,
2014,1,23,-18.8900,-19.7032,-15.71200606,
2014,1,24,-23.4300,-22.9795,-17.66079042,
2014,1,25,-27.4500,-25.8806,-19.38636599,
2014,1,26,-26.4400,-25.1517,-18.95282586,
2014,1,27,-27.6000,-25.9888,-19.45075314,
2014,1,28,-25.2100,-24.2641,-18.42485124,
2014,1,29,-22.5200,-22.3228,-17.27017505,
2014,1,30,-20.6300,-20.9589,-16.45889698,
2014,1,31,-19.9200,-20.4465,-16.15413115,
2015,1,1,-26.8700,-26.5100,-22.16,-25.29
2015,1,2,-30.0000,-28.6200,-25.57,-29.2
2015,1,3,-34.4800,-32.1700,-27.3,-30.31
2015,1,4,-33.7700,-32.7900,-25.29,-26.83
2015,1,5,-28.5600,-27.9800,-25.63,-28.09
2015,1,6,-30.2400,-29.6900,-19.91,-19.02
2015,1,7,-17.5500,-17.5600,-18.94,-20.38
2015,1,8,-22.0000,-22.2300,-19.75,-21.31
2015,1,9,-22.9700,-23.1900,-21.01,-22.8
2015,1,10,-24.6700,-24.4900,-21.56,-23.75
2015,1,11,-26.9300,-25.3900,-21.46,-22.4
2015,1,12,-22.3000,-22.1200,-19.76,-20.37
2015,1,13,-21.8400,-21.3900,-22.51,-24.74
2015,1,14,-27.8200,-27.1200,-23.91,-25.83
2015,1,15,-29.3400,-27.7100,-25.75,-27.53
2015,1,16,-30.5900,-29.9900,-21.1,-21.44
2015,1,17,-22.1100,-22.4100,-21.08,-22.89
2015,1,18,-30.3500,-29.4500,-19.48,-19.67
2015,1,19,-20.9000,-21.6600,-19.63,-19.5
2015,1,20,-26.7700,-27.2800,-19.41,-19.52
2015,1,21,-26.8800,-26.5200,-18.09,-18.32
2015,1,22,-18.1700,-18.5700,-15.93,-16.24
2015,1,23,-17.8400,-18.1100,-19.13,-20.91
2015,1,24,-27.2000,-27.0700,-21.68,-22.92
2015,1,25,-27.8000,-27.9100,-21.01,-21.59
2015,1,26,-22.4400,-23.2700,-17.21,-17.59
2015,1,27,-16.8300,-17.1500,-20.49,-22.35
2015,1,28,-27.4900,-26.4500,-22.82,-24.64
2015,1,29,-27.3900,-27.0600,-22.72,-24.47
2015,1,30,-27.7100,-27.7200,-24.31,-26.62
2015,1,31,-29.5800,-29.3300,-25.49,-27.88
2016,1,1,-15.2900,-13.6600,-11.14,-11.14
2016,1,2,-21.6200,-14.1800,-12.67,-12.73
2016,1,3,-24.4700,-20.2000,-14,-14.35
2016,1,4,-10.8000,-22.9500,-11.95,-11.97
2016,1,5,-13.0400,-11.0400,-10.73,-11.09
2016,1,6,-20.5300,-13.0200,-12.37,-12.54
2016,1,7,-25.7600,-19.1900,-14.84,-14.96
2016,1,8,-22.4000,-24.6000,-14.24,-14.27
2016,1,9,-27.8400,-21.6600,-15.96,-16.6
2016,1,10,-24.4600,-27.4400,-16,-16.49
2016,1,11,-24.0400,-23.3900,-15.45,-16.21
2016,1,12,-21.0100,-23.3100,-15.98,-16.27
2016,1,13,-21.1100,-21.0500,-15.88,-16.24
2016,1,14,-20.9200,-20.6000,-15.11,-15.59
2016,1,15,-20.7300,-21.3000,-15.23,-15.41
2016,1,16,-17.8600,-20.2100,-13.85,-14.29
2016,1,17,-17.8200,-17.2000,-12.35,-13.16
2016,1,18,-24.3500,-17.7300,-13.22,-15.55
2016,1,19,-23.8100,-24.8000,-14.16,-16.92
2016,1,20,-21.5800,-23.9500,-14.31,-15.72
2016,1,21,-22.1700,-21.1400,-15.5,-15.59
2016,1,22,-13.2900,-21.3500,-13.09,-13.05
2016,1,23,-16.9800,-13.7400,-11.87,-12.78
2016,1,24,-15.6000,-17.9200,-11.9,-13.3
2016,1,25,-20.9200,-16.1200,-11.4,-13.25
2016,1,26,-28.2500,-21.3100,-13.27,-17
