"","b0","wsu.airT"
"Jan",-0.243643677263166,1.03655606698594
"Feb",-0.617376439601619,1.03107898126167
"Mar",-0.959908137331442,1.03401064622493
"Apr",-0.971256435217804,1.0528986423045
"May",-1.09591263400877,1.03532713187328
"Jun",-0.916779733579278,0.991450565905806
"Jul",-0.685757563551928,0.978293905747114
"Aug",-0.812024559212591,0.981429522293725
"Sep",-0.830635616594766,0.975418259443899
"Oct",-0.903927998481051,1.02077340547483
"Nov",-0.719141324839791,1.03672996973421
"Dec",-0.335524636426879,1.04117579397288
