"","b0","wsu.surfT"
"Jan",-7.88116814402763,0.372797643311692
"Feb",-7.75981664617534,0.590811825070669
"Mar",-0.745851336330277,1.38088733131936
"Apr",-1.15939357884007,1.18264330663279
"May",1.58549251006529,1.14673426103618
"Jun",5.31138720357468,0.852872190165408
"Jul",4.55845108844559,0.915966994410551
"Aug",1.03425709573208,1.10169156339061
"Sep",-0.952030715968267,1.20422919865084
"Oct",-1.06483890629826,1.15907497705128
"Nov",-1.54028729061959,0.862066228925703
"Dec",-4.46495994300113,0.58739869158929
