year,airp0,airp15,airp8,bfr0,bfr15,bfr8,bsw0,bsw15,bsw8,bwp0,bwp15,bwp8,fen0,fen15,fen8,pfr0,pfr15,pfr8,ppac0,ppac15,ppac8,ppdc0,ppdc15,ppdc8,ppdw0,tis0,tis15,tis8,tun0,tun15,tun8,wsu0,wsu15,wsu8,bp15,bp0,bp150,hf15,hf0,hf150,gf15,gf0,gf150,d215,d20,d2150,d615,d60,d6150
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.473128071,-0.54357782,-0.789068234,-4.543503424,-3.001750506,-2.494826965,-6.799538751,-4.650399731,-1.754570752,-4.507939983,-2.43931193,-2.788219099,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.457962773,-1.030772863,-0.799595489,-5.683637514,-1.160744312,-1.780941382,-7.631586207,-5.820716664,-1.580599265,-5.543044722,-2.5808053,-2.279316386,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.262509078,-1.515929792,-1.145426564,-5.512692256,-1.316786406,-2.010392588,-5.826627522,-5.286252355,-1.449647453,-4.847623464,-3.239160586,-3.313438102,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.285611905,-1.641780133,-1.258373726,-7.223652906,-2.329550061,-2.023559172,-7.308646877,-5.939491129,-1.681719265,-6.571028875,-2.183007067,-2.19926002,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.775420234,-1.16401051,-0.897426028,-6.539399393,-0.948145721,-1.672369546,-6.440121205,-5.581878584,-1.371630408,-6.085762751,-1.671244342,-2.853635693,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.325311374,-2.383227222,-1.000969791,-9.282399243,-2.389481788,-1.90707123,-8.919686813,-5.937138104,-1.37491861,-8.361907426,-3.13579954,-2.531540066,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.120565716,-1.895640843,-1.119123525,-5.960851442,-2.020290867,-1.927238183,-6.237333922,-3.613459306,-1.887160682,-5.663321333,-1.480934868,-2.224550087,-5.442902654,0.838881349,-0.509442661
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.015389708,-1.117295513,-0.87843615,-6.692525237,-1.022447958,-1.343162954,-6.237333922,-2.950190273,-1.279695067,-6.579134388,-1.156196938,-1.444939349,-6.19941202,0.892658807,-0.221053956
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.237764337,-0.400559837,-0.957549974,-6.119253264,-0.809424949,-1.642296083,-6.545190154,-3.528487098,-1.300836097,-6.411159265,-2.557837881,-1.810692929,-5.619827957,0.485105504,-0.37985291
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.415401809,-0.474376908,-0.393798314,-6.454136738,-1.56510461,-1.104943823,-7.102104396,-4.13939569,-1.315401349,-6.341380052,-2.616950729,-2.277983162,-5.728617986,0.482485577,-0.281682059
2001,,,,2.714118483,-2.669812673,1.49657981,0.85304056,-4.270223133,1.67679543,4.411614583,-2.908926027,-0.824923077,,,,1.390953319,-3.540428767,0.821595364,,,,,,,,,,,-2.827969863,-3.484334247,-2.455978082,2.098578801,-3.167385918,1.10710007,-6.039934858,-0.508247985,-0.799180867,-6.273934549,-1.525988556,-1.194682892,-6.694131773,-3.266551438,-1.306725469,-5.806864673,-2.314523771,-2.235329755,-5.581197638,0.424679077,-0.372961969
2002,,,,1.439825992,-5.923166192,0.886229858,-0.861166666,-7.280753565,0.705116935,-0.378015564,-3.908661479,-0.910021918,,,,-0.277511905,-6.620621426,-0.019513485,-4.719616438,-6.999591781,-5.246186813,-4.691191892,-6.864590245,-4.710159269,0.702388544,,,,-4.267709589,-6.547879452,-3.088578082,0.44689863,-6.101079452,-0.056057534,-5.778355819,-0.970508065,-0.740624122,-6.165124917,-1.473709325,-1.45180624,-6.977371465,-4.048961468,-1.341616723,-5.431422505,-2.375346056,-2.259278635,-5.551284399,0.103600759,-0.511619512
2003,,,,2.094876712,-4.436369863,0.95260274,0.173369863,-5.657043836,0.756060274,5.533049107,2.133308036,-0.567997245,,,,0.510186301,-4.930950685,-0.210145205,-3.678361644,-5.21139726,-5.131753425,-3.700193702,-5.199826235,-4.624676732,1.807570751,,,,-2.976705913,-4.757520842,-2.962415504,1.521876712,-4.417556164,0.291520548,-6.398432207,-0.526709338,-0.644215463,-6.384414926,-0.948977439,-1.214402394,-6.643712707,-4.266751126,-1.09793852,-6.023562628,-1.791792537,-1.695807772,-5.800420993,0.942893094,-0.253852055
2004,,,,1.066400556,-7.4033106,0.577376444,-2.246704918,-8.654560109,0.437319672,-2.811054645,-8.503644809,-1.089718579,,,,-0.60541735,-7.978969945,-0.280771858,-6.068551913,-8.334581967,-5.854360656,-6.536404372,-8.351505464,-5.160809889,0.870169399,1.326131212,-8.254738139,,-5.72825279,-7.539902302,-2.938553091,0.0855,-7.377540984,-0.264234973,-6.175319148,-0.327600794,-0.602033537,-6.253461396,-0.631567467,-1.479028238,-6.773672571,-3.730514433,-1.340203723,-5.697723953,-1.4339648,-2.970350389,-5.373011825,1.532862934,-0.487695573
2005,,,,2.361145748,-4.07977067,1.587259798,0.221126027,-5.230345205,1.49849863,-5.930847584,-10.80503346,-5.589355191,0.317090411,-5.198520548,-1.869687671,0.189143065,-4.446430908,0.646909033,-3.561091159,-5.010479452,-5.353662311,-3.440531507,-5.00409863,-4.864109589,1.451624658,2.549315068,-3.977742466,1.04830137,-3.825385908,-4.214909692,-3.227689297,1.089449315,-4.099871233,0.556123288,-5.220229224,0.560936924,-0.287804371,-5.295124832,-0.113986604,-1.017239235,-5.413759447,-2.278644905,-1.045372773,-4.878965924,-0.688174104,-1.23040121,-4.597109831,1.691492416,-0.269149915
2006,,,,3.192317808,-2.493013699,1.9106,1.196456402,-3.624326739,1.670079164,1.198038356,-3.503731507,,2.27369589,-3.448515068,-0.492268493,1.792960552,-2.761014639,1.336203489,-1.389850191,-3.318052055,-3.781245223,-1.395476712,-3.34450137,-3.475665753,2.807794521,2.552736986,-3.944482192,1.97790411,-2.168877995,-2.479837423,-1.764505377,1.715605479,-2.535936986,0.685353425,-6.69788398,-0.603071077,-0.313298022,-7.058006969,-1.704688979,-1.119794226,-7.003646153,-2.717509537,-0.838445731,-6.631058282,-2.048566974,-2.37415866,-6.399932448,1.222108618,-0.389391752
2007,0.139063014,-5.507213699,-0.232326027,1.557005479,-4.929920548,1.388128767,-0.482002109,-6.103165224,1.503285234,-0.727621918,-5.790410959,,1.686471233,-5.867635616,-0.1762,-0.345782648,-5.222945662,0.774849772,-3.91369589,-5.695027397,-4.873591781,-3.687750685,-5.726975342,-4.031671233,1.637827397,1.874876712,-5.429139726,1.733353425,-4.409896771,-5.140981673,-3.083311954,0.792454795,-4.940471233,0.579468493,-6.711914708,-0.135983436,-0.727343568,-6.774233348,-0.727551606,-1.557566657,-7.468511265,-2.750880543,-1.375807322,-6.680475781,-1.953824053,-1.917405152,-6.377584306,0.957720437,-0.385305139
2008,-0.178377049,-5.938625683,-0.575139344,1.340799415,-5.434617486,0.695164665,-0.344168016,-6.444485681,0.535635149,-1.011363388,-6.211062842,,0.792968856,-5.893992875,-1.546377753,-0.17846061,-5.740438734,-0.050725182,-3.625979934,-6.091996616,-5.362896572,-3.913027322,-6.114434426,-4.740887978,0.695778689,2.06647541,-5.852355191,0.763953552,-3.976994222,-5.48442866,-2.991919836,0.021379781,-5.348934426,-0.365467213,-8.50489908,-1.619231359,-0.832015743,-8.742005934,-2.024884872,-1.485149444,-7.655631152,-3.114107984,-0.936103312,-7.105178779,-3.692392906,-2.441482102,-6.93743553,0.742126483,-0.345264485
2009,-0.470945205,-5.891917808,-0.407860274,0.924967123,-5.251328767,0.598550685,0.070378082,-6.227484932,0.951142466,-0.851093385,-5.959856031,,0.529346784,-6.382568167,-1.269451834,-1.027989041,-5.632991781,-0.467479452,-3.297709589,-6.159556164,-4.681145205,-4.136267801,-6.17961655,-3.954290601,0.932678554,1.092944032,-5.544857158,0.867605479,-3.860726305,-5.570621356,-2.938637775,-0.020991781,-5.158405479,-0.335868493,-7.030337513,-0.826330202,-0.781428171,-7.175394739,-2.003621256,-1.815509786,-7.121558897,-3.894728143,-1.265887478,-6.705114918,-4.185405364,-2.627418348,-6.943729087,0.714310213,-0.301265675
2010,1.929876712,-2.5312,-0.226257534,2.668106849,-1.919191781,2.053230137,2.009630137,-2.987945205,1.847063014,4.407818681,1.545576923,4.675631868,3.15750137,-2.828824658,0.802739726,1.536583562,-2.250005479,1.519364384,-0.821419178,-2.834638356,-3.384421918,-1.810867948,-2.882975875,-3.025448101,2.003426893,2.34301713,-3.113297019,1.615953425,-1.374320548,-2.558180822,-1.516134247,1.428410959,-1.990923288,0.922347945,-5.601694378,-0.340943418,-0.774647155,-5.72904824,-0.291267612,-1.226814977,-6.235086865,-3.629534816,-1.273265298,-5.275253898,-0.26668597,-2.266957636,-5.446140329,0.290212769,-0.392279057
2011,0.168736986,-4.655331507,-0.365205479,1.983750685,-4.01940274,1.672227397,0.34770137,-5.144654795,1.317550685,0.026917808,-5.068536986,0.561942466,1.082246575,-4.93369863,-0.791375342,0.838483562,-4.304439726,1.05919863,-2.752556164,-4.939263014,-3.969641096,-3.024769863,-4.942536986,-3.957463014,1.591745205,2.439515302,-4.942630203,1.277239011,-2.683038356,-4.728854721,-1.858939726,0.536624658,-4.027123288,0.402158904,-6.792796986,-0.85599685,-0.753007748,-6.929179455,-1.729657401,-0.901880677,-7.298389214,-2.578816902,-1.23022766,-6.579151577,-1.477618336,-1.243362913,-6.630968094,1.602418587,-0.317770115
2012,0.926508197,-4.642811475,-0.281527322,2.308491803,-4.048284153,1.692677596,-0.151019126,-5.366860656,1.301628415,-0.139972678,-5.075598361,-0.063527322,0.708681104,-4.900787456,-1.031020113,0.632765937,-4.26714134,0.752509784,-3.321144809,-4.959456284,-4.393923497,-3.148923497,-4.871418033,-4.070180328,0.71957377,2.203239784,-4.823964991,0.748262097,-3.48689071,-4.63138415,-2.201652448,0.832275956,-4.155275956,0.528346995,-7.500208721,-0.875512972,-0.765319105,-7.70097085,-3.155906761,-1.58767784,-7.818678186,-2.05074302,-0.60138833,-6.485886414,-3.141299318,-2.128197732,-6.244366178,-0.482519253,-0.583108025
2013,0.185998372,-6.153259164,-0.406539667,2.073994521,-5.560747945,1.74209589,-0.290649315,-6.866553425,1.19510137,-0.085793956,-6.504884615,0.429101648,1.453068493,-6.635663014,-0.715641096,1.053351431,-5.883784329,1.154508043,-3.772586301,-6.241654795,-4.978446575,-4.368608449,-6.295052221,-5.001583734,0.921652992,2.552652562,-5.947381305,3.120392961,-4.506956441,-6.037108293,-3.511420587,0.41749589,-5.636958904,0.266972603,-6.670375946,-0.585093233,-0.850800908,-6.882050852,-2.062215792,-2.624870247,-7.115207463,-3.027087986,-0.958492985,-7.390355268,-3.203763393,-1.468771832,-7.331330543,-1.614454773,-0.229399283
2014,-0.599643836,-5.652673973,-0.679512329,0.938652055,-5.228054795,0.741723288,-0.644358904,-6.352917808,0.333509589,-1.057348066,-6.002325967,-0.529790055,0.900239791,-6.04594073,-0.81040436,0.09723099,-5.656114006,0.208964932,-4.171065753,-6.031838356,-5.449145205,-4.377969863,-5.842646575,-5.028841096,0.289410959,2.383857446,-5.62697679,1.323849315,-4.142634844,-5.717170651,-2.832818183,-0.327586301,-5.225863014,-0.527326027,-5.853195084,-1.126667502,-0.861278279,-6.016505914,-0.515628066,-1.431920914,-6.157218356,-2.207141615,-1.186502759,-5.809330082,-2.504705159,-3.433071217,-6.349505504,1.530928859,-1.141468185
2015,-0.239953425,-5.202057534,-0.781734247,1.322879147,-4.485875307,0.963714374,-0.423608219,-5.732523288,0.166682192,-0.310099723,-4.650166205,-0.182903047,0.417758904,-5.312224658,-1.215378082,0.419737198,-4.902301259,0.52975754,-3.334526027,-5.380830137,-5.03249863,-3.884875257,-5.161285172,-4.569583676,0.493452387,2.247728767,-5.351828772,1.727646575,-3.816706849,-5.33720274,-2.943175342,-0.224358904,-4.678819178,-0.277523288,,,,,,,,,,,,,,,
