year,airp0,airp15,airp8,bsw0,bsw15,bsw8,tis0,tis15,tis8,wsu0,wsu15,wsu8,fen0,fen15,fen8,bfr0,bfr15,bfr8,pfr0,pfr15,pfr8,bwp0,bwp15,bwp8,ppac0,ppac15,ppac8,ppdc0,ppdc15,ppdc8,tun0,tun15,tun8
2001,,,,0.85304056,-4.270223133,1.67679543,,,,2.098578801,-3.167385918,1.10710007,,,,2.714118483,-2.669812673,1.49657981,1.390953319,-3.540428767,0.821595364,0.297198571,-2.908926027,-0.727263492,,,,,,,-2.827969863,-3.484334247,-2.455978082
2002,,,,-0.861166666,-7.280753565,0.705116935,,,,0.44689863,-6.101079452,-0.056057534,,,,1.439825992,-5.923166192,0.886229858,-0.277511905,-6.620621426,-0.019513485,-1.137055471,-5.389972547,-0.768095151,-4.719616438,-6.999591781,-5.246186813,-4.691191892,-6.864590245,-4.710159269,-4.267709589,-6.547879452,-3.088578082
2003,,,,0.173369863,-5.657043836,0.756060274,,,,1.521876712,-4.417556164,0.291520548,,,,2.094876712,-4.436369863,0.95260274,0.510186301,-4.930950685,-0.210145205,0.270449579,-5.23036415,-0.462542875,-3.678361644,-5.21139726,-5.131753425,-3.700193702,-5.199826235,-4.624676732,-2.976705913,-4.757520842,-2.962415504
2004,,,,-2.246704918,-8.654560109,0.437319672,1.326131212,-8.254738139,0.944303625,0.0855,-7.377540984,-0.264234973,,,,1.066400556,-7.4033106,0.577376444,-0.60541735,-7.978969945,-0.280771858,-2.811054645,-8.503644809,-0.955739178,-6.068551913,-8.334581967,-5.854360656,-6.536404372,-8.351505464,-5.160809889,-5.72825279,-7.539902302,-2.938553091
2005,,,,0.221126027,-5.230345205,1.49849863,2.549315068,-3.977742466,1.04830137,1.089449315,-4.099871233,0.556123288,0.317090411,-5.198520548,-1.869687671,2.361145748,-4.07977067,1.587259798,0.189143065,-4.446430908,0.646909033,-1.637718845,-4.981389665,-0.734222985,-3.561091159,-5.010479452,-5.353662311,-3.440531507,-5.00409863,-4.864109589,-3.825385908,-4.214909692,-3.227689297
2006,,,,1.196456402,-3.624326739,1.670079164,2.552736986,-3.944482192,1.97790411,1.715605479,-2.535936986,0.685353425,2.27369589,-3.448515068,-0.492268493,3.192317808,-2.493013699,1.9106,1.792960552,-2.761014639,1.336203489,1.198038356,-3.503731507,0.693095691,-1.389850191,-3.318052055,-3.781245223,-1.395476712,-3.34450137,-3.475665753,-2.168877995,-2.479837423,-1.764505377
2007,0.139063014,-5.507213699,-0.232326027,-0.482002109,-6.103165224,1.503285234,1.874876712,-5.429139726,1.733353425,0.792454795,-4.940471233,0.579468493,1.686471233,-5.867635616,-0.1762,1.557005479,-4.929920548,1.388128767,-0.345782648,-5.222945662,0.774849772,-0.727621918,-5.790410959,-0.733626273,-3.91369589,-5.695027397,-4.873591781,-3.687750685,-5.726975342,-4.031671233,-4.409896771,-5.140981673,-3.083311954
2008,-0.178377049,-5.938625683,-0.575139344,-0.344168016,-6.444485681,0.535635149,2.06647541,-5.852355191,0.763953552,0.021379781,-5.348934426,-0.365467213,0.792968856,-5.893992875,-1.546377753,1.340799415,-5.434617486,0.695164665,-0.17846061,-5.740438734,-0.050725182,-1.011363388,-6.211062842,-0.229140017,-3.625979934,-6.091996616,-5.362896572,-3.913027322,-6.114434426,-4.740887978,-3.976994222,-5.48442866,-2.991919836
2009,-0.470945205,-5.891917808,-0.407860274,0.070378082,-6.227484932,0.951142466,1.092944032,-5.544857158,0.867605479,-0.020991781,-5.158405479,-0.335868493,0.529346784,-6.382568167,-1.269451834,0.924967123,-5.251328767,0.598550685,-1.027989041,-5.632991781,-0.467479452,-0.960064416,-6.128736953,-0.46065575,-3.297709589,-6.159556164,-4.681145205,-4.136267801,-6.17961655,-3.954290601,-3.860726305,-5.570621356,-2.938637775
2010,1.929876712,-2.5312,-0.226257534,2.009630137,-2.987945205,1.847063014,2.34301713,-3.113297019,1.615953425,1.428410959,-1.990923288,0.922347945,3.15750137,-2.828824658,0.802739726,2.668106849,-1.919191781,2.053230137,1.536583562,-2.250005479,1.519364384,0.830107752,-3.152283499,0.828686803,-0.821419178,-2.834638356,-3.384421918,-1.810867948,-2.882975875,-3.025448101,-1.374320548,-2.558180822,-1.516134247
