site,year,jjas
airp,2007,9.85845082
airp,2008,10.85845082
airp,2009,8.886385246
airp,2010,10.65396721
airp,2011,11.9207459
airp,2012,11.25661475
airp,2013,12.01485833
airp,2014,11.15757377
bsw,2007,9.328704918
bsw,2008,10.28918033
bsw,2009,8.491795082
bsw,2010,10.05627049
bsw,2011,11.19007377
bsw,2012,10.44097541
bsw,2013,11.21172131
bsw,2014,10.18415574
tis,2007,8.848868852
tis,2008,9.647729508
tis,2009,6.946385246
tis,2010,9.477721311
tis,2011,10.60847908
tis,2012,9.875691712
tis,2013,11.41548087
tis,2014,10.51423337
wsu,2007,10.26108197
wsu,2008,11.21487705
wsu,2009,9.434590164
wsu,2010,10.91841803
wsu,2011,12.2519918
wsu,2012,11.5287459
wsu,2013,12.2794918
wsu,2014,11.33910656
fen,2007,9.531237705
fen,2008,10.38183222
fen,2009,8.320819672
fen,2010,10.32577869
fen,2011,11.5602459
fen,2012,11.04938525
fen,2013,11.5310082
fen,2014,10.60620573
bfr,2007,10.3527623
bfr,2008,11.322
bfr,2009,9.479270492
bfr,2010,11.15071311
bfr,2011,12.40461475
bfr,2012,11.74136885
bfr,2013,12.54977049
bfr,2014,11.58530328
pfr,2007,10.35128552
pfr,2008,11.26346926
pfr,2009,9.306704918
pfr,2010,11.10380328
pfr,2011,12.46927869
pfr,2012,11.93332188
pfr,2013,12.57455689
pfr,2014,11.48280165
bwp,2007,9.487409836
bwp,2008,10.41613115
bwp,2009,8.617019048
bwp,2010,10.50673626
bwp,2011,11.26836885
bwp,2012,10.51401639
bwp,2013,11.41828689
bwp,2014,10.49544262
ppac,2007,9.330803279
ppac,2008,10.19491124
ppac,2009,8.098131148
ppac,2010,9.983901639
ppac,2011,11.18982787
ppac,2012,10.41459016
ppac,2013,11.35882787
ppac,2014,10.50970492
ppdc,2007,9.469278689
ppdc,2008,10.25335246
ppdc,2009,8.368562525
ppdc,2010,10.13747436
ppdc,2011,11.30915574
ppdc,2012,10.59082787
ppdc,2013,11.5180082
ppdc,2014,10.65572951
tun,2007,9.952442623
tun,2008,10.69081967
tun,2009,8.582647541
tun,2010,9.871959016
tun,2011,11.63190849
tun,2012,10.81102424
tun,2013,11.77330631
tun,2014,10.42136017
