site,zone,zone.aspect,zone.height,tree,aspect,height,code,fresh,dry,length,sa_needle,sa_total,gmin,viability,water
BLK,Ecotone,Ecotone.L,Ecotone.A,1,L,A,BLK E1 LA,0.0738,0.0432,0.870,2.9233,29.233,2.9E-05,80,71
BLK,Ecotone,Ecotone.L,Ecotone.C,1,L,C,BLK E1 LC,0.2287,0.1839,0.645,2.1672,93.191,1.7E-05,95,24
BLK,Ecotone,Ecotone.L,Ecotone.A,2,L,A,BLK E2 LA,0.3304,0.1587,0.860,2.8897,109.807,4.1E-05,95,108
BLK,Ecotone,Ecotone.L,Ecotone.C,2,L,C,BLK E2 LC,0.1465,0.0720,0.600,2.0160,50.401,2.2E-05,96,103
BLK,Ecotone,Ecotone.L,Ecotone.S,2,L,S,BLK E2 LS,0.2596,0.1005,0.580,1.9488,81.851,1.2E-05,100,158
BLK,Ecotone,Ecotone.L,Ecotone.A,3,L,A,BLK E3 LA,0.0949,0.0500,0.706,2.3718,40.321,1.7E-05,88,90
BLK,Ecotone,Ecotone.L,Ecotone.C,3,L,C,BLK E3 LC,0.0899,0.0456,0.611,2.0534,36.961,2.0E-06,100,97
BLK,Ecotone,Ecotone.L,Ecotone.A,4,L,A,BLK E4 LA,0.2515,0.1173,0.960,3.2257,83.867,5.4E-06,96,114
BLK,Ecotone,Ecotone.L,Ecotone.C,4,L,C,BLK E4 LC,0.0884,0.0418,0.654,2.1970,28.561,7.8E-06,100,111
BLK,Ecotone,Ecotone.L,Ecotone.A,5,L,A,BLK E5 LA,0.2349,0.1135,0.965,3.2425,81.061,2.0E-05,84,107
BLK,Ecotone,Ecotone.L,Ecotone.C,5,L,C,BLK E5 LC,0.4398,0.2197,0.905,3.0409,115.552,1.9E-05,97,100
BLK,Ecotone,Ecotone.L,Ecotone.S,5,L,S,BLK E5 LS,0.3435,0.1612,0.865,2.9065,136.603,3.4E-06,100,113
RA2,Ecotone,Ecotone.L,Ecotone.A,1,L,A,RA2 E1 LA,0.6758,0.3508,1.300,4.3681,240.244,8.8E-06,98,93
RA2,Ecotone,Ecotone.L,Ecotone.C,1,L,C,RA2 E1 LC,0.6180,0.2760,1.340,4.5025,202.612,1.3E-05,100,124
RA2,Ecotone,Ecotone.L,Ecotone.S,1,L,S,RA2 E1 LS,0.5218,0.2638,0.910,3.0577,198.748,1.0E-05,100,98
RA2,Ecotone,Ecotone.L,Ecotone.A,2,L,A,RA2 E2 LA,0.7926,0.3626,1.115,3.7465,247.267,1.3E-05,91,119
RA2,Ecotone,Ecotone.L,Ecotone.C,2,L,C,RA2 E2 LC,0.5205,0.3295,0.970,3.2593,101.037,6.7E-05,74,58
RA2,Ecotone,Ecotone.L,Ecotone.S,2,L,S,RA2 E2 LS,0.3567,0.1657,0.830,2.7888,128.287,3.0E-05,78,115
RA2,Ecotone,Ecotone.L,Ecotone.A,3,L,A,RA2 E3 LA,0.4776,0.2286,1.003,3.3685,138.107,1.2E-05,98,109
RA2,Ecotone,Ecotone.L,Ecotone.C,3,L,C,RA2 E3 LC,0.5526,0.2566,0.945,3.1753,187.340,2.3E-05,97,115
