site,zone,year,tree,aspect,height,viability,gmin
BLK,Ecotone,2013,1,L,A,80,2.90E-05
BLK,Ecotone,2013,1,L,C,95,1.70E-05
BLK,Ecotone,2013,2,L,A,95,4.10E-05
BLK,Ecotone,2013,2,L,C,96,2.20E-05
BLK,Ecotone,2013,2,L,S,100,1.20E-05
BLK,Ecotone,2013,3,L,A,88,1.70E-05
BLK,Ecotone,2013,3,L,C,100,2.00E-06
BLK,Ecotone,2013,4,L,A,96,5.40E-06
BLK,Ecotone,2013,4,L,C,100,7.80E-06
BLK,Ecotone,2013,5,L,A,84,2.00E-05
BLK,Ecotone,2013,5,L,C,97,1.90E-05
BLK,Ecotone,2013,5,L,S,100,3.40E-06
RA2,Ecotone,2013,1,L,A,98,8.80E-06
RA2,Ecotone,2013,1,L,C,100,1.30E-05
RA2,Ecotone,2013,1,L,S,100,1.00E-05
RA2,Ecotone,2013,2,L,A,91,1.30E-05
RA2,Ecotone,2013,2,L,C,74,6.70E-05
RA2,Ecotone,2013,2,L,S,78,3.00E-05
RA2,Ecotone,2013,3,L,A,98,1.20E-05
RA2,Ecotone,2013,3,L,C,97,2.30E-05
RA2,Ecotone,2013,3,L,S,100,1.40E-05
RA2,Ecotone,2013,4,L,A,78,2.70E-05
RA2,Ecotone,2013,4,L,C,90,1.30E-05
RA2,Ecotone,2013,4,L,S,92,1.90E-05
RA2,Ecotone,2013,5,L,A,100,1.40E-05
RA2,Ecotone,2013,5,L,C,89,1.30E-05
RA2,Ecotone,2013,5,L,S,47,7.50E-05
RID,Ecotone,2013,1,L,A,100,8.50E-06
RID,Ecotone,2013,1,L,C,95,1.20E-05
RID,Ecotone,2013,1,L,S,100,1.30E-05
RID,Ecotone,2013,2,L,A,97,7.60E-06
RID,Ecotone,2013,2,L,C,100,7.80E-06
RID,Ecotone,2013,2,L,S,99,5.90E-06
RID,Ecotone,2013,3,L,A,100,1.10E-05
RID,Ecotone,2013,3,L,C,98,5.20E-06
RID,Ecotone,2013,3,L,S,100,7.70E-06
RID,Ecotone,2013,4,L,A,98,1.30E-05
RID,Ecotone,2013,4,L,C,98,7.80E-06
RID,Ecotone,2013,4,L,S,100,8.40E-06
RID,Ecotone,2013,5,L,A,100,5.30E-06
RID,Ecotone,2013,5,L,C,100,1.40E-05
RID,Ecotone,2013,5,L,S,100,2.60E-06
ROK,Ecotone,2013,1,L,A,64,4.80E-08
ROK,Ecotone,2013,1,L,C,100,1.10E-05
ROK,Ecotone,2013,2,L,A,100,1.10E-05
ROK,Ecotone,2013,2,L,C,98,6.90E-06
ROK,Ecotone,2013,2,L,S,100,6.60E-06
ROK,Ecotone,2013,3,L,A,100,3.20E-05
ROK,Ecotone,2013,3,L,C,97,2.60E-05
ROK,Ecotone,2013,3,L,S,100,7.30E-06
ROK,Ecotone,2013,4,L,A,98,6.60E-06
ROK,Ecotone,2013,4,L,C,98,3.40E-06
ROK,Ecotone,2013,4,L,S,100,5.40E-07
ROK,Ecotone,2013,5,L,A,100,1.60E-06
ROK,Ecotone,2013,5,L,C,100,9.90E-06
ROK,Ecotone,2013,5,L,S,100,5.50E-06
BLK,Ecotone,2013,1,W,C,100,2.60E-05
BLK,Ecotone,2013,2,W,A,100,1.90E-05
BLK,Ecotone,2013,2,W,C,94,3.90E-06
BLK,Ecotone,2013,3,W,A,100,7.60E-06
BLK,Ecotone,2013,3,W,C,100,1.50E-05
BLK,Ecotone,2013,3,W,S,100,9.60E-06
BLK,Ecotone,2013,4,W,A,96,1.30E-05
BLK,Ecotone,2013,4,W,C,91,7.20E-06
BLK,Ecotone,2013,4,W,S,96,7.60E-06
BLK,Ecotone,2013,5,W,A,98,6.20E-06
BLK,Ecotone,2013,5,W,C,90,2.10E-05
BLK,Ecotone,2013,5,W,S,100,1.20E-05
RA2,Ecotone,2013,1,W,A,100,1.10E-05
RA2,Ecotone,2013,1,W,C,95,1.80E-05
RA2,Ecotone,2013,1,W,S,100,1.70E-05
RA2,Ecotone,2013,2,W,A,91,2.30E-05
RA2,Ecotone,2013,2,W,C,93,1.70E-05
RA2,Ecotone,2013,2,W,S,81,3.60E-05
RA2,Ecotone,2013,3,W,A,100,1.90E-05
RA2,Ecotone,2013,3,W,C,36,3.60E-05
RA2,Ecotone,2013,3,W,S,95,1.50E-05
RA2,Ecotone,2013,4,W,A,6,3.30E-05
RA2,Ecotone,2013,4,W,C,96,1.00E-05
RA2,Ecotone,2013,4,W,S,61,5.50E-05
RA2,Ecotone,2013,5,W,A,100,2.20E-05
RA2,Ecotone,2013,5,W,C,85,4.10E-05
RA2,Ecotone,2013,5,W,S,91,4.90E-06
RID,Ecotone,2013,1,W,A,98,1.10E-05
RID,Ecotone,2013,1,W,C,100,1.50E-05
RID,Ecotone,2013,2,W,A,100,5.60E-06
RID,Ecotone,2013,2,W,C,100,4.70E-06
RID,Ecotone,2013,2,W,S,100,9.00E-06
RID,Ecotone,2013,3,W,A,100,1.00E-05
RID,Ecotone,2013,3,W,C,100,2.40E-05
RID,Ecotone,2013,3,W,S,100,1.10E-05
RID,Ecotone,2013,4,W,A,100,6.60E-06
RID,Ecotone,2013,4,W,S,100,1.00E-05
RID,Ecotone,2013,5,W,A,100,6.80E-06
RID,Ecotone,2013,5,W,C,100,1.10E-05
RID,Ecotone,2013,5,W,S,100,6.90E-06
ROK,Ecotone,2013,1,W,A,93,2.30E-05
ROK,Ecotone,2013,1,W,C,100,8.80E-06
ROK,Ecotone,2013,1,W,S,100,8.70E-07
ROK,Ecotone,2013,2,W,A,100,5.40E-06
ROK,Ecotone,2013,2,W,C,100,2.40E-05
ROK,Ecotone,2013,2,W,S,100,8.30E-05
ROK,Ecotone,2013,3,W,A,100,1.50E-05
ROK,Ecotone,2013,3,W,C,99,1.50E-05
ROK,Ecotone,2013,3,W,S,100,3.50E-05
ROK,Ecotone,2013,4,W,A,91,5.90E-06
ROK,Ecotone,2013,4,W,C,100,9.30E-06
ROK,Ecotone,2013,4,W,S,98,3.70E-08
ROK,Ecotone,2013,5,W,A,100,6.70E-06
ROK,Ecotone,2013,5,W,C,95,9.40E-06
