year,site,zone,year.zone,tree,aspect,height,island.side,code,dry.wgt,fresh.wgt,water,viability,stem,sur.area,gmin
2008,FRO,Forest,Forest.2008,921,L,A,NA,FRO F921 EAA,NA,NA,NA,NA,NA,NA,NA
2008,FRO,Forest,Forest.2008,921,L,C,NA,FRO F921 EAC,0.2485,0.4913,97.7062,0.9667,NA,0.018476,0.000024
2008,FRO,Forest,Forest.2008,921,L,S,NA,FRO F921 EAS,0.299,0.6457,115.9532,0.9839,NA,0.021285,0.000026
2008,FRO,Forest,Forest.2008,921,W,A,NA,FRO F921 NWA,0.1313,0.2878,119.1927,1,NA,0.010996,0.00003
2008,FRO,Forest,Forest.2008,921,W,C,NA,FRO F921 NWC,0.2352,0.5166,119.6429,0.9859,NA,0.019238,0.000043
2008,FRO,Forest,Forest.2008,921,W,S,NA,FRO F921 NWS,0.6247,1.3492,115.9757,1,NA,0.041165,0.000043
2008,FRO,Forest,Forest.2008,921,L,A,NA,FRO F921 SOA,0.2281,0.5024,120.2543,0.987,NA,0.020368,0.00002
2008,FRO,Forest,Forest.2008,921,L,C,NA,FRO F921 SOC,0.4983,1.116,123.9615,1,NA,0.026897,0.000043
2008,FRO,Forest,Forest.2008,921,L,S,NA,FRO F921 SOS,0.4356,0.9315,113.843,1,NA,0.029534,0.000031
2008,FRO,Forest,Forest.2008,923,L,A,NA,FRO F923 EAA,0.1864,0.4339,132.779,1,NA,0.014588,0.000046
2008,FRO,Forest,Forest.2008,923,L,C,NA,FRO F923 EAC,0.2331,0.5613,140.7979,0.9853,NA,0.018589,0.000032
2008,FRO,Forest,Forest.2008,923,L,S,NA,FRO F923 EAS,0.3447,0.7994,131.9118,1,NA,0.024024,0.000034
2008,FRO,Forest,Forest.2008,923,W,A,NA,FRO F923 NWA,0.3159,0.7121,125.4194,1,NA,0.023438,0.000028
2008,FRO,Forest,Forest.2008,923,W,C,NA,FRO F923 NWC,-1.5563,NA,NA,NA,NA,NA,NA
2008,FRO,Forest,Forest.2008,923,W,S,NA,FRO F923 NWS,-1.5563,NA,NA,NA,NA,NA,NA
2008,FRO,Forest,Forest.2008,923,L,A,NA,FRO F923 SOA,0.3602,0.8371,132.3987,1,NA,0.023501,0.000029
2008,FRO,Forest,Forest.2008,923,L,C,NA,FRO F923 SOC,0.259,0.6019,132.3938,1,NA,0.018967,0.00004
2008,FRO,Forest,Forest.2008,923,L,S,NA,FRO F923 SOS,0.4151,0.7151,72.2717,1,NA,0.019177,0.000042
2008,FRO,Forest,Forest.2008,925,L,A,NA,FRO F925 EAA,0.2282,0.5263,130.631,1,NA,0.015891,0.000049
2008,FRO,Forest,Forest.2008,925,L,C,NA,FRO F925 EAC,0.2268,0.5904,160.3175,1,NA,0.020444,0.000043
2008,FRO,Forest,Forest.2008,925,L,S,NA,FRO F925 EAS,0.3682,0.8346,126.6703,1,NA,0.022731,0.000034
2008,FRO,Forest,Forest.2008,925,W,A,NA,FRO F925 NWA,0.3299,0.7393,124.0982,1,NA,0.023098,0.000012
2008,FRO,Forest,Forest.2008,925,W,C,NA,FRO F925 NWC,-1.5563,NA,NA,NA,NA,NA,NA
2008,FRO,Forest,Forest.2008,925,W,S,NA,FRO F925 NWS,0.3686,0.7973,116.3049,1,NA,0.024157,0.00007
2008,FRO,Forest,Forest.2008,925,L,A,NA,FRO F925 SOA,0.2246,0.5071,125.7792,1,NA,0.017369,0.000027
2008,FRO,Forest,Forest.2008,925,L,C,NA,FRO F925 SOC,0.2703,0.6702,147.9467,0.4815,NA,0.013112,0.00009
2008,FRO,Forest,Forest.2008,925,L,S,NA,FRO F925 SOS,0.1725,0.4094,137.3333,1,NA,0.017277,0.000026
2008,FRO,Ecotone,Ecotone.2008,919,L,A,NA,FRO FT919 EAA,0.3953,0.8593,117.3792,1,NA,0.027775,0.000045
2008,FRO,Ecotone,Ecotone.2008,919,L,C,NA,FRO FT919 EAC,0.2995,0.6292,110.0835,1,NA,0.021395,0.000038
2008,FRO,Ecotone,Ecotone.2008,919,L,S,NA,FRO FT919 EAS,0.1657,0.3609,117.8033,0.9722,NA,0.020539,0.000035
2008,FRO,Ecotone,Ecotone.2008,919,W,A,NA,FRO FT919 NWA,0.1996,0.4258,113.3267,0.9851,NA,0.016861,0.000025
2008,FRO,Ecotone,Ecotone.2008,919,W,C,NA,FRO FT919 NWC,0.1152,0.3516,205.2083,0,NA,0.009431,0.000152
2008,FRO,Ecotone,Ecotone.2008,919,W,S,NA,FRO FT919 NWS,0.1883,0.3832,103.505,1,NA,0.017603,0.000024
2008,FRO,Ecotone,Ecotone.2008,919,L,A,NA,FRO FT919 SOA,0.2358,0.5126,117.3876,1,NA,0.016839,0.000035
2008,FRO,Ecotone,Ecotone.2008,919,L,C,NA,FRO FT919 SOC,0.4572,0.9745,113.1452,1,NA,0.029071,0.000025
2008,FRO,Ecotone,Ecotone.2008,919,L,S,NA,FRO FT919 SOS,0.2775,0.5826,109.9459,1,NA,0.024346,0.000022
2008,FRO,Ecotone,Ecotone.2008,922,L,A,NA,FRO FT922 EAA,0.1835,0.409,122.8883,0.9487,NA,0.021887,0.000057
2008,FRO,Ecotone,Ecotone.2008,922,L,C,NA,FRO FT922 EAC,0.2372,0.5066,113.575,0.9855,NA,0.019084,0.000023
2008,FRO,Ecotone,Ecotone.2008,922,L,S,NA,FRO FT922 EAS,-1.5563,NA,NA,NA,NA,NA,NA
2008,FRO,Ecotone,Ecotone.2008,922,W,A,NA,FRO FT922 NWA,-1.5563,NA,NA,NA,NA,NA,NA
2008,FRO,Ecotone,Ecotone.2008,922,W,C,NA,FRO FT922 NWC,0.2094,0.4724,125.5969,1,NA,0.02798,0.000032
2008,FRO,Ecotone,Ecotone.2008,922,W,S,NA,FRO FT922 NWS,-1.5563,NA,NA,NA,NA,NA,NA
2008,FRO,Ecotone,Ecotone.2008,922,L,A,NA,FRO FT922 SOA,0.2841,0.637,124.2168,0.989,NA,0.024583,0.000029
2008,FRO,Ecotone,Ecotone.2008,922,L,C,NA,FRO FT922 SOC,0.1918,0.4369,127.7894,1,NA,0.018962,0.000026
2008,FRO,Ecotone,Ecotone.2008,922,L,S,NA,FRO FT922 SOS,-1.5563,NA,NA,NA,NA,NA,NA
2008,FRO,Ecotone,Ecotone.2008,924,L,A,NA,FRO FT924 EAA,0.3883,0.8283,113.3144,1,NA,0.02268,0.00004
2008,FRO,Ecotone,Ecotone.2008,924,L,C,NA,FRO FT924 EAC,0.1891,0.4695,148.2813,1,NA,0.01461,0.000038
