year,site,zone,lat,lon,elev,tree,aspect,height,code,water,viability,gmin,group,density,swe,htc,dist,cover
2013,AIR,Forest,58.71469,-94.055962,14,1,L,A,AIR F1 LA,91,86,1.60E-05,1,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,1,L,C,AIR F1 LC,93,74,1.70E-05,3,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,1,L,S,AIR F1 LS,90,79,6.80E-06,1,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,1,W,A,AIR F1 WA,121,97,1.60E-05,3,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,1,W,C,AIR F1 WC,107,83,3.00E-05,3,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,1,W,S,AIR F1 WS,94,95,1.10E-06,1,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,2,L,A,AIR F2 LA,119,93,1.60E-05,3,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,2,L,C,AIR F2 LC,121,100,1.30E-06,3,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,2,L,S,AIR F2 LS,122,95,2.90E-05,3,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,2,W,A,AIR F2 WA,116,89,9.90E-06,3,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,2,W,C,AIR F2 WC,114,94,4.30E-06,3,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,3,L,C,AIR F3 LC,126,100,4.00E-06,3,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,3,W,A,AIR F3 WA,119,100,2.70E-05,3,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,3,W,C,AIR F3 WC,143,98,1.90E-05,4,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,4,L,A,AIR F4 LA,106,95,1.60E-05,3,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,4,L,C,AIR F4 LC,99,91,3.20E-06,3,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,4,L,S,AIR F4 LS,116,10,1.60E-05,2,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,4,W,A,AIR F4 WA,63,78,4.80E-05,1,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,4,W,C,AIR F4 WC,91,97,2.20E-05,1,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,4,W,S,AIR F4 WS,94,94,5.80E-06,1,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,5,L,A,AIR F5 LA,91,100,8.30E-06,1,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,5,L,C,AIR F5 LC,85,92,2.20E-06,1,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,5,L,S,AIR F5 LS,95,96,1.10E-05,1,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,5,W,A,AIR F5 WA,104,93,1.80E-06,3,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,5,W,C,AIR F5 WC,106,98,4.40E-06,3,205.279,173.394,0.395,6,58
2013,AIR,Forest,58.71469,-94.055962,14,6,L,A,AIR F6 LA,108,89,7.80E-06,3,205.279,173.394,0.395,6,58
2009,BLK,Ecotone,58.620804,-93.810787,37,1,L,A,2009 E1 EAA,114,100,3.80E-05,3,269.035,195.538,0.32,16.966,2
