"","b0","ppa.airT"
"Jan",-3.24560687943593,0.861697677320273
"Feb",-2.35052407349405,0.883081385060204
"Mar",1.81661244431311,1.04656124672541
"Apr",-1.18260169912096,0.895781582142441
"May",-0.808750701645585,0.763983367484274
"Jun",-0.378892308341734,0.904861320594245
"Jul",-0.206963604142077,0.971326010856534
"Aug",0.539792123133941,0.879067554911841
"Sep",0.231755081571145,0.900200901980404
"Oct",-0.565914700116559,1.20060634175905
"Nov",-0.283018380103805,0.911973174806246
"Dec",-0.985477390768561,0.933715673992888
