site,pit,date,depth,density,swe,htc
BFR,BFR,2003,46,91,42,0.05
BFR,BFR,2003,50,112,56,0.07
BFR,BFR,2003,46,116,53,0.09
BFR,BFR,2003,58,145,84,0.11
BFR,BFR,2003,58,145,84,0.11
BFR,BFR,2003,41,137,56,0.13
BFR,BFR,2003,47,149,70,0.14
BFR,BFR,2003,64,175,112,0.14
BFR,BFR,2003,46,152,70,0.15
BFR,BFR,2003,63,178,112,0.15
BFR,BFR,2003,50,168,84,0.17
BFR,BFR,2003,61,195,119,0.18
BFR,BFR,2003,64,197,126,0.18
BFR,BFR,2003,42,167,70,0.19
BFR,BFR,2003,48,175,84,0.19
BFR,BFR,2003,50,182,91,0.19
BFR,BFR,2003,58,193,112,0.19
BFR,BFR,2003,58,193,112,0.19
BFR,BFR,2003,62,203,126,0.20
BFR,BFR,2003,41,171,70,0.21
BFR,BFR,2003,46,183,84,0.21
BFR,BFR,2003,46,183,84,0.21
BFR,BFR,2003,63,211,133,0.21
BFR,BFR,2003,69,223,154,0.21
BFR,BFR,2003,66,223,147,0.22
BFR,BFR,2003,68,226,154,0.22
BFR,BFR,2003,45,187,84,0.23
BFR,BFR,2003,54,207,112,0.23
BFR,BFR,2003,54,207,112,0.23
BFR,BFR,2003,63,222,140,0.23
BFR,BFR,2003,63,222,140,0.23
BFR,BFR,2003,63,222,140,0.23
BFR,BFR,2003,51,206,105,0.24
BFR,BFR,2003,62,226,140,0.24
BFR,BFR,2003,65,237,154,0.25
BFR,BFR,2003,43,195,84,0.26
BFR,BFR,2003,43,195,84,0.26
BFR,BFR,2003,48,204,98,0.26
BFR,BFR,2003,48,204,98,0.26
BFR,BFR,2003,56,225,126,0.27
BFR,BFR,2003,60,233,140,0.27
BFR,BFR,2003,42,200,84,0.28
BFR,BFR,2003,49,214,105,0.28
BFR,BFR,2003,51,220,112,0.28
BFR,BFR,2003,65,248,161,0.28
BFR,BFR,2003,65,248,161,0.28
BFR,BFR,2003,39,197,77,0.29
BFR,BFR,2003,46,213,98,0.29
BFR,BFR,2003,66,254,168,0.29
BFR,BFR,2003,52,229,119,0.30
BFR,BFR,2003,54,233,126,0.30
BFR,BFR,2003,58,241,140,0.30
BFR,BFR,2003,58,241,140,0.30
BFR,BFR,2003,63,256,161,0.30
BFR,BFR,2003,63,256,161,0.30
BFR,BFR,2003,43,212,91,0.31
BFR,BFR,2003,49,229,112,0.31
BFR,BFR,2003,49,229,112,0.31
BFR,BFR,2003,51,233,119,0.31
BFR,BFR,2003,51,233,119,0.31
BFR,BFR,2003,40,210,84,0.32
BFR,BFR,2003,40,210,84,0.32
BFR,BFR,2003,40,210,84,0.32
BFR,BFR,2003,60,257,154,0.32
BFR,BFR,2003,54,246,133,0.33
BFR,BFR,2003,56,250,140,0.33
BFR,BFR,2003,56,250,140,0.33
BFR,BFR,2003,37,208,77,0.34
BFR,BFR,2003,49,243,119,0.35
BFR,BFR,2003,58,265,154,0.36
BFR,BFR,2003,52,256,133,0.37
BFR,BFR,2003,38,221,84,0.38
BFR,BFR,2003,40,227,91,0.38
BFR,BFR,2003,33,212,70,0.40
BFR,BFR,2003,45,249,112,0.40
BFR,BFR,2003,35,220,77,0.41
BFR,BFR,2003,35,220,77,0.41
BFR,BFR,2003,37,227,84,0.41
BFR,BFR,2003,37,227,84,0.41
BFR,BFR,2003,37,227,84,0.41
BFR,BFR,2003,37,227,84,0.41
BFR,BFR,2003,48,262,126,0.42
BFR,BFR,2003,48,262,126,0.42
BFR,BFR,2003,44,254,112,0.43
BFR,BFR,2003,44,254,112,0.43
BFR,BFR,2003,46,259,119,0.43
BFR,BFR,2003,34,226,77,0.44
BFR,BFR,2003,46,274,126,0.48
BFR,BFR,2003,42,267,112,0.50
BFR,BFR,2003,45,280,126,0.51
BFR,BFR,2003,43,277,119,0.52
BFR,BFR,2003,30,233,70,0.53
BFR,BFR,2003,41,273,112,0.53
BFR,BFR,2003,46,289,133,0.53
BFR,BFR,2003,42,283,119,0.56
BFR,BFR,2003,42,283,119,0.56
BFR,BFR,2003,40,280,112,0.58
BFR,BFR,2003,27,233,63,0.59
BFR,BFR,2003,27,233,63,0.59
BFR,BFR,2003,38,276,105,0.59
BFR,BFR,2003,32,262,84,0.63
BFR,BFR,2003,30,257,77,0.65
BFR,BFR,2003,26,242,63,0.66
BFR,BFR,2003,26,242,63,0.66
BFR,BFR,2003,44,318,140,0.68
BFR,BFR,2003,42,317,133,0.70
BFR,BFR,2003,34,288,98,0.72
BFR,BFR,2003,34,288,98,0.72
BFR,BFR,2003,30,303,91,0.90
BFR,BFR,2003,34,329,112,0.94
BSW,BSW,2003,56,60,34,0.02
BSW,BSW,2003,61,92,56,0.04
BSW,BSW,2003,64,96,62,0.04
BSW,BSW,2003,58,97,56,0.05
BSW,BSW,2003,66,106,70,0.05
BSW,BSW,2003,50,102,51,0.06
BSW,BSW,2003,54,117,63,0.07
BSW,BSW,2003,62,122,76,0.07
BSW,BSW,2003,66,127,84,0.07
BSW,BSW,2003,57,123,70,0.08
BSW,BSW,2003,66,136,90,0.08
BSW,BSW,2003,50,126,63,0.09
BSW,BSW,2003,54,127,69,0.09
BSW,BSW,2003,57,133,76,0.09
BSW,BSW,2003,58,133,77,0.09
BSW,BSW,2003,62,135,84,0.09
BSW,BSW,2003,76,155,118,0.09
BSW,BSW,2003,52,135,70,0.10
BSW,BSW,2003,66,148,98,0.10
BSW,BSW,2003,72,163,118,0.11
BSW,BSW,2003,86,179,154,0.11
BSW,BSW,2003,50,140,70,0.12
BSW,BSW,2003,56,150,84,0.12
BSW,BSW,2003,56,150,84,0.12
BSW,BSW,2003,55,153,84,0.12
BSW,BSW,2003,62,158,98,0.12
BSW,BSW,2003,68,165,112,0.12
BSW,BSW,2003,68,165,112,0.12
BSW,BSW,2003,44,140,62,0.13
BSW,BSW,2003,48,146,70,0.13
BSW,BSW,2003,69,172,119,0.13
BSW,BSW,2003,68,175,119,0.13
BSW,BSW,2003,72,175,126,0.13
BSW,BSW,2003,47,149,70,0.14
BSW,BSW,2003,50,152,76,0.14
BSW,BSW,2003,56,162,91,0.14
