Site1,Site2,site,group,Date1,date,sample,weight,depth,density,swe,htc
BFR,BFR,BFR,NA,200202,2002,1,NA,51,252,128.52,0.366081882
BFR,BFR,BFR,NA,200202,2002,2,NA,50,192,96,0.21676032
BFR,BFR,BFR,NA,200202,2002,3,NA,51,220,112.2,0.279011765
BFR,BFR,BFR,NA,200202,2002,4,NA,49,164,80.36,0.161376
BFR,BFR,BFR,NA,200202,2002,5,NA,50,241,120.5,0.34151628
BFR,BFR,BFR,NA,200202,2002,6,NA,46,174,80.04,0.19350313
BFR,BFR,BFR,NA,200202,2002,7,NA,46,139,63.94,0.123486391
BFR,BFR,BFR,NA,200202,2002,8,NA,49,213,104.37,0.272214
BFR,BFR,BFR,NA,200202,2002,9,NA,51,236,120.36,0.321071059
BFR,BFR,BFR,NA,200202,2002,10,NA,49,203,99.47,0.247254
BFR,BFR,BFR,NA,200202,2002,11,NA,63,229,144.27,0.244724667
BFR,BFR,BFR,NA,200202,2002,12,NA,63,242,152.46,0.273298667
BFR,BFR,BFR,NA,200202,2002,13,NA,64,251,160.64,0.289410844
BFR,BFR,BFR,NA,200202,2002,14,NA,63,255,160.65,0.30345
BFR,BFR,BFR,NA,200202,2002,15,NA,62,246,152.52,0.286962968
BFR,BFR,BFR,NA,200202,2002,16,NA,62,259,160.58,0.318093774
BFR,BFR,BFR,NA,200202,2002,17,NA,60,428,256.8,0.8976016
BFR,BFR,BFR,NA,200202,2002,18,NA,62,336,208.32,0.535345548
BFR,BFR,BFR,NA,200202,2002,19,NA,58,249,144.42,0.314280931
BFR,BFR,BFR,NA,200202,2002,20,NA,52,247,128.44,0.3449355
BFR,BFR,BFR,NA,200202,2002,21,NA,54,238,128.52,0.308395111
BFR,BFR,BFR,NA,200202,2002,22,NA,51,220,112.2,0.279011765
BFR,BFR,BFR,NA,200202,2002,23,NA,54,208,112.32,0.235548444
BFR,BFR,BFR,NA,200202,2002,24,NA,52,216,112.32,0.263785846
BFR,BFR,BFR,NA,200202,2002,25,NA,52,216,112.32,0.263785846
