year,site,min,mean,max,sd,se,n
2002,PPA,10,35,53,7.72,0.78,98
2003,PPA,,,,,,
2004,PPA,22,37,46,6.46,0.83,61
2005,PPA,,,,,,
2006,PPA,,,,,,
2007,PPA,33,42,70,4.35,0.42,108
2008,PPA,28,42,68,4.72,0.42,128
2009,PPA,27,39,58,4.49,0.40,128
2010,PPA,32,45,80,5.06,0.45,128
2011,PPA,33,46,64,4.83,0.43,128
2012,PPA,32,46,60,4.34,0.38,128
2013,PPA,30,43,66,5.11,0.45,128
2014,PPA,28,42,71,5.54,0.49,126
2015,PPA,23,41,54,4.62,0.43,115
2016,PPA,29,43,69,5.38,0.48,128
2017,PPA,29,43,60,5.31,0.47,128
2002,PPD,28,44,61,6.62,0.83,64
2003,PPD,,,,,,
2004,PPD,28,41,59,6.05,0.79,59
2005,PPD,,,,,,
2006,PPD,,,,,,
2007,PPD,25,49,104,9.74,0.81,146
2008,PPD,24,49,89,8.57,0.71,147
2009,PPD,25,42,63,6.04,0.56,117
2010,PPD,26,51,93,9.49,0.78,147
2011,PPD,30,54,86,8.30,0.69,146
2012,PPD,34,54,80,7.08,0.58,147
2013,PPD,37,54,83,9.93,1.81,30
2014,PPD,28,49,76,7.17,0.59,147
2015,PPD,29,47,67,8.09,0.67,146
2016,PPD,32,49,67,6.01,0.50,147
2017,PPD,23,51,79,8.06,0.66,147
2006,AIR,33,82,200,40.90,6.03,46
2007,AIR,31,74,182,28.84,2.53,130
2008,AIR,26,62,160,22.06,1.94,130
2009,AIR,34,64,195,28.98,2.54,130
2010,AIR,30,62,185,25.21,2.21,130
2011,AIR,18,68,198,27.36,2.42,128
2012,AIR,35,72,175,23.41,2.05,130
2013,AIR,32,70,165,24.49,2.16,129
2014,AIR,18,60,121,18.01,1.58,130
2015,AIR,26,56,110,14.05,1.24,129
2016,AIR,33,63,145,22.45,1.97,130
2017,AIR,31,60,123,18.31,1.61,130
2011,BLK,43,70,135,21.80,3.98,30
2012,BLK,61,89,132,21.07,3.85,30
2013,BLK,,,,,,
2014,BLK,38,56,80,10.49,1.92,30
2015,BLK,27,40,63,9.92,1.81,30
2016,BLK,34,62,121,19.18,3.50,30
2017,BLK,28,53,104,18.19,3.71,24
