site,site2,zone,group,date,year,time,sample,weight,depth,density,swe,htc
T10,T10c,TreeIsland,1,20120223,2012,1420,1,360,33,305.3961489,100.7807292,0.830922469
T10,T10c,TreeIsland,1,20120223,2012,1420,2,640,68,263.4790305,179.1657407,0.300144598
T10,T10c,TreeIsland,1,20120223,2012,1420,3,480,47,285.9027777,134.3743055,0.511312279
T10,T10c,TreeIsland,1,20120223,2012,1420,4,320,26,344.5495014,89.58287036,1.342385443
T10,T10c,TreeIsland,1,20120223,2012,1420,5,438,38,322.6751416,122.6165538,0.805554174
T10,T10c,TreeIsland,1,20120223,2012,1420,6,305,27,316.2358271,85.38367331,1.088944404
T10,T10c,TreeIsland,1,20120223,2012,1420,7,260,22,330.845828,72.78608217,1.462769764
T10,T10c,TreeIsland,1,20120223,2012,1420,8,625,50,349.9330873,174.9665437,0.720024614
T10,T10c,TreeIsland,1,20120223,2012,1420,9,555,42,369.9292638,155.3702908,0.957933621
T10,T10c,TreeIsland,1,20120223,2012,1420,10,397,36,308.7187459,111.1387485,0.778342657
T10,T10c,TreeIsland,1,20120223,2012,1420,11,620,48,361.5975236,173.5668113,0.80086071
T10,T10c,TreeIsland,1,20120223,2012,1420,12,680,77,247.2254539,190.3635995,0.233368896
T10,T10c,TreeIsland,1,20120223,2012,1420,13,1150,84,383.260048,321.9384403,0.514108925
T10,T10c,TreeIsland,1,20120223,2012,1420,14,960,75,358.3314814,268.7486111,0.503333686
T10,T10c,TreeIsland,1,20120223,2012,1420,15,900,96,262.4498155,251.9518229,0.210944711
T10,T10c,TreeIsland,2,20120223,2012,1420,13,525,43,341.7951086,146.9718967,0.79874943
T10,T10c,TreeIsland,2,20120223,2012,1420,14,800,70,319.9388227,223.9571759,0.429915571
T10,T10c,TreeIsland,2,20120223,2012,1420,15,900,74,340.4754363,251.9518229,0.460561023
T10,T10c,TreeIsland,2,20120223,2012,1420,16,750,53,396.1506649,209.9598524,0.870547032
T10,T10c,TreeIsland,2,20120223,2012,1420,17,850,70,339.9349991,237.9544994,0.485334375
T10,T10c,TreeIsland,2,20120223,2012,1420,18,825,68,339.6409377,230.9558376,0.498744914
T10,T10c,TreeIsland,2,20120223,2012,1420,19,900,71,354.8617224,251.9518229,0.521443543
T10,T10c,TreeIsland,2,20120223,2012,1420,20,800,62,361.2212514,223.9571759,0.6187315
T10,T10c,TreeIsland,2,20120223,2012,1420,21,1100,92,334.7186053,307.9411169,0.358029828
T10,T10c,TreeIsland,3,20120223,2012,1420,1,400,44,254.4967908,111.9785879,0.432772119
T10,T10c,TreeIsland,3,20120223,2012,1420,2,620,52,333.7823295,173.5668113,0.629898638
T10,T10c,TreeIsland,3,20120223,2012,1420,3,700,58,337.8664292,195.9625289,0.57864129
T10,T10c,TreeIsland,3,20120223,2012,1420,4,640,62,288.9770012,179.1657407,0.39598816
T10,T10c,TreeIsland,3,20120223,2012,1420,5,1000,78,358.9057306,279.9464699,0.485527142
T10,T10c,TreeIsland,3,20120223,2012,1420,6,920,72,357.7093782,257.5507523,0.522486997
T10,T10c,TreeIsland,3,20120223,2012,1420,7,820,60,382.5935088,229.5561053,0.717251186
T10,T10c,TreeIsland,3,20120223,2012,1420,8,520,52,279.9464699,145.5721643,0.44309207
T10,T10c,TreeIsland,3,20120223,2012,1420,9,620,58,299.253123,173.5668113,0.453938188
T10,T10c,TreeIsland,3,20120223,2012,1420,10,940,82,320.9142459,263.1496817,0.36924232
T10,T10c,TreeIsland,3,20120223,2012,1420,11,880,80,307.9411169,246.3528935,0.348491913
T10,T10c,TreeIsland,3,20120223,2012,1420,12,680,64,297.4431242,190.3635995,0.406420143
T10,T10d,Deflation,1,20120223,2012,1420,1,96,8,335.9357638,26.87486111,4.147341775
T10,T10d,Deflation,1,20120223,2012,1420,2,59,5,330.3368344,16.51684172,6.416398542
T10,T10d,Deflation,1,20120223,2012,1420,3,65,6,303.2753424,18.19652054,4.506820731
T10,T10d,Deflation,2,20120223,2012,1420,13,145,20,202.9611907,40.59223813,0.6055407
T10,T10d,Deflation,2,20120223,2012,1420,14,260,28,259.9502934,72.78608217,0.709528628
T10,T10d,Deflation,2,20120223,2012,1420,15,190,17,312.8813487,53.18982927,1.693003122
T10,T10d,Deflation,2,20120223,2012,1420,16,145,12,338.2686511,40.59223813,2.803429168
T10,T10d,Deflation,2,20120223,2012,1420,17,320,24,373.2619598,89.58287036,1.70672501
T10,T10d,Deflation,2,20120223,2012,1420,18,117,19,172.3880893,32.75373697,0.459841583
T10,T10d,Deflation,2,20120223,2012,1420,19,172,28,171.9671172,48.15079282,0.310513239
T10,T10d,Deflation,2,20120223,2012,1420,20,160,22,203.5974326,44.79143518,0.553948313
T10,T10d,Deflation,2,20120223,2012,1420,21,170,26,183.0419226,47.59089988,0.378856829
T10,T10d,Deflation,2,20120223,2012,1420,22,170,24,198.2954162,47.59089988,0.481683133
T10,T10d,Deflation,2,20120223,2012,1420,23,110,18,171.0783983,30.79411169,0.478041033
T10,T10d,Deflation,2,20120223,2012,1420,24,282,34,232.1908956,78.9449045,0.466185527
T10,T10d,Deflation,2,20120223,2012,1420,25,25,2,349.9330873,6.998661747,18.00061534
T10,T10d,Deflation,2,20120223,2012,1420,26,16,1,447.9143518,4.479143518,58.98441636
T10,T10d,Deflation,2,20120223,2012,1420,27,58,7,231.9556465,16.23689525,2.259743721
T10,T10d,Deflation,2,20120223,2012,1420,28,30,2,419.9197048,8.398394096,25.9208861
T10,T10d,Deflation,2,20120223,2012,1420,29,30,5,167.9678819,8.398394096,1.65893671
T10,T10d,Deflation,2,20120223,2012,1420,30,35,3,326.6042148,9.798126445,10.45369069
T10,T10d,Deflation,2,20120223,2012,1420,31,35,2,489.9063223,9.798126445,35.28120608
T10,T10d,Deflation,2,20120223,2012,1420,32,95,6,443.2485773,26.59491464,9.626995762
T10,T10d,Deflation,3,20120223,2012,1420,1,450,46,273.860677,125.9759114,0.47934572
T10,T10d,Deflation,3,20120223,2012,1420,2,540,48,314.9397786,151.1710937,0.607520768
T10,T10d,Deflation,3,20120223,2012,1420,3,440,40,307.9411169,123.1764467,0.696983826
T10,T10d,Deflation,3,20120223,2012,1420,4,460,38,338.8825688,128.7753761,0.888509744
T10,T10d,Deflation,3,20120223,2012,1420,5,440,36,342.1567965,123.1764467,0.956082066
T10,T10d,Deflation,3,20120223,2012,1420,6,340,30,317.2726658,95.18179975,0.986487056
T10,T10d,Deflation,3,20120223,2012,1420,7,280,23,340.8043981,78.38501156,1.484669804
T10,T10d,Deflation,3,20120223,2012,1420,8,360,30,335.9357638,100.7807292,1.105957807
T10,T10d,Deflation,3,20120223,2012,1420,9,230,24,268.2820336,64.38768807,0.881696807
T10,T10d,Deflation,3,20120223,2012,1420,10,220,22,279.9464699,61.58822337,1.047308529
T10,T10d,Deflation,3,20120223,2012,1420,11,220,28,219.9579406,61.58822337,0.508005704
