site,type,plot,epg,epm,ell,npg,npm,nll,tpg,tpm,tll
AIRF,treed,2773,0,0,0,3,0,7,3,0,7
AIRF,treed,2774,0,0,0,0,0,0,0,0,0
AIRF,treed,2775,0,0,0,0,0,0,0,0,0
AIRF,treed,2776,0,0,0,0,0,0,0,0,0
AIRF,treed,2777,0,0,0,0,0,1,0,0,1
AIRF,treed,2778,0,0,0,0,0,0,0,0,0
AIRF,treed,2779,0,0,0,0,0,3,0,0,3
AIRF,treed,2780,0,0,0,0,0,0,0,0,0
AIRF,treed,2781,0,0,0,2,1,4,2,1,4
AIRF,treed,2782,0,0,0,2,0,5,2,0,5
AIRF,treed,2783,0,0,0,0,0,1,0,0,1
AIRF,treed,2784,0,0,0,2,1,0,2,1,0
AIRF,treed,2785,0,0,0,2,0,1,2,0,1
AIRF,treed,2786,0,0,0,0,0,1,0,0,1
AIRF,treed,2787,0,0,0,1,0,2,1,0,2
AIRF,treed,2788,0,0,0,2,0,3,2,0,3
AIRP,treed,2789,0,0,0,0,0,2,0,0,2
AIRP,treed,2790,0,0,0,1,0,0,1,0,0
AIRP,treed,2791,0,0,0,0,0,0,0,0,0
AIRP,treed,2792,0,0,0,0,0,0,0,0,0
AIRP,treed,2793,0,0,0,0,0,0,0,0,0
AIRP,treed,2794,0,0,0,0,0,0,0,0,0
AIRP,treed,2795,0,1,0,0,0,0,0,1,0
AIRP,treed,2796,0,0,0,0,0,0,0,0,0
AIRP,treed,2797,0,0,0,0,0,0,0,0,0
AIRP,treed,2801,0,0,0,0,0,0,0,0,0
AIRP,treed,2802,0,0,0,0,0,0,0,0,0
AIRP,treed,2803,0,0,0,0,0,0,0,0,0
AIRP,treed,2804,0,0,0,0,0,0,0,0,0
AIRP,treed,2805,0,0,0,1,0,3,1,0,3
AIRP,treed,2806,0,0,0,0,0,2,0,0,2
AIRP,treed,2807,0,0,0,0,0,0,0,0,0
AIRP,treed,2808,0,0,0,0,0,0,0,0,0
BFR,burn,473,0,0,0,0,0,0,0,0,0
BFR,burn,476,0,0,0,0,0,0,0,0,0
BFR,burn,635,0,0,0,0,0,0,0,0,0
BFR,burn,657,0,0,0,0,0,0,0,0,0
BFR,burn,658,0,0,0,0,0,0,0,0,0
BFR,burn,694,0,0,0,0,0,0,0,0,0
BFR,burn,1423,0,0,0,0,0,0,0,0,0
BFR,burn,1424,0,0,0,0,0,0,0,0,0
BFR,burn,1425,0,0,0,0,0,0,0,0,0
BFR,burn,1427,0,0,0,0,0,0,0,0,0
BFR,burn,1428,0,0,0,0,0,0,0,0,0
BFR,burn,2596,0,0,0,0,0,0,0,0,0
BFR,burn,2597,0,0,0,0,0,0,0,0,0
BFR,burn,2598,0,0,0,0,0,0,0,0,0
BFR,burn,2600,0,0,0,0,0,0,0,0,0
