"","b0","wsu.soilT"
"Jan",0.617887759201606,0.1784205410176
"Feb",0.420893705735912,0.114875847919412
"Mar",0.799607927196726,0.278089422156435
"Apr",0.131990596962474,0.242870723936181
"May",-0.342353817368205,0.0860060486521438
"Jun",-0.458605516780419,0.106905357670613
"Jul",-0.733032231936849,0.204380122236356
"Aug",-5.77995406354097,1.72915771374651
"Sep",-0.474944907774257,1.19192456847695
"Oct",1.35263961840661,1.05495267664521
"Nov",1.24469241338896,1.5206508581651
"Dec",1.00058048896179,0.545590992302113
