site,site2,pit,type,plotting,year,depth,density,swe,htc,letter
TIS,TIS,TIS,island,A.2004,2004,210,249,523,0.09,A
TIS,TIS,TIS,island,A.2004,2004,97,179,174,0.1,A
TIS,TIS,TIS,island,A.2004,2004,186,256,476,0.1,A
TIS,TIS,TIS,island,A.2004,2004,230,344,792,0.15,A
TIS,TIS,TIS,island,A.2004,2004,110,249,274,0.17,A
TIS,TIS,TIS,island,A.2004,2004,108,257,277,0.18,A
TIS,TIS,TIS,island,A.2004,2004,151,302,456,0.18,A
TIS,TIS,TIS,island,A.2004,2004,238,377,898,0.18,A
TIS,TIS,TIS,island,A.2004,2004,118,277,326,0.19,A
TIS,TIS,TIS,island,A.2004,2004,125,282,353,0.19,A
TIS,TIS,TIS,island,A.2004,2004,149,306,456,0.19,A
TIS,TIS,TIS,island,A.2004,2004,100,258,258,0.2,A
TIS,TIS,TIS,island,A.2004,2004,102,263,269,0.2,A
TIS,TIS,TIS,island,A.2004,2004,215,381,820,0.2,A
TIS,TIS,TIS,island,A.2004,2004,135,311,420,0.21,A
TIS,TIS,TIS,island,A.2004,2004,219,393,862,0.21,A
TIS,TIS,TIS,island,A.2004,2004,220,398,876,0.21,A
TIS,TIS,TIS,island,A.2004,2004,223,398,887,0.21,A
TIS,TIS,TIS,island,A.2004,2004,219,399,873,0.21,A
TIS,TIS,TIS,island,A.2004,2004,99,274,272,0.22,A
TIS,TIS,TIS,island,A.2004,2004,141,322,454,0.22,A
TIS,TIS,TIS,island,A.2004,2004,190,376,714,0.22,A
TIS,TIS,TIS,island,A.2004,2004,106,288,305,0.23,A
TIS,TIS,TIS,island,A.2004,2004,111,298,330,0.23,A
TIS,TIS,TIS,island,A.2004,2004,139,326,454,0.23,A
TIS,TIS,TIS,island,A.2004,2004,142,335,476,0.23,A
TIS,TIS,TIS,island,A.2004,2004,143,337,482,0.23,A
TIS,TIS,TIS,island,A.2004,2004,164,355,582,0.23,A
TIS,TIS,TIS,island,A.2004,2004,196,394,773,0.23,A
TIS,TIS,TIS,island,A.2004,2004,97,283,274,0.24,A
TIS,TIS,TIS,island,A.2004,2004,107,293,314,0.24,A
TIS,TIS,TIS,island,A.2004,2004,107,293,314,0.24,A
TIS,TIS,TIS,island,A.2004,2004,108,295,319,0.24,A
TIS,TIS,TIS,island,A.2004,2004,133,333,442,0.24,A
TIS,TIS,TIS,island,A.2004,2004,142,339,482,0.24,A
TIS,TIS,TIS,island,A.2004,2004,140,340,476,0.24,A
TIS,TIS,TIS,island,A.2004,2004,140,340,476,0.24,A
TIS,TIS,TIS,island,A.2004,2004,147,349,512,0.24,A
TIS,TIS,TIS,island,A.2004,2004,151,349,526,0.24,A
TIS,TIS,TIS,island,A.2004,2004,157,357,560,0.24,A
TIS,TIS,TIS,island,A.2004,2004,113,307,347,0.25,A
TIS,TIS,TIS,island,A.2004,2004,113,307,347,0.25,A
TIS,TIS,TIS,island,A.2004,2004,111,308,342,0.25,A
TIS,TIS,TIS,island,A.2004,2004,86,277,238,0.26,A
TIS,TIS,TIS,island,A.2004,2004,112,315,353,0.26,A
TIS,TIS,TIS,island,A.2004,2004,113,315,356,0.26,A
TIS,TIS,TIS,island,A.2004,2004,158,372,588,0.26,A
TIS,TIS,TIS,island,A.2004,2004,165,385,635,0.26,A
TIS,TIS,TIS,island,A.2004,2004,97,300,291,0.27,A
TIS,TIS,TIS,island,A.2004,2004,137,351,482,0.27,A
TIS,TIS,TIS,island,A.2004,2004,137,354,484,0.27,A
TIS,TIS,TIS,island,A.2004,2004,141,361,510,0.27,A
TIS,TIS,TIS,island,A.2004,2004,93,298,277,0.28,A
TIS,TIS,TIS,island,A.2004,2004,96,300,288,0.28,A
TIS,TIS,TIS,island,A.2004,2004,118,334,394,0.28,A
TIS,TIS,TIS,island,A.2004,2004,155,385,596,0.28,A
TIS,TIS,TIS,island,A.2004,2004,150,384,577,0.29,A
TIS,TIS,TIS,island,A.2004,2004,101,327,330,0.31,A
TIS,TIS,TIS,island,A.2004,2004,45,240,108,0.38,A
TIS,TIS,TIS,island,A.2004,2004,46,284,130,0.51,A
TIS,TIS,TIS,island,A.2004,2004,47,289,136,0.52,A
TIS,TIS,TIS,island,A.2004,2004,40,284,114,0.59,A
TIS,TIS,TIS,island,A.2004,2004,47,307,144,0.59,A
TIS,TIS,TIS,island,A.2004,2004,44,322,142,0.69,A
TIS,TIS,TIS,island,A.2004,2004,47,349,164,0.76,A
TIS,TIS,TIS,island,A.2004,2004,40,347,139,0.89,A
TIS,TIS,TIS,island,A.2004,2004,35,341,119,0.98,A
TIS,TIS,TIS,island,A.2005,2005,218,321,700,0.14,A
TIS,TIS,TIS,island,A.2005,2005,243,357,868,0.15,A
TIS,TIS,TIS,island,A.2005,2005,140,288,403,0.17,A
TIS,TIS,TIS,island,A.2005,2005,224,356,798,0.17,A
TIS,TIS,TIS,island,A.2005,2005,118,273,322,0.19,A
TIS,TIS,TIS,island,A.2005,2005,181,340,616,0.19,A
TIS,TIS,TIS,island,A.2005,2005,226,381,861,0.19,A
TIS,TIS,TIS,island,A.2005,2005,238,394,938,0.19,A
TIS,TIS,TIS,island,A.2005,2005,248,401,994,0.19,A
TIS,TIS,TIS,island,A.2005,2005,116,284,329,0.2,A
TIS,TIS,TIS,island,A.2005,2005,146,316,462,0.2,A
TIS,TIS,TIS,island,A.2005,2005,148,320,473,0.2,A
TIS,TIS,TIS,island,A.2005,2005,170,338,574,0.2,A
TIS,TIS,TIS,island,A.2005,2005,176,350,616,0.2,A
TIS,TIS,TIS,island,A.2005,2005,234,395,924,0.2,A
TIS,TIS,TIS,island,A.2005,2005,133,312,414,0.21,A
TIS,TIS,TIS,island,A.2005,2005,119,300,357,0.22,A
TIS,TIS,TIS,island,A.2005,2005,132,318,420,0.23,A
TIS,TIS,TIS,island,A.2005,2005,140,330,462,0.23,A
TIS,TIS,TIS,island,A.2005,2005,127,320,406,0.24,A
TIS,TIS,TIS,island,A.2005,2005,117,317,371,0.25,A
TIS,TIS,TIS,island,A.2005,2005,140,358,501,0.27,A
TIS,TIS,TIS,island,A.2005,2005,142,359,510,0.27,A
TIS,TIS,TIS,island,A.2005,2005,166,388,644,0.27,A
TIS,TIS,TIS,island,A.2005,2005,77,269,207,0.28,A
TIS,TIS,TIS,island,A.2005,2005,140,362,507,0.28,A
TIS,TIS,TIS,island,A.2005,2005,164,393,644,0.28,A
TIS,TIS,TIS,island,A.2005,2005,144,383,551,0.3,A
TIS,TIS,TIS,island,A.2005,2005,158,399,630,0.3,A
TIS,TIS,TIS,island,A.2005,2005,75,287,216,0.32,A
TIS,TIS,TIS,island,A.2005,2005,72,284,204,0.33,A
TIS,TIS,TIS,island,A.2005,2005,80,297,238,0.33,A
TIS,TIS,TIS,island,A.2005,2005,74,295,218,0.35,A
TIS,TIS,TIS,island,A.2005,2005,61,285,174,0.39,A
TIS,TIS,TIS,island,A.2005,2005,77,320,246,0.39,A
TIS,TIS,TIS,island,A.2006,2006,211,308,649,0.13,A
TIS,TIS,TIS,island,A.2006,2006,181,303,549,0.15,A
TIS,TIS,TIS,island,A.2006,2006,160,290,465,0.16,A
TIS,TIS,TIS,island,A.2006,2006,210,341,717,0.16,A
TIS,TIS,TIS,island,A.2006,2006,106,251,266,0.17,A
TIS,TIS,TIS,island,A.2006,2006,168,308,518,0.17,A
