id,year,month,day,date,wsu_depth,tis_depth,tun_depth,ppa_depth,ppd_depth,mlk_depth,rpp_depth,rti_depth
1,2014,9,27,2014-09-27,NA,NA,NA,NA,NA,NA,NA,NA
2,2014,9,28,2014-09-28,NA,NA,NA,NA,NA,NA,NA,0
3,2014,9,29,2014-09-29,NA,NA,NA,NA,NA,NA,NA,0
4,2014,9,30,2014-09-30,NA,NA,NA,NA,NA,NA,NA,0
5,2014,10,1,2014-10-01,NA,NA,0,NA,NA,NA,NA,0
6,2014,10,2,2014-10-02,NA,0,0,NA,NA,NA,NA,0
7,2014,10,3,2014-10-03,NA,5,0,NA,NA,NA,NA,0
8,2014,10,4,2014-10-04,5,0,0,NA,NA,NA,NA,1
9,2014,10,5,2014-10-05,5,0,0,NA,NA,NA,NA,25
10,2014,10,6,2014-10-06,5,0,0,NA,NA,NA,NA,25
11,2014,10,7,2014-10-07,5,0,0,NA,NA,NA,NA,23
12,2014,10,8,2014-10-08,5,0,0,NA,NA,NA,NA,15
13,2014,10,9,2014-10-09,5,0,0,NA,NA,NA,NA,16
14,2014,10,10,2014-10-10,5,1,0,NA,NA,NA,NA,15
15,2014,10,11,2014-10-11,5,5,1,NA,NA,NA,NA,16
16,2014,10,12,2014-10-12,5,0,0,NA,NA,NA,NA,16
17,2014,10,13,2014-10-13,5,0,0,NA,NA,NA,NA,16
18,2014,10,14,2014-10-14,5,0,0,NA,NA,NA,NA,16
19,2014,10,15,2014-10-15,5,0,0,NA,NA,NA,NA,16
20,2014,10,16,2014-10-16,NA,1,0,NA,NA,NA,NA,16
21,2014,10,17,2014-10-17,NA,5,1,NA,NA,NA,NA,16
22,2014,10,18,2014-10-18,NA,5,1,NA,NA,NA,NA,16
23,2014,10,19,2014-10-19,NA,5,5,NA,NA,NA,NA,15
24,2014,10,20,2014-10-20,NA,0,0,NA,NA,NA,NA,16
25,2014,10,21,2014-10-21,NA,0,0,NA,NA,NA,NA,NA
26,2014,10,22,2014-10-22,NA,0,0,NA,NA,NA,NA,NA
27,2014,10,23,2014-10-23,NA,0,0,NA,NA,NA,NA,NA
28,2014,10,24,2014-10-24,NA,0,0,NA,NA,NA,NA,NA
29,2014,10,25,2014-10-25,NA,0,0,NA,NA,NA,NA,NA
30,2014,10,26,2014-10-26,NA,1,0,NA,NA,NA,NA,NA
31,2014,10,27,2014-10-27,NA,1,0,NA,NA,NA,NA,NA
32,2014,10,28,2014-10-28,NA,5,0,NA,NA,NA,NA,NA
33,2014,10,29,2014-10-29,NA,5,0,NA,NA,NA,NA,NA
