site,site1,zone,year,date,depth,density,swe,htc
ROK,ROKE,E,2008,20080228,41,273.1185072,111.9785879,0.534891546
ROK,ROKE,E,2008,20080228,41,273.1185072,111.9785879,0.534891546
ROK,ROKE,E,2008,20080228,50,260.350217,130.1751085,0.398559545
ROK,ROKE,E,2008,20080228,66,229.0471117,151.1710937,0.233696945
ROK,ROKE,E,2008,20080228,82,249.2206378,204.360923,0.222690394
ROK,ROKE,E,2008,20080228,44,209.9598524,92.38233506,0.294555524
ROK,ROKE,E,2008,20080228,40,174.9665437,69.98661747,0.225007692
ROK,ROKE,E,2008,20080228,68,247.0115911,167.9678819,0.263798963
ROK,ROKE,E,2008,20080228,35,215.9587053,75.58554686,0.391760564
ROK,ROKE,E,2008,20080228,81,262.6658236,212.7593171,0.250420253
ROK,ROKE,E,2008,20080228,71,252.3461137,179.1657407,0.263683056
ROK,ROKE,E,2008,20080228,33,229.0471117,75.58554686,0.467393889
ROK,ROKE,E,2008,20080228,75,227.6897955,170.7673466,0.20322316
ROK,ROKE,E,2008,20080228,54,258.6912749,139.6932885,0.364348623
ROK,ROKE,E,2008,20080228,52,255.7203331,132.9745732,0.369721332
ROK,ROKE,E,2008,20080228,39,276.3574126,107.7793909,0.575738085
ROK,ROKE,E,2008,20080228,27,176.2625921,47.59089988,0.33830146
ROK,ROKE,E,2008,20080228,24,227.4565068,54.58956162,0.633771665
ROK,ROKE,E,2008,20080228,15,261.2833719,39.19250578,1.338072408
ROK,ROKE,E,2008,20080228,25,235.1550347,58.78875867,0.65030319
ROK,ROKE,E,2008,20080228,5,335.9357638,16.79678819,6.635746841
ROK,ROKE,E,2008,20080228,12,198.2954162,23.79544994,0.963366266
ROK,ROKE,E,2008,20080228,12,279.9464699,33.59357638,1.920065637
ROK,ROKE,E,2008,20080228,22,248.134371,54.58956162,0.822807992
ROK,ROKE,E,2008,20080228,32,266.8239791,85.38367331,0.654104392
ROK,ROKE,E,2008,20080228,47,262.0775463,123.1764467,0.429644345
ROK,ROKE,E,2008,20080228,50,246.3528935,123.1764467,0.356855719
ROK,ROKE,E,2008,20080228,55,218.8672401,120.376982,0.256062608
ROK,ROKE,E,2008,20080228,55,180.6927215,99.3809968,0.17452834
ROK,ROKE,E,2008,20080228,57,243.111408,138.5735026,0.304847861
ROK,ROKE,E,2008,20080228,51,466.5774498,237.9544994,1.254944861
ROK,ROKE,E,2008,20080228,61,234.053606,142.7726996,0.264026895
ROK,ROKE,E,2008,20080228,31,275.4312042,85.38367331,0.719468722
ROK,ROKF,F,2008,20080228,66,178.1477536,117.5775173,0.141372226
ROK,ROKF,F,2008,20080228,66,169.6645272,111.9785879,0.128228776
ROK,ROKF,F,2008,20080228,70,179.9655878,125.9759114,0.136027974
ROK,ROKF,F,2008,20080228,44,178.1477536,78.38501156,0.212058339
ROK,ROKF,F,2008,20080228,52,161.5075788,83.98394096,0.147478869
ROK,ROKF,F,2008,20080228,90,230.1782086,207.1603877,0.173074558
ROK,ROKF,F,2008,20080228,68,164.674394,111.9785879,0.117243984
ROK,ROKF,F,2008,20080228,62,135.4579693,83.98394096,0.087009117
ROK,ROKF,F,2008,20080228,74,226.9836242,167.9678819,0.204693788
ROK,ROKF,F,2008,20080228,82,245.8066565,201.5614583,0.216631076
ROK,ROKF,F,2008,20080228,34,214.0767123,72.78608217,0.396284664
ROK,ROKF,F,2008,20080228,54,228.104531,123.1764467,0.283283575
ROK,ROKF,F,2008,20080228,38,206.2763462,78.38501156,0.329202098
ROK,ROKF,F,2008,20080228,56,254.9512493,142.7726996,0.341250733
