Site1,Site2,site,group,Date1,date,sample,weight,depth,density,swe,htc
BFR,BFR,BFR,NA,200202,2002,1,NA,51,252,128.52,0.3660819
BFR,BFR,BFR,NA,200202,2002,2,NA,50,192,96,0.2167603
BFR,BFR,BFR,NA,200202,2002,3,NA,51,220,112.2,0.2790118
BFR,BFR,BFR,NA,200202,2002,4,NA,49,164,80.36,0.161376
BFR,BFR,BFR,NA,200202,2002,5,NA,50,241,120.5,0.3415163
BFR,BFR,BFR,NA,200202,2002,6,NA,46,174,80.04,0.1935031
BFR,BFR,BFR,NA,200202,2002,7,NA,46,139,63.94,0.1234864
BFR,BFR,BFR,NA,200202,2002,8,NA,49,213,104.37,0.272214
BFR,BFR,BFR,NA,200202,2002,9,NA,51,236,120.36,0.3210711
BFR,BFR,BFR,NA,200202,2002,10,NA,49,203,99.47,0.247254
BFR,BFR,BFR,NA,200202,2002,11,NA,63,229,144.27,0.2447247
BFR,BFR,BFR,NA,200202,2002,12,NA,63,242,152.46,0.2732987
BFR,BFR,BFR,NA,200202,2002,13,NA,64,251,160.64,0.2894108
BFR,BFR,BFR,NA,200202,2002,14,NA,63,255,160.65,0.30345
BFR,BFR,BFR,NA,200202,2002,15,NA,62,246,152.52,0.286963
BFR,BFR,BFR,NA,200202,2002,16,NA,62,259,160.58,0.3180938
BFR,BFR,BFR,NA,200202,2002,17,NA,60,428,256.8,0.8976016
BFR,BFR,BFR,NA,200202,2002,18,NA,62,336,208.32,0.5353455
BFR,BFR,BFR,NA,200202,2002,19,NA,58,249,144.42,0.3142809
BFR,BFR,BFR,NA,200202,2002,20,NA,52,247,128.44,0.3449355
BFR,BFR,BFR,NA,200202,2002,21,NA,54,238,128.52,0.3083951
BFR,BFR,BFR,NA,200202,2002,22,NA,51,220,112.2,0.2790118
BFR,BFR,BFR,NA,200202,2002,23,NA,54,208,112.32,0.2355484
BFR,BFR,BFR,NA,200202,2002,24,NA,52,216,112.32,0.2637858
BFR,BFR,BFR,NA,200202,2002,25,NA,52,216,112.32,0.2637858
BFR,BFR,BFR,NA,200202,2002,26,NA,57,197,112.29,0.2001727
BFR,BFR,BFR,NA,200202,2002,27,NA,54,208,112.32,0.2355484
BFR,BFR,BFR,NA,200202,2002,28,NA,46,174,80.04,0.1935031
BFR,BFR,BFR,NA,200202,2002,29,NA,51,220,112.2,0.2790118
BFR,BFR,BFR,NA,200202,2002,30,NA,52,216,112.32,0.2637858
BFR,BFR,BFR,NA,200202,2002,31,NA,49,295,144.55,0.52215
BFR,BFR,BFR,NA,200202,2002,32,NA,54,297,160.38,0.480249
BFR,BFR,BFR,NA,200202,2002,33,NA,53,333,176.49,0.6151201
BFR,BFR,BFR,NA,200202,2002,34,NA,51,252,128.52,0.3660819
BFR,BFR,BFR,NA,200202,2002,35,NA,52,278,144.56,0.4369518
BFR,BFR,BFR,NA,200202,2002,36,NA,48,267,128.16,0.4366451
BFR,BFR,BFR,NA,200202,2002,37,NA,48,301,144.48,0.5549311
