"","b0","ppd.soilT","tun.soilT"
"Jan",-2.42566097187588,0.357295552885814,0.55899689990124
"Feb",-1.83680325383324,0.578654786523623,0.357271097417574
"Mar",-0.613499248285569,0.602567587641117,0.426543798565823
"Apr",-0.987916315417961,0.764900671442872,0.203177304925277
"May",-0.967508962999911,0.843346529958529,0.140752708276267
"Jun",-1.35221745777216,0.41558466447544,0.319346128063223
"Jul",-1.51569298017352,0.196072288317282,0.195094468707905
"Aug",-0.960402956303291,0.0909464565579159,0.0985206012906886
"Sep",-0.358812596275001,0.0585810046137532,-0.0231884036480372
"Oct",-0.488925353778043,0.0403053263518336,0.0686801315720804
"Nov",-0.555596628565617,0.214603212514217,0.00169780893382649
"Dec",-0.690254968504401,0.705645935310624,0.227233349495546
