"","b0","ppa.airT"
"Jan",-2.44471313295547,0.701789685770584
"Feb",-4.42971139116228,0.668307693896073
"Mar",-3.47982609860008,0.711769676823408
"Apr",-0.317957143744143,0.781711879925626
"May",1.70907096673002,0.867429840003504
"Jun",2.55747460503903,0.861393579408869
"Jul",2.15157689203179,0.917271255190456
"Aug",1.27308069848577,0.947480621968413
"Sep",0.102821930549075,1.00176889233238
"Oct",0.346282865006119,0.813951094121171
"Nov",0.380607769839742,0.676737508516754
"Dec",-1.66660108603156,0.689862720104893
