series,pith.offset
1552.1a,4
1552.1b,4
1552.2a,2
1552.2b,2
1553.1a,3
1553.1b,3
1553.2a,3
1553.2b,3
1554.1a,0
1554.1b,0
1554.2a,2
1554.2b,2
1555.1a,4
1555.1b,4
1555.2a,3
1555.2b,3
1556.1a,4
1556.1b,4
1556.2a,4
1556.2b,4
1557.1a,3
1557.1b,3
1557.2a,4
1557.2b,4
1558.1a,3
1558.1b,3
1558.2a,0
1558.2b,0
1559.1a,2
1559.1b,2
1559.2a,3
1559.2b,3
1839.1a,4
1839.1b,4
1839.2a,2
1839.2b,2
1841.1a,3
1841.1b,3
1842.1a,6
1842.1b,6
1842.2a,3
1842.2b,3
1843.1a,4
1843.1b,4
1843.2a,6
1843.2b,6
1844.1a,8
1844.1b,8
1845.1a,5
1845.1b,5
1845.2a,0
1845.2b,0
1847.1a,20
1847.1b,20
1847.2a,5
1847.2b,5
1848.1a,6
1848.1b,6
1848.2a,0
1848.2b,0
1850.1a,8
1850.1b,8
1850.2a,3
1850.2b,3
1953.1a,
1953.1b,8
1953.2a,5
1953.2b,5
1955.1a,4
1955.1b,4
1955.2a,5
1955.2b,5
