"","b0","wsu.airT"
"Jan",-6.07097668514287,0.721661448622043
"Feb",-5.27959789093322,0.811843433677822
"Mar",-2.14364411110597,0.950634675225184
"Apr",-2.31446777144716,0.975327203955808
"May",-1.85841340416107,0.952720670089183
"Jun",-1.73053703634125,0.97646262134215
"Jul",0.371535701051947,0.861857299797294
"Aug",1.63148625807661,0.814812842756563
"Sep",1.53622123637948,0.783060902711218
"Oct",-0.0501593163494792,0.792699370200012
"Nov",-0.964822435587556,0.848950115141685
"Dec",-2.11640142605969,0.842309090024839
