"","b0","tun.airT"
"Jan",-3.99247217379545,0.59480474385829
"Feb",-12.9817396575447,0.282232487699785
"Mar",-5.76547740424643,0.556386411324084
"Apr",0.35340557229001,0.750652417276631
"May",1.73188637886511,0.410679606572107
"Jun",3.53331698115383,0.557976120754098
"Jul",6.8643454208923,0.360037885261374
"Aug",4.60907110441352,0.504987032804583
"Sep",0.705082150355007,0.703133358171164
"Oct",0.38351185361018,0.488252611489135
"Nov",0.0956047652778641,0.771140089640467
"Dec",-1.40873421840801,0.631950537380516
