"","b0","tun.surfT"
"Jan",-4.14196510374803,0.614727650951957
"Feb",-6.53156586204609,0.547709318931722
"Mar",-5.28295025612455,0.573757646842583
"Apr",-1.54514784120636,0.63266049696325
"May",1.19906676497515,0.632069579404996
"Jun",2.63017852507689,0.639449305742001
"Jul",3.74745984280495,0.616785507200998
"Aug",3.06389687077445,0.628034844772804
"Sep",0.666769567120979,0.724215476016347
"Oct",0.378502103025593,0.497583256571287
"Nov",0.18832954961056,0.701432852392891
"Dec",-1.64998868358341,0.706360944947918
