year,site,elev,lat,lon,line,height,shrub,organic,density,ph,thaw,TI_0,FI_0,CSP_CRU,WSP_CRU,late.TDD,total.TDD,late.FDD,total.FDD
1992,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,59,1.35,0.56,208.92,232.99,1029,1036,-1247,-1293
1993,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,47,1.42,0.65,145.06,226.27,1176,1234,-1755,-1797
1994,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,52,1.21,0.56,163.77,234.93,1291,1342,-1840,-1875
1995,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,50,1.35,0.43,161.37,221.15,1186,1308,-1626,-1629
1996,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,42,0.59,0.38,163.84,282.76,945,1001,-1864,-1947
1997,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,52,1.23,0.39,143.98,299.67,1081,1189,-1792,-1826
1998,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,60,1.15,0.54,146.44,224.76,1074,1102,-1737,-1766
1999,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,52,0.43,0.39,147.26,251.65,966,1023,-1394,-1428
2000,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,56,0.46,0.42,147.52,280.70,926,953,-1089,-1111
2001,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,58,1.23,0.94,149.73,265.14,1026,1086,-1132,-1140
2002,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,59,1.17,0.31,136.31,298.30,1031,1103,-1488,-1514
2003,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,62,1.22,0.61,162.05,258.91,1107,1185,-1199,-1224
2004,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,61,1.19,0.51,171.87,203.35,1254,1261,-1541,-1573
2005,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,65,0.62,0.28,226.58,198.48,1122,1193,-964,-969
2006,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,67,1.20,1.13,150.69,177.95,1123,1204,-1232,-1237
2007,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,70,1.12,0.51,138.84,183.21,1128,1203,-1434,-1447
2008,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,53,0.51,0.31,122.06,224.87,926,1007,-1432,-1438
2009,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,57,1.16,0.37,125.54,194.42,1175,1262,-1579,-1592
2010,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,75,0.75,0.56,95.17,186.17,1229,1281,-1339,-1358
2011,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,64,0.78,0.39,149.01,229.28,1129,1199,-1548,-1555
2012,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,67,0.60,0.35,170.87,218.64,1144,1233,-1407,-1410
2013,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,59,1.20,1.18,139.47,250.89,1222,1336,-1637,-1644
2014,BP,1272,63.292027,-129.839117,A,4,1,3.02,0.28,4.8,74,1.13,0.78,186.05,277.70,1141,1218,-1632,-1652
1992,BP,1272,63.292027,-129.839117,B,4,1,3.02,0.28,4.8,46,1.35,0.56,208.92,232.99,1029,1036,-1247,-1293
1993,BP,1272,63.292027,-129.839117,B,4,1,3.02,0.28,4.8,41,1.42,0.65,145.06,226.27,1176,1234,-1755,-1797
1994,BP,1272,63.292027,-129.839117,B,4,1,3.02,0.28,4.8,46,1.21,0.56,163.77,234.93,1291,1342,-1840,-1875
1995,BP,1272,63.292027,-129.839117,B,4,1,3.02,0.28,4.8,47,1.35,0.43,161.37,221.15,1186,1308,-1626,-1629
1996,BP,1272,63.292027,-129.839117,B,4,1,3.02,0.28,4.8,39,0.59,0.38,163.84,282.76,945,1001,-1864,-1947
1997,BP,1272,63.292027,-129.839117,B,4,1,3.02,0.28,4.8,43,1.23,0.39,143.98,299.67,1081,1189,-1792,-1826
1998,BP,1272,63.292027,-129.839117,B,4,1,3.02,0.28,4.8,52,1.15,0.54,146.44,224.76,1074,1102,-1737,-1766
1999,BP,1272,63.292027,-129.839117,B,4,1,3.02,0.28,4.8,44,0.43,0.39,147.26,251.65,966,1023,-1394,-1428
2000,BP,1272,63.292027,-129.839117,B,4,1,3.02,0.28,4.8,46,0.46,0.42,147.52,280.70,926,953,-1089,-1111
2001,BP,1272,63.292027,-129.839117,B,4,1,3.02,0.28,4.8,46,1.23,0.94,149.73,265.14,1026,1086,-1132,-1140
2002,BP,1272,63.292027,-129.839117,B,4,1,3.02,0.28,4.8,44,1.17,0.31,136.31,298.30,1031,1103,-1488,-1514
