"","b0","gf.soilT"
"Jan",-2.13693780452885,0.00745332552674162
"Feb",-1.6708349009943,0.195473190865779
"Mar",-0.315175067372757,0.395598511616531
"Apr",-0.477894050966144,0.238857021782671
"May",2.15608580451324,2.08519792431303
"Jun",6.20240077784379,0.873206485613598
"Jul",5.81450929755178,0.807251299700075
"Aug",1.93198392683275,1.11650193759954
"Sep",1.39902104840253,1.34375569428764
"Oct",-0.563587047554354,0.417762634629387
"Nov",-1.13556184230077,-0.0310092788838784
"Dec",-1.99861678087699,-0.128409640446635
