"","b0","gf.soilT"
"Jan",-0.606886657470125,0.235625315690914
"Feb",-0.400985357531418,0.438795132319174
"Mar",-1.28608621432792,0.348364830042123
"Apr",-1.01343395340078,0.37147975340626
"May",-0.382923890607839,0.615605257230957
"Jun",4.13551878420059,1.19592808283487
"Jul",5.15598999832438,0.864428265566931
"Aug",-0.776811943603395,1.48521277326401
"Sep",-0.600181713063993,1.55407687420246
"Oct",-0.630087181073739,0.253348461876907
"Nov",0.316057753313154,0.548327870498141
"Dec",0.0367244612934129,0.342879022328015
