"","b0","gf.soilT"
"Jan",-0.252396939674444,0.321855846690115
"Feb",-0.605171355404124,0.273491413087266
"Mar",-1.05265606822357,0.249764804799047
"Apr",-0.296134634651881,0.408471223291356
"May",0.805728208411478,1.78761107840667
"Jun",4.72497235128774,1.20983588816544
"Jul",5.3330869519237,0.872349009162011
"Aug",0.0950696552899345,1.37602173619535
"Sep",-0.0801404741725574,1.67175514116528
"Oct",-0.589162495542422,0.208428140808021
"Nov",-0.052313915301878,0.345492713580118
"Dec",-0.0205880373519791,0.318007838848908
