year,bp.150,hf.150,d6.150,d2.150,gf.150,bp.0,hf.0,d6.0,d2.0,gf.0,bp.neg150,hf.neg150,d6.neg150,d2.neg150,gf.neg150
1990,,,,,,,,,,,,,,,
1991,-4.420272833,-4.488391781,,-4.458914086,-6.769030108,-0.497918529,-2.940063014,,-2.394444674,-4.623419726,-0.788095099,-2.477282192,,-2.769009879,-1.746757295
1992,-5.460803772,-5.685532787,,-5.535621347,-7.599202186,-1.01338468,-1.142010929,,-2.564647977,-5.803844262,-0.799396785,-1.774136612,,-2.27167236,-1.576620219
1993,-5.182566583,-5.428876712,,-4.771276712,-5.757578082,-1.444621972,-1.238126027,,-3.16469589,-5.244758904,-1.136065509,-1.992926027,,-3.283426138,-1.440290411
1994,-7.129558904,-7.066687671,,-6.430241086,-7.166676712,-1.539682192,-2.204676227,,-2.088749774,-5.850887671,-1.249224658,-2.005284932,,-2.184405641,-1.670386301
1995,-6.696124508,-6.45644779,,-6.015743303,-6.366093151,-1.109933869,-0.884717238,,-1.605723288,-5.538460274,-0.898340639,-1.663590945,,-2.837325262,-1.365767123
1996,-9.316915301,-9.272040984,-8.393661202,-8.383019545,-8.907745902,-2.358825137,-2.358800546,0.246560109,-3.12247384,-5.917245902,-1.001846995,-1.899759563,-0.391658834,-2.526643584,-1.370674863
1997,-6.08959329,-5.928309363,-5.414704773,-5.642627522,-6.204139726,-1.863569199,-1.985514762,0.869340424,-1.397111516,-3.575106849,-1.114933724,-1.913374239,-0.509102675,-2.205913154,-1.875624658
1998,-6.980654795,-6.65549589,-6.170421918,-6.497475078,-6.204139726,-1.079246575,-0.981254795,0.912786301,-1.106483931,-2.913505689,-0.879484932,-1.333638356,-0.218827503,-1.42471092,-1.273526128
1999,-6.162142466,-6.039780822,-5.544230137,-6.344229458,-6.477193108,-0.35649863,-0.761964384,0.524046575,-2.5019232,-3.482674729,-0.956468493,-1.630238356,-0.38062179,-1.799932499,-1.294155302
2000,-6.410448927,-6.446620219,-5.720964481,-6.264431435,-7.086624743,-0.454333058,-1.546653005,0.502431694,-2.57545947,-4.122996077,-0.395124576,-1.102265027,-0.281983332,-2.269918635,-1.311646242
2001,-5.954687505,-6.182942466,-5.493463014,-5.74478555,-6.619592553,-0.447237145,-1.450632877,0.465353425,-2.254166827,-3.216284101,-0.796881407,-1.192547945,-0.373920548,-2.221217937,-1.300374391
2002,-5.723600147,-6.111761644,-5.499863102,-5.358488379,-6.931732237,-0.921794387,-1.421832877,0.147771511,-2.308935869,-4.012619327,-0.738829441,-1.448860274,-0.512916401,-2.240820429,-1.335849944
2003,-6.323030137,-6.307539504,-5.728186301,-5.98870137,-6.574923179,-0.483641096,-0.903813699,0.971821918,-1.779654795,-4.235518871,-0.643027397,-1.210769863,-0.254534247,-1.695333603,-1.094581228
2004,-6.17720765,-6.255372675,-5.376959016,-5.685174863,-6.768460821,-0.303756831,-0.610844262,1.551795082,-1.386989071,-3.723112022,-0.600218579,-1.473516393,-0.487228253,-2.95323224,-1.334538251
2005,-5.135745205,-5.209514258,-4.518980822,-4.786490411,-5.336958904,0.59619726,-0.078517808,1.729041096,-0.655186301,-2.222520548,-0.285794521,-1.012482192,-0.270102868,-1.226213699,-1.0366
2006,-6.610241096,-6.973798259,-6.321212176,-6.532989041,-6.930657534,-0.546849315,-1.649046803,1.246861073,-1.96579726,-2.669967123,-0.311191781,-1.119184262,-0.387967344,-2.359983562,-0.836005479
2007,-6.587335845,-6.649687347,-6.260049315,-6.609257534,-7.363726027,-0.073863014,-0.657381845,1.007923288,-1.896320548,-2.674109589,-0.724978082,-1.546114048,-0.384962748,-1.914224658,-1.368131507
2008,-8.444338125,-8.679723834,-6.90054918,-7.115968432,-7.623918033,-1.580738549,-1.986346995,0.774819672,-3.684595628,-3.081386669,-0.831183215,-1.478407104,-0.34496395,-2.424538197,-0.932920765
2009,-6.949421797,-7.092227397,-6.867783474,-6.627069269,-7.053845743,-0.767610217,-1.942945924,0.7552802,-4.101449315,-3.848515375,-0.778848284,-1.804328767,-0.301686441,-2.614237867,-1.258962578
2010,-5.541693385,-5.667726027,-5.396994521,-5.150156164,-6.177635786,-0.284603603,-0.226377961,0.304252055,-0.161257534,-3.585621868,-0.772809401,-1.218342466,-0.391170209,-2.246980822,-1.266680824
2011,-6.694004654,-6.827539726,-6.53393908,-6.510066065,-7.215805001,-0.794133882,-1.672156091,1.618606731,-1.462471171,-2.521180793,-0.750114194,-0.90229863,-0.315279641,-1.250523502,-1.223005781
2012,-7.491737621,-7.692527322,-6.211896175,-6.421786334,-7.809704918,-0.854479545,-3.145543716,1.417111232,-3.093081512,-2.035751366,-0.763969487,-1.589934426,-0.578190514,-2.115301584,-0.600961749
2013,-6.630252789,-6.839510079,-7.21898041,-7.309938768,-7.081391781,-0.538904595,-2.010620675,0.801789513,-3.146678255,-2.99799726,-0.847882591,-2.597869402,-0.225591703,-1.46774182,-0.955517808
2014,-5.720216438,-5.879684932,-5.333306849,-5.679252055,-6.048608219,-1.018906568,-0.447906849,1.586830137,-2.352421918,-2.123641096,-0.859884933,-1.424972373,-1.123019616,-3.402572603,-1.179350685
2015,-4.987375342,-5.22759726,-4.490388676,-4.760972745,-5.6318159,-2.252430331,0.269668493,1.902482577,0.433249315,-1.787629997,-0.32810137,-1.379951208,-0.521670901,-0.822641096,-0.700864692
2016,-4.115161202,-4.271636612,-3.760524783,-4.345218528,-4.935177228,-1.59342793,-0.748314208,1.827598806,0.147663934,-1.798402084,-0.213666667,-0.98038934,-0.195500764,-0.777095173,-0.985450763
