year,season,hf.150,bp.150,d6.150,d2.150,gf.150,hf.0,bp.0,d6.0,d2.0,gf.0,hf.neg150,bp.neg150,d6.neg150,d2.neg150,gf.neg150
1991,cool,-12.3152783,-12.11023923,,-11.53062629,-14.50449528,-10.34263208,-5.977660816,,-7.78913833,-10.7544717,-3.274943396,-0.90006042,,-3.533069843,-2.101216981
1992,cool,-12.74935211,-12.2985979,,-11.97584155,-14.59048826,-7.523784038,-6.171040999,,-8.128223509,-11.08023474,-2.233338028,-0.885294779,,-2.71099803,-1.948197183
1993,cool,-14.01823585,-13.47920755,,-12.25364151,-13.15515094,-8.730382075,-8.088254717,,-9.113150943,-11.12911321,-2.611028302,-1.465273585,,-4.063728965,-1.892891509
1994,cool,-17.65365566,-17.53611792,,-16.01435094,-16.38133019,-10.35487264,-8.832533019,,-8.798025008,-12.81591981,-2.69620283,-1.685372642,,-2.612199926,-2.228264151
1995,cool,-16.7411934,-16.8422783,,-15.18554245,-15.19270755,-8.090042453,-8.001216981,,-7.592424528,-12.21975472,-2.156056604,-1.088292453,-0.079755077,-3.494465664,-1.809235849
1996,cool,-19.7244554,-19.21369014,-17.8385493,-17.62187396,-17.50757277,-9.077624413,-8.335131455,-3.045957746,-8.798034861,-11.63131925,-2.265140845,-0.709305164,-0.463102983,-2.877692732,-1.665985915
1997,cool,-15.50299528,-15.34596102,-13.98924057,-14.12844519,-14.42364623,-8.80134434,-8.752866961,-2.73179717,-6.944007,-10.25401887,-2.498981132,-1.154921508,-0.603736242,-2.674484907,-2.45284434
1998,cool,-16.76770283,-16.70381604,-15.37789151,-15.72104145,-14.42364623,-7.51459434,-6.943745283,-2.070853774,-6.219219975,-9.365780173,-1.715283019,-0.772466981,-0.227260402,-1.749846631,-1.619901466
1999,cool,-15.11490094,-14.81653302,-13.79562264,-14.16690449,-14.38841071,-6.81954717,-5.33040566,-2.577886792,-7.292032869,-9.408439205,-2.042716981,-0.899528302,-0.391854106,-2.141622319,-1.603070166
2000,cool,-15.06532394,-14.66528638,-13.37918779,-13.96856555,-14.58994266,-7.427779343,-5.11200939,-2.37728169,-7.801444158,-9.873889084,-1.283690141,-0.274938967,-0.252985443,-2.691676577,-1.610051645
2001,cool,-15.29303302,-14.63592703,-13.65695283,-13.76742086,-14.61267324,-7.716613208,-5.838029583,-2.701584906,-7.935275677,-9.013374826,-1.395429245,-0.783610637,-0.372580189,-2.700907064,-1.639061216
2002,cool,-14.74415566,-14.12371569,-13.29271226,-13.00520119,-14.57784752,-7.562231132,-6.509036737,-3.556415094,-7.801841422,-10.06522788,-1.687929245,-0.875122051,-0.525318822,-2.742980935,-1.641591059
2003,cool,-15.12185377,-15.18588208,-13.70799528,-14.03131604,-14.02140076,-6.933009434,-6.146632075,-2.726570755,-7.375481132,-10.22856787,-1.434858491,-0.914523585,-0.24295283,-2.046617925,-1.343623341
2004,cool,-15.31185915,-15.27204225,-13.81855869,-13.94965258,-14.83629792,-6.704666667,-6.092624413,-3.105446009,-7.224910798,-10.25175587,-1.75843662,-0.900873239,-0.553086025,-3.757051643,-1.651455399
2005,cool,-13.90718257,-13.90034434,-12.43504245,-12.57475,-12.93015094,-5.21954717,-4.550009434,-2.751117925,-6.084160377,-8.230051887,-1.233745283,-0.562650943,-0.198262014,-1.428660377,-1.309830189
2006,cool,-16.65204245,-16.57645755,-15.53888679,-15.61777358,-15.539,-8.190910377,-6.557004717,-2.740693396,-8.371245283,-8.943900943,-1.318377358,-0.56670283,-0.347104073,-2.928863208,-1.005179245
2007,cool,-16.47800934,-16.33643671,-15.39213679,-15.65396698,-16.24806132,-7.204514151,-5.699108491,-3.689509434,-7.778056604,-8.732382075,-2.099235849,-1.118240566,-0.42089079,-2.193688679,-1.746858491
2008,cool,-18.85029542,-18.48368153,-15.95144601,-16.08352113,-16.02294836,-8.175793427,-7.418882792,-3.674619718,-10.72432864,-8.972129207,-1.88157277,-0.975422862,-0.357028111,-3.062350975,-1.107150235
2009,cool,-17.38535377,-17.07230979,-16.21074528,-15.91563679,-16.02568475,-9.07463356,-7.195813319,-3.019707547,-11.77183019,-10.37892554,-2.337886792,-0.936519949,-0.252611515,-3.357319824,-1.621068284
2010,cool,-15.02920755,-14.78853408,-13.8717783,-13.54800472,-14.3973893,-6.278103995,-6.452963055,-0.889481132,-5.499481132,-9.865125285,-1.602358491,-0.943738604,-0.397084198,-2.906070755,-1.608064265
2011,cool,-16.74814151,-16.47701012,-15.54615566,-15.52111807,-15.85473628,-7.821768868,-7.011336081,-1.361028302,-6.160992694,-7.971797514,-1.076084906,-0.93227735,-0.368096022,-1.303404901,-1.552298676
2012,cool,-18.32596244,-17.98107832,-14.79221596,-15.0405777,-16.83522535,-10.38771362,-7.243167643,-2.136582684,-9.452414678,-7.125,-2.219122066,-0.955824903,-0.819634294,-2.63782837,-0.732793427
2013,cool,-17.45162736,-17.01189967,-16.59146226,-16.73714151,-16.46218396,-8.816466981,-7.153067445,-2.893944489,-9.797858491,-9.408919811,-3.760537736,-1.081373917,-0.223019388,-1.867080189,-1.176023585
2014,cool,-15.31711321,-14.94206132,-13.95398113,-14.13282547,-14.10424057,-6.229990566,-7.410870298,-2.487264151,-8.225419811,-7.500391509,-1.761544384,-1.173900947,-1.829956944,-4.288080189,-1.543745283
2015,cool,-13.96744811,-13.49544811,-12.25390566,-12.72760795,-13.16623477,-5.135495283,-9.477877013,-0.310193396,-3.612103774,-6.400994545,-1.711962329,-0.475103774,-0.656462329,-0.759650943,-0.713492191
2016,cool,-13.06468075,-12.75764789,-11.51411348,-12.39974785,-12.64516493,-7.124431925,-8.451194735,-0.645732394,-4.64670892,-6.746992886,-1.246184798,-0.385840376,-0.12224609,-0.736746479,-1.261371462
2017,cool,-15.67693868,-15.1240283,-13.87473388,-14.0222783,-14.79775,-7.616424528,-4.795311993,-2.567386792,-7.798971698,-4.657278302,-1.495499095,-0.656641509,-0.510920909,-2.266070755,-0.511575472
1991,warm,6.356705882,6.235105437,,5.339798256,3.949392227,7.317091503,7.094926993,,5.080555686,3.871894117,-1.372026144,-0.632953608,,-1.710312412,-1.255610541
1992,warm,4.148411765,4.058478244,,3.430175404,2.133764706,7.742418301,6.166881961,,5.180721882,1.541718954,-1.134856209,-0.679813304,,-1.660062115,-1.059326797
1993,warm,6.472718954,6.313432662,,5.596444444,4.492653595,9.143300654,7.76093451,,5.077607843,2.90872549,-1.136470588,-0.679907914,,-2.202222222,-0.813156863
1994,warm,7.602836601,7.289986928,,6.849701974,5.601339869,9.088406387,8.565444444,,7.207762316,3.800006536,-1.047934641,-0.644888889,,-1.591644932,-0.897379085
1995,warm,7.794310827,7.362598395,,6.690122187,5.864248366,9.09913208,8.438772144,,6.689575163,3.719281046,-0.981220228,-0.635139433,-0.090955941,-1.926777778,-0.751287582
1996,warm,5.279359477,4.460947712,4.755104575,4.478915033,3.064562092,6.994856209,5.961130719,4.830261438,4.778797386,2.037640523,-1.391091503,-1.409111111,-0.292197373,-2.037928105,-0.959555556
1997,warm,7.338575703,6.73622343,6.466351359,6.115498921,5.184980392,7.458641253,7.68238587,5.859151992,6.288782881,5.679333333,-1.101945079,-1.059525815,-0.377976426,-1.556650334,-1.075816993
1998,warm,7.356189542,6.491960784,6.587640523,6.282891402,5.184980392,8.071477124,7.04672549,5.046980392,5.977830065,6.026900785,-0.804823529,-1.027771242,-0.207142701,-0.974196078,-0.793581215
1999,warm,6.534895425,5.829562092,5.889071895,4.49503268,4.484755458,7.63154902,6.53545098,4.822150327,4.135352941,4.728188466,-1.058699346,-1.035366013,-0.365058057,-1.326479937,-0.866116405
2000,warm,5.55196732,5.08157969,4.94048366,4.460931741,3.359170785,6.640797386,6.02988301,4.511444444,4.699930978,3.883149089,-0.84969281,-0.562441796,-0.322352941,-1.682765422,-0.896219113
2001,warm,6.440189542,6.074219545,5.818039216,5.371545735,4.455787223,7.231640523,7.022357605,4.853529412,5.617696416,4.816286054,-0.911431373,-0.815269664,-0.375777778,-1.556550649,-0.831082843
2002,warm,5.849464052,5.915775645,5.298071685,5.236956819,3.662885016,7.086431373,6.82000547,5.280369944,5.302148949,4.374001681,-1.117601307,-0.54997955,-0.495731348,-1.545016329,-0.912208661
2003,warm,5.905758699,5.957522876,5.328803922,5.155313725,3.743071895,7.450366013,7.363117647,6.096392157,5.974039216,4.068575163,-0.900267974,-0.266836601,-0.270581699,-1.208586699,-0.749503268
2004,warm,6.352677131,6.484228758,6.375071895,5.82027451,4.463233962,7.872712418,7.755254902,8.035405229,6.740313725,5.365784314,-1.076862745,-0.181660131,-0.395543903,-1.834189542,-0.893339869
2005,warm,6.842156863,7.008666667,6.449679739,6.005084967,5.184326797,7.045,7.726888889,7.936843137,6.867313725,6.101640523,-0.705895425,0.097823529,-0.369647058,-0.945699346,-0.658006536
2006,warm,6.436579318,7.199156863,6.450990559,6.055078431,4.99724183,7.415496189,7.780947712,6.772099944,6.90972549,6.023326797,-0.843178141,0.042849673,-0.444588347,-1.571732026,-0.601594771
2007,warm,6.968641167,6.921222222,6.393562092,5.923281046,4.946594771,8.414461611,7.720594771,7.516784314,6.253535948,5.720359477,-0.779696911,-0.180065359,-0.335180101,-1.526993464,-0.843359477
2008,warm,5.479307195,5.532002693,5.699718954,5.368271594,4.068849673,6.630333333,6.546874026,6.969137255,6.115816993,5.11945098,-0.917137255,-0.630379002,-0.328168746,-1.53660276,-0.690366013
2009,warm,7.170143791,7.077063527,6.078019816,6.243364163,5.377722024,7.938869625,8.139442447,5.985982178,6.52679085,5.200157537,-1.065019608,-0.560375126,-0.369685685,-1.584607965,-0.757221338
2010,warm,7.303738562,7.270922483,6.345843137,6.486078431,5.211826595,8.159020205,8.262404264,6.958313725,7.235496732,5.115389402,-0.68624183,-0.535966321,-0.382975663,-1.333732026,-0.793652788
2011,warm,6.918653595,6.861532334,5.953576705,5.975836059,4.754478868,6.848875992,7.820551518,5.747251352,5.047898521,5.031307734,-0.661496732,-0.497705114,-0.242096159,-1.177249929,-0.766730658
2012,warm,7.110882353,7.111070015,5.733254902,5.576923214,4.755235294,6.93669281,8.039576435,6.364410605,5.760107796,5.049281046,-0.714006536,-0.496876653,-0.242062899,-1.387862333,-0.417431373
2013,warm,7.864861577,7.754774267,5.767726472,5.752590522,5.916830065,7.419702312,8.625817784,5.922675842,6.069336189,5.885111111,-0.986851842,-0.524352127,-0.229155957,-0.914410225,-0.649980392
2014,warm,7.197013072,7.057764706,6.611679739,6.034196078,5.113444444,7.563869281,7.837932064,7.231980392,5.785326797,5.326496732,-0.958611155,-0.424777778,-0.143472468,-1.175594771,-0.674437908
2015,warm,6.882522876,6.801588235,6.266902833,6.277763611,4.808032469,7.759176471,7.759299713,4.968412684,6.038575163,4.60474441,-0.919909653,-0.124411765,-0.334901079,-0.909921569,-0.683367767
2016,warm,7.969660131,7.916535948,7.033686933,6.867949749,5.798335062,8.12824183,7.953659191,5.270863811,6.822183007,5.090812561,-0.61036037,0.026026144,-0.297482762,-0.833266885,-0.601325867
2017,warm,7.896130719,7.910928105,7.084988713,7.053169935,6.137975392,7.887287582,7.785694438,6.237673203,6.997235294,4.886370134,-0.67846661,-0.151163399,-0.325800151,-1.540385621,-0.405051201
