Temperature,cru.annual,ec.annual,bp.annual,hf.annual,d2.annual,d6.annual,gf.annual,cru.cold,ec.cold,bp.cold,hf.cold,d2.cold,d6.cold,gf.cold,cru.warm,ec.warm,bp.warm,hf.warm,d2.warm,d6.warm,gf.warm,pre.warm,pre.cold,pre.annual,bp.cst.0,hf.cst.0,gf.cst.0,d2.cst.0,d6.cst.0,bp.wst.0,hf.wst.0,gf.wst.0,d2.wst.0,d6.wst.0,bp.cst.150,hf.cst.150,gf.cst.150,d2.cst.150,d6.cst.150,bp.wst.150,hf.wst.150,gf.wst.150,d2.wst.150,d6.wst.150
1901,-6.750593583,,,,,,,,,,,,,,9.024362,,,,,,,210.83767,,423.00387,,,,,,,,,,,,,,,,,,,,
1902,-7.984058508,,,,,,,-15.64471826,,,,,,,8.6899595,,,,,,,235.88839,215.60507,440.38176,,,,,,,,,,,,,,,,,,,,
1903,-6.7684074,,,,,,,-15.43293073,,,,,,,8.80027925,,,,,,,213.79803,205.37006,421.18846,,,,,,,,,,,,,,,,,,,,
1904,-6.89392625,,,,,,,-14.81270338,,,,,,,8.58560325,,,,,,,223.46881,194.15656,428.64073,,,,,,,,,,,,,,,,,,,,
1905,-6.451009083,,,,,,,-13.976997,,,,,,,8.79638075,,,,,,,224.68753,217.13864,452.37989,,,,,,,,,,,,,,,,,,,,
1906,-6.579310667,,,,,,,-14.55880813,,,,,,,9.3487195,,,,,,,202.96965,238.91505,433.56126,,,,,,,,,,,,,,,,,,,,
1907,-7.365194425,,,,,,,-14.93646576,,,,,,,8.80569175,,,,,,,213.25235,230.10834,425.80095,,,,,,,,,,,,,,,,,,,,
1908,-7.05423275,,,,,,,-15.36258738,,,,,,,9.1561955,,,,,,,208.78705,222.27625,437.89171,,,,,,,,,,,,,,,,,,,,
1909,-7.301264133,,,,,,,-15.64683008,,,,,,,9.080051,,,,,,,219.73874,204.2978,433.54475,,,,,,,,,,,,,,,,,,,,
1910,-7.00331525,,,,,,,-14.749379,,,,,,,9.11871875,,,,,,,204.80909,214.74729,413.36392,,,,,,,,,,,,,,,,,,,,
1911,-7.023084492,,,,,,,-15.53646124,,,,,,,8.9523435,,,,,,,210.52208,225.22283,447.10616,,,,,,,,,,,,,,,,,,,,
1912,-7.264536917,,,,,,,-14.69827925,,,,,,,8.72440925,,,,,,,213.91766,224.38652,427.56917,,,,,,,,,,,,,,,,,,,,
1913,-6.964354833,,,,,,,-15.330684,,,,,,,8.85982125,,,,,,,210.95751,212.39832,433.98239,,,,,,,,,,,,,,,,,,,,
1914,-6.714814,,,,,,,-14.74414963,,,,,,,9.12839925,,,,,,,213.71767,226.28228,426.83744,,,,,,,,,,,,,,,,,,,,
1915,-7.164186,,,,,,,-14.51481588,,,,,,,9.125645,,,,,,,226.21083,209.93392,439.35537,,,,,,,,,,,,,,,,,,,,
1916,-7.191218783,,,,,,,-15.4989853,,,,,,,8.799225,,,,,,,216.18078,213.92287,434.94107,,,,,,,,,,,,,,,,,,,,
1917,-7.142121833,,,,,,,-15.37855025,,,,,,,9.10349025,,,,,,,207.64707,220.98194,437.30089,,,,,,,,,,,,,,,,,,,,
1918,-7.256005833,,,,,,,-15.25999738,,,,,,,8.735877,,,,,,,224.59689,233.08133,437.07079,,,,,,,,,,,,,,,,,,,,
1919,-7.402180858,,,,,,,-15.61384766,,,,,,,9.12913225,,,,,,,228.70495,194.22647,435.12328,,,,,,,,,,,,,,,,,,,,
1920,-6.607659333,,,,,,,-14.38837138,,,,,,,9.13982,,,,,,,209.05972,228.86427,422.47711,,,,,,,,,,,,,,,,,,,,
1921,-6.504755667,,,,,,,-14.6747475,,,,,,,9.32954075,,,,,,,223.87413,220.88635,464.34865,,,,,,,,,,,,,,,,,,,,
1922,-7.033727167,,,,,,,-15.20625688,,,,,,,9.04569125,,,,,,,221.40167,231.5338,451.38097,,,,,,,,,,,,,,,,,,,,
1923,-6.705854342,,,,,,,-14.98020364,,,,,,,9.37513925,,,,,,,235.41168,224.69531,466.62861,,,,,,,,,,,,,,,,,,,,
1924,-6.440595583,,,,,,,-14.22305025,,,,,,,9.002435,,,,,,,220.37709,234.34171,442.01794,,,,,,,,,,,,,,,,,,,,
1925,-6.574463167,,,,,,,-14.40743088,,,,,,,9.27454525,,,,,,,233.88931,220.15662,469.24219,,,,,,,,,,,,,,,,,,,,
1926,-6.223777892,,,,,,,-13.76335246,,,,,,,9.14637775,,,,,,,211.07621,225.38834,432.49154,,,,,,,,,,,,,,,,,,,,
1927,-6.8265115,,,,,,,-14.67688025,,,,,,,9.4697275,,,,,,,215.09656,230.11548,428.67396,,,,,,,,,,,,,,,,,,,,
1928,-6.537277667,,,,,,,-14.7696545,,,,,,,9.01142525,,,,,,,225.63852,195.8538,431.69849,,,,,,,,,,,,,,,,,,,,
1929,-6.89888005,,,,,,,-14.6910982,,,,,,,8.81468425,,,,,,,228.43869,232.17819,458.61085,,,,,,,,,,,,,,,,,,,,
1930,-6.478209667,,,,,,,-14.385503,,,,,,,9.39156075,,,,,,,213.31968,220.18524,439.18215,,,,,,,,,,,,,,,,,,,,
1931,-6.49649725,,,,,,,-14.78520375,,,,,,,9.50266225,,,,,,,227.67798,228.28834,455.07676,,,,,,,,,,,,,,,,,,,,
1932,-6.3171555,,,,,,,-13.77754875,,,,,,,9.57775375,,,,,,,216.57253,233.84498,453.63367,,,,,,,,,,,,,,,,,,,,
1933,-7.455041158,,,,,,,-15.39536236,,,,,,,8.880186,,,,,,,206.01295,216.02638,412.85221,,,,,,,,,,,,,,,,,,,,
1934,-5.817112833,,,,,,,-14.0932345,,,,,,,8.93821475,,,,,,,192.91061,216.50766,413.25898,,,,,,,,,,,,,,,,,,,,
1935,-6.451544167,,,,,,,-13.6370005,,,,,,,9.22151775,,,,,,,226.26679,223.54889,446.96029,,,,,,,,,,,,,,,,,,,,
1936,-6.467217083,,,,,,,-14.91029588,,,,,,,9.69224575,,,,,,,215.58372,216.40143,432.15322,,,,,,,,,,,,,,,,,,,,
1937,-5.966959333,,,,,,,-13.73374175,,,,,,,9.483671,,,,,,,224.61618,201.08608,412.79242,,,,,,,,,,,,,,,,,,,,
1938,-5.67741925,,,,,,,-13.46163325,,,,,,,9.84816375,,,,,,,230.25262,219.28728,454.1252,,,,,,,,,,,,,,,,,,,,
1939,-6.159282167,,,,,,,-13.8832125,,,,,,,9.08725,,,,,,,227.77265,217.14985,446.55274,,,,,,,,,,,,,,,,,,,,
1940,-6.289999667,,,,,,,-13.5649125,,,,,,,9.3800945,,,,,,,238.98875,204.24714,448.76799,,,,,,,,,,,,,,,,,,,,
1941,-7.075838083,,,,,,,-14.96692275,,,,,,,9.390872,,,,,,,232.1227,201.50808,429.16713,,,,,,,,,,,,,,,,,,,,
1942,-6.35489325,,,,,,,-14.86687925,,,,,,,9.2817905,,,,,,,231.04786,207.25632,454.20246,,,,,,,,,,,,,,,,,,,,
1943,-5.218873833,,,,,,,-13.07975463,,,,,,,9.498762,,,,,,,231.23006,247.9653,471.08915,,,,,,,,,,,,,,,,,,,,
1944,-5.492252083,,,,,,,-12.746383,,,,,,,9.282891,,,,,,,237.2071,240.8769,471.71559,,,,,,,,,,,,,,,,,,,,
1945,-6.386589917,,,,,,,-13.538078,,,,,,,9.37582925,,,,,,,242.35458,221.65313,475.15096,,,,,,,,,,,,,,,,,,,,
1946,-7.009814,,,,,,,-14.90616788,,,,,,,8.9606915,,,,,,,223.95651,230.34886,446.11514,,,,,,,,,,,,,,,,,,,,
1947,-6.40010675,,,,,,,-14.7791495,,,,,,,8.89532575,,,,,,,197.93462,216.97408,413.83917,,,,,,,,,,,,,,,,,,,,
1948,-6.015506417,,,,,,,-13.500808,,,,,,,9.46931325,,,,,,,234.52837,231.73822,474.64801,,,,,,,,,,,,,,,,,,,,
1949,-6.319144833,,,,,,,-13.71355888,,,,,,,8.90307575,,,,,,,215.66535,236.60663,452.69014,,,,,,,,,,,,,,,,,,,,
1950,-6.741740583,,,,,,,-14.48162775,,,,,,,8.90514275,,,,,,,227.60458,237.12314,462.858,,,,,,,,,,,,,,,,,,,,
1951,-6.493944333,,,,,,,-15.01357575,,,,,,,9.428351,,,,,,,215.92077,233.53748,450.09842,,,,,,,,,,,,,,,,,,,,
1952,-6.96761125,,,,,,,-14.18651438,,,,,,,9.18280025,,,,,,,247.25787,229.48629,476.28602,,,,,,,,,,,,,,,,,,,,
1953,-5.799803917,,,,,,,-14.19839463,,,,,,,9.729037,,,,,,,236.44528,239.97451,461.8404,,,,,,,,,,,,,,,,,,,,
1954,-6.32605475,,,,,,,-14.35768388,,,,,,,9.81899125,,,,,,,237.95332,200.38277,453.68115,,,,,,,,,,,,,,,,,,,,
1955,-7.14343625,,,,,,,-14.457522,,,,,,,8.99468275,,,,,,,217.89105,242.79137,471.84916,,,,,,,,,,,,,,,,,,,,
1956,-7.289185325,,,,,,,-15.42180736,,,,,,,8.892802,,,,,,,227.08696,231.09236,454.14172,,,,,,,,,,,,,,,,,,,,
1957,-6.427949667,,,,,,,-14.78004375,,,,,,,9.5856455,,,,,,,224.68587,239.02202,482.55937,,,,,,,,,,,,,,,,,,,,
1958,-7.056236692,,,,,,,-14.81146679,,,,,,,8.899452,,,,,,,209.92759,254.7203,447.16521,,,,,,,,,,,,,,,,,,,,
1959,-6.345871583,,,,,,,-14.4900465,,,,,,,9.30174475,,,,,,,236.53737,250.24434,462.11468,,,,,,,,,,,,,,,,,,,,
1960,-6.683178417,,,,,,,-14.7023595,,,,,,,9.3433965,,,,,,,242.95147,199.37892,456.97858,,,,,,,,,,,,,,,,,,,,
1961,-6.626741583,,,,,,,-14.27110175,,,,,,,9.25899375,,,,,,,240.71316,235.49177,475.92475,,,,,,,,,,,,,,,,,,,,
1962,-5.957387583,,,,,,,-13.89105725,,,,,,,9.026425,,,,,,,232.58216,240.69121,469.64129,,,,,,,,,,,,,,,,,,,,
1963,-6.24940475,,,,,,,-14.10415313,,,,,,,9.07068975,,,,,,,220.66792,227.72981,452.05476,,,,,,,,,,,,,,,,,,,,
1964,-7.241936867,,,,,,,-14.83869018,,,,,,,9.120188,,,,,,,197.13756,226.56172,428.69008,,,,,,,,,,,,,,,,,,,,
1965,-7.2727027,,,,,,,-14.9513743,,,,,,,8.63156425,,,,,,,232.7405,230.39676,460.4657,,,,,,,,,,,,,,,,,,,,
1966,-7.807699167,,,,,,,-16.499049,,,,,,,9.35624025,,,,,,,229.67759,234.03854,476.91571,,,,,,,,,,,,,,,,,,,,
1967,-5.96286025,,,,,,,-14.69525063,,,,,,,9.3656445,,,,,,,206.23275,261.80998,465.24807,,,,,,,,,,,,,,,,,,,,
1968,-6.960914917,,,,,,,-13.2584915,,,,,,,8.62294025,,,,,,,204.80469,258.62525,433.69558,,,,,,,,,,,,,,,,,,,,
1969,-7.27420135,,,,,,,-16.39184853,,,,,,,8.89812225,,,,,,,198.1036,192.52134,408.01954,,,,,,,,,,,,,,,,,,,,
1970,-6.736007475,,,,,,,-14.26103259,,,,,,,9.0887185,,,,,,,225.66824,230.73584,467.01411,,,,,,,,,,,,,,,,,,,,
1971,-6.8203645,,,,,,,-15.149905,,,,,,,9.2498175,,,,,,,211.35915,236.02533,450.22099,,,,,,,,,,,,,,,,,,,,
1972,-7.45904625,,,,,,,-15.18545388,,,,,,,8.7165185,,,,,,,201.91021,242.11284,429.94752,,,,,,,,,,,,,,,,,,,,
1973,-6.228776583,,,,,,,-14.39908025,,,,,,,9.56513625,,,,,,,216.69361,227.08063,459.97031,,,,,,,,,,,,,,,,,,,,
1974,-7.014292583,,,,,,,-14.88325338,,,,,,,9.5629365,,,,,,,232.64638,224.76631,438.8537,,,,,,,,,,,,,,,,,,,,
1975,-6.010062583,,,,,,,-14.18082563,,,,,,,9.39844175,,,,,,,248.0243,230.66025,499.74588,,,,,,,,,,,,,,,,,,,,
1976,-6.927137833,,,,,,,-14.64545713,,,,,,,9.13055275,,,,,,,216.58591,239.91319,411.71605,,,,,,,,,,,,,,,,,,,,
1977,-6.344114583,,,,,,,-14.2057355,,,,,,,9.35302825,,,,,,,220.08627,199.70957,461.92573,,,,,,,,,,,,,,,,,,,,
1978,-6.472048992,,,,,,,-14.20901549,,,,,,,8.46394975,,,,,,,236.64783,229.74245,463.22534,,,,,,,,,,,,,,,,,,,,
1979,-6.97956825,,,,,,,-15.12029575,,,,,,,9.0342255,,,,,,,238.84912,242.75009,472.8187,,,,,,,,,,,,,,,,,,,,
1980,-6.321911583,,,,,,,-13.943648,,,,,,,9.33601125,,,,,,,204.65698,221.38487,420.29031,,,,,,,,,,,,,,,,,,,,
1981,-5.065342667,,,,,,,-12.95913563,,,,,,,9.53844,,,,,,,226.63173,235.11341,463.81781,,,,,,,,,,,,,,,,,,,,
1982,-6.952090917,,,,,,,-14.12096288,,,,,,,8.964591,,,,,,,217.68774,234.60812,458.27436,,,,,,,,,,,,,,,,,,,,
1983,-5.894527083,,,,,,,-14.3330045,,,,,,,9.4496815,,,,,,,221.05212,260.00359,492.86721,,,,,,,,,,,,,,,,,,,,
1984,-6.47833225,,,,,,,-13.37915563,,,,,,,9.2488575,,,,,,,233.16233,234.8215,448.84704,,,,,,,,,,,,,,,,,,,,
1985,-6.71710875,,,,,,,-15.334584,,,,,,,9.14959025,,,,,,,218.13399,220.85258,448.1689,,,,,,,,,,,,,,,,,,,,
1986,-6.225565083,,,,,,,-13.78328238,,,,,,,8.91528025,,,,,,,233.36839,231.9516,453.59271,,,,,,,,,,,,,,,,,,,,
1987,-6.858973583,,,,,,,-14.36419738,,,,,,,8.8683075,,,,,,,223.68165,227.81088,449.56355,,,,,,,,,,,,,,,,,,,,
1988,-5.669973167,,,,,,,-14.01640025,,,,,,,9.885137,,,,,,,235.9416,225.42319,467.38953,,,,,,,,,,,,,,,,,,,,
1989,-5.801486333,,,,,,,-13.20213988,,,,,,,9.7511455,,,,,,,224.31872,243.57375,474.224,,,,,,,,,,,,,,,,,,,,
1990,-6.099161,,,,,,,-13.676632,,,,,,,9.53770475,,,,,,,228.13961,255.0324,493.22536,,,,,,,,,,,,,,,,,,,,
1991,-5.69867225,,-4.473128071,-4.543503424,-6.799538751,,-4.507939983,-14.0029135,,,,,,-13.69784056,10.072704,,6.938756232,7.189964516,6.073134822,,4.742312183,208.72741,243.24055,445.76138,-7.039384094,-12.83054434,-9.351718587,-9.207789555,,7.523102111,7.84759543,4.4408043,5.916265111,,-0.969097395,-3.391940235,-1.778300647,-3.680137086,,-0.485556491,-1.046967473,-1.013146608,-1.265632667,
1992,-6.421604167,,-5.457962773,-5.683637514,-7.631586207,,-5.543044722,-13.49392563,,,,,,-13.17587299,8.54298875,,5.436076075,5.486915054,4.53663378,,3.523965054,196.84454,253.80931,457.37419,-5.61632765,-7.575976577,-11.35621966,-6.702720187,,7.637825538,8.883233871,2.827091935,6.564281396,,-0.956861146,-2.257627009,-1.981320245,-2.654207954,,-0.452916667,-0.872079839,-0.814085753,-1.219010555,
1993,-5.763993333,,-5.262509078,-5.512692256,-5.826627522,,-4.847623464,-13.35151838,,-13.48549858,-14.24067588,-12.05674595,,-12.94854962,9.27738775,,7.291759709,7.570677957,6.41141828,,5.393107258,221.16039,249.68215,451.61732,-8.105261268,-9.289364714,-11.52891802,-10.48001124,,8.385450372,9.944105376,4.052196237,6.48869086,,-1.3526412,-2.770986065,-1.937961071,-3.177263935,,-0.481488505,-0.740932527,-0.603370161,-1.587662366,
