year,HF,BP,D6,D2,GF
1944,1.287027858,1.244210893,,,1.671148361
1945,,,,,
1946,,,,,
1947,,,,,
1948,,,,,
1949,,,1.336037624,0.934993164,1.703042226
1950,,,,,
1951,,,,,
1952,,,,,
1953,,,,,
1954,,,,,
1955,,,,,
1956,,,,,
1957,,,,,
1958,,,,,
1959,,,,,
1960,,,,,
1961,,,,,
1962,,,,,
1963,,,,,
1964,,,,,
1965,,,,,
1966,,,,,
1967,,,,,
1968,,,,,
1969,,,,,
1970,,,,,
1971,,,,,
1972,,1.219144665,1.802371668,0.943821023,
1973,,,,,
1974,1.241535058,,,,2.395720247
1975,,,,,
1976,,,,,
1977,,,,,
1978,,,,,
1979,,,,,
1980,,,,,
1981,1.22625992,1.263600086,2.104649467,0.921239089,1.980909663
1982,,,,,
1983,,,,,
1984,,,,,
1985,,,,,
1986,,,,,
1987,,,,,
1988,,,,,
1989,,,,,
1990,,,,,
1991,,,,,
1992,,,,,
1993,,,,,
1994,,,,,
1995,,,,,
1996,,,,,
1997,,,,,
1998,,,,,
1999,,,,,
2000,,,,,
2001,,,,,
2002,,,,,
2003,,,,,
2004,,,,,
2005,,,,,
2006,,,,,
2007,,,,,
2008,,,,,
2009,,,,,
2010,1.437750101,1.317513769,,,1.048016525
2011,,,,,
2012,,,,,
2013,,,1.40897821,0.934293965,
2014,,,,,
2015,,,,,
2016,1.45403804,1.442658215,1.385594002,0.929985552,1.009542826
