year,TI_0,TI5_0,TI150,FI_0,FI5_0,FI150,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
1992,1.2975,0.91,0,0.635,0.5125,0.3225,-9.4025,3.4125,-6.88,5.135,-2.025,-1.14,208.92,232.99
1993,0.885,0.785,0,0.5575,0.43,0.2175,-13.185,5.705,-8.345,6.2075,-2.575,-1.205,145.06,226.27
1994,0.9875,0.94,0,0.8,0.6975,0.2,-13.0625,6.8025,-8.22,7.1125,-2.305,-1.0475,163.77,234.93
1995,1.105,1.255,0,0.5525,0.4375,0.14,-12.9875,6.9375,-7.5175,6.99,-2.1,-1.07,161.37,221.15
1996,0.5925,0.7075,0.005,0.5725,0.585,0.23,-16.105,4.3175,-8.255,4.94,-2.0825,-1.4475,163.84,282.76
1997,1.042,0.89,0.062,0.378,0.322,0.174,-14.628,6.36,-6.582,6.574,-1.928,-1.042,143.98,299.67
1998,1.03,0.746,0.046,0.436,0.374,0.146,-12.084,6.372,-5.158,6.42,-1.264,-0.762,146.44,224.76
1999,0.832,0.748,0.03,0.366,0.318,0.152,-13.93,5.436,-5.758,5.562,-1.51,-0.93,147.26,251.65
2000,0.784,1.078,0.044,0.384,0.326,0.146,-12.16,4.682,-5.308,5.12,-1.28,-0.864,147.52,280.7
2001,1.06,1.01,0.056,0.572,0.482,0.128,-11.816,5.612,-5.746,5.902,-1.466,-0.904,149.73,265.14
2002,0.962,0.782,0.056,0.434,0.418,0.096,-14.268,5.198,-6.244,5.77,-1.568,-0.928,136.31,298.3
2003,1.158,0.904,0.024,0.552,0.488,0.128,-11.71,5.182,-4.674,6.17,-1.206,-0.684,162.05,258.91
2004,1.074,0.918,0.12,0.6,0.474,0.126,-12.542,5.894,-6.682,7.146,-1.792,-0.878,171.87,203.35
2005,0.986,0.852,0.034,0.342,0.282,0.102,-11.708,6.286,-3.924,7.126,-0.978,-0.518,226.58,198.48
2006,1.148,1.068,0.13,0.53,0.452,0.11,-12.228,6.22,-5.262,6.972,-1.246,-0.686,150.69,177.95
2007,1.124,0.776,0.072,0.47,0.384,0.11,-14.512,6.22,-6.12,7.114,-1.538,-0.736,138.84,183.21
2008,0.656,0.824,0.064,0.35,0.314,0.118,-14.088,5.216,-5.53,6.266,-1.518,-0.824,122.06,224.87
2009,1.08,0.798,0.06,0.502,0.474,0.206,-15.114,6.388,-7.17,6.75,-1.71,-0.878,125.54,194.42
2010,0.832,0.71,0.054,0.472,0.462,0.194,-11.402,6.504,-5.32,6.132,-1.524,-0.748,95.17,186.17
2011,0.872,0.75,0.068,0.244,0.19,0.066,-14.44,6.082,-5.018,6.092,-1.1,-0.672,149.01,229.28
2012,0.812,0.834,0.112,0.328,0.382,0.134,-12.63,6.054,-4.886,6.394,-1.306,-0.656,170.87,218.64
2013,1.03,0.754,0.014,1.2,0.85,0.264,-15.432,6.612,-8.428,6.794,-1.81,-0.66,139.47,250.89
2014,1.024,0.656,0.102,0.56,0.42,0.236,-13.652,6.518,-6.312,6.868,-2.104,-0.88,186.05,277.7
