site.line,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
BP.A,52,60,52,56,58,59,62,61,65,67,70,53,57,75,64,67,59,74
BP.B,43,52,44,46,46,44,43,40,48,52,51,48,48,52,71,67,69,70
BP.C,70,67,60,52,61,60,66,63,67,62,63,59,60,62,56,58,50,61
BP.D,60,53,64,45,63,59,57,55,65,61,61,56,52,62,56,55,62,56
BP.E,48,56,46,44,48,48,49,52,51,54,58,49,47,70,75,79,80,85
D2.A,49,55,51,56,57,51,59,57,63,55,55,58,68,58,53,56,57,56
D2.B,53,57,50,49,48,49,51,52,58,54,57,54,57,65,68,69,53,73
D2.C,51,65,52,60,58,71,69,77,98,78,121,86,46,112,93,97,116,118
D2.D,47,54,50,50,50,54,53,55,59,56,67,58,48,64,60,61,66,66
D6.A,79,69,58,58,60,54,62,58,61,62,66,58,52,65,68,63,65,66
D6.B,80,81,59,62,73,73,66,69,79,66,78,79,62,80,83,72,67,78
D6.C,88,119,82,113,123,83,130,148,137,122,138,157,155,161,157,162,112,146
GF.A,77,75,57,52,80,72,76,83,96,104,122,100,110,96,109,117,87,120
GF.B,92,121,102,113,112,91,95,120,111,144,109,115,47,76,83,90,98,95
HF.A,54,49,50,62,52,57,65,47,54,51,45,45,43,43,45,48,51,62
HF.B,49,64,50,54,74,51,56,53,53,62,62,51,54,67,58,66,53,72
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
