year,TI_0,TI5_0,TI150,FI_0,FI5_0,FI150,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
1992,1.35,0.80,0.00,0.56,0.48,0.06,-7.93,4.03,-4.89,6.16,-1.03,-0.68,208.92,232.99
1993,1.42,0.99,0.00,0.65,0.51,0.14,-13.49,6.30,-6.44,7.74,-1.37,-0.68,145.06,226.27
1994,1.21,0.88,0.00,0.56,0.80,0.15,-13.36,7.26,-6.79,8.54,-1.64,-0.64,163.77,234.93
1995,1.35,0.77,0.00,0.43,0.31,0.07,-13.47,7.37,-5.69,8.44,-0.88,-0.63,161.37,221.15
1996,0.59,0.39,0.02,0.38,0.28,0.11,-16.79,4.46,-7.25,5.95,-1.24,-1.41,163.84,282.76
1997,1.23,1.00,0.00,0.39,0.30,0.09,-15.17,6.72,-6.74,7.67,-1.15,-1.06,143.98,299.67
1998,1.15,0.39,0.00,0.54,0.42,0.05,-12.40,6.47,-6.30,7.03,-0.87,-1.03,146.44,224.76
1999,0.43,0.32,0.00,0.39,0.37,0.08,-14.82,5.82,-5.39,6.53,-1.22,-1.03,147.26,251.65
2000,0.46,1.35,0.00,0.42,0.37,0.03,-12.34,5.08,-4.10,6.02,-0.28,-0.56,147.52,280.70
2001,1.23,1.39,0.01,0.94,0.83,0.11,-11.89,6.06,-4.30,7.01,-0.93,-0.81,149.73,265.14
2002,1.17,0.87,0.00,0.31,0.48,0.08,-14.49,5.91,-5.50,6.82,-0.89,-0.55,136.31,298.30
2003,1.22,0.80,0.01,0.61,0.57,0.09,-12.06,5.93,-4.41,7.34,-0.85,-0.27,162.05,258.91
2004,1.19,0.86,0.04,0.51,0.40,0.10,-13.24,6.47,-5.76,7.75,-0.94,-0.18,171.87,203.35
2005,0.62,0.65,0.01,0.28,0.23,0.07,-12.10,7.00,-3.12,7.72,-0.55,0.10,226.58,198.48
2006,1.20,0.83,0.02,1.13,0.93,0.16,-12.70,7.20,-4.53,7.78,-0.53,0.04,150.69,177.95
2007,1.12,0.83,0.01,0.51,0.43,0.07,-14.93,6.91,-5.39,7.71,-1.05,-0.18,138.84,183.21
2008,0.51,0.97,0.00,0.31,0.29,0.09,-15.07,5.52,-5.28,6.54,-1.04,-0.63,122.06,224.87
2009,1.16,0.88,0.00,0.37,0.69,0.11,-15.60,7.07,-6.01,8.13,-1.00,-0.56,125.54,194.42
2010,0.75,0.85,0.00,0.56,0.46,0.13,-11.57,7.25,-4.70,8.24,-0.96,-0.54,95.17,186.17
2011,0.78,0.88,0.00,0.39,0.32,0.06,-14.77,6.85,-5.64,7.81,-0.98,-0.50,149.01,229.28
2012,0.60,0.89,0.00,0.35,0.55,0.09,-12.97,7.10,-5.20,8.03,-0.97,-0.49,170.87,218.64
2013,1.20,0.64,0.00,1.18,0.82,0.19,-16.14,7.76,-6.19,8.63,-1.18,-0.52,139.47,250.89
2014,1.13,0.65,0.00,0.78,0.65,0.18,-13.91,7.17,-6.08,7.97,-1.18,-0.44,186.05,277.70
