year,TI_0,TI5_0,TI150,FI_0,FI5_0,FI150,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
1992,1.35,0.8,0,0.56,0.48,0.06,8.86,4.03,2.36,6.16,0.61,0.73,208.92,232.99
1993,1.42,0.99,0,0.65,0.51,0.14,3.3,6.3,0.81,7.74,0.27,0.73,145.06,226.27
1994,1.21,0.88,0,0.56,0.8,0.15,3.43,7.26,0.46,8.54,0,0.77,163.77,234.93
1995,1.35,0.77,0,0.43,0.31,0.07,3.32,7.37,1.56,8.44,0.76,0.78,161.37,221.15
1996,0.59,0.39,0.02,0.38,0.28,0.11,0,4.46,0,5.95,0.4,0,163.84,282.76
1997,1.23,1,0,0.39,0.3,0.09,1.62,6.72,0.51,7.67,0.49,0.35,143.98,299.67
1998,1.15,0.39,0,0.54,0.42,0.05,4.39,6.47,0.95,7.03,0.77,0.38,146.44,224.76
1999,0.43,0.32,0,0.39,0.37,0.08,1.97,5.82,1.86,6.53,0.42,0.38,147.26,251.65
2000,0.46,1.35,0,0.42,0.37,0.03,4.45,5.08,3.15,6.02,1.36,0.85,147.52,280.7
2001,1.23,1.39,0.01,0.94,0.83,0.11,4.9,6.06,2.95,7.01,0.71,0.6,149.73,265.14
2002,1.17,0.87,0,0.31,0.48,0.08,2.3,5.91,1.75,6.82,0.75,0.86,136.31,298.3
2003,1.22,0.8,0.01,0.61,0.57,0.09,4.73,5.93,2.84,7.34,0.79,1.14,162.05,258.91
2004,1.19,0.86,0.04,0.51,0.4,0.1,3.55,6.47,1.49,7.75,0.7,1.23,171.87,203.35
2005,0.62,0.65,0.01,0.28,0.23,0.07,4.69,7,4.13,7.72,1.09,1.51,226.58,198.48
2006,1.2,0.83,0.02,1.13,0.93,0.16,4.09,7.2,2.72,7.78,1.11,1.45,150.69,177.95
2007,1.12,0.83,0.01,0.51,0.43,0.07,1.86,6.91,1.86,7.71,0.59,1.23,138.84,183.21
2008,0.51,0.97,0,0.31,0.29,0.09,1.72,5.52,1.97,6.54,0.6,0.78,122.06,224.87
2009,1.16,0.88,0,0.37,0.69,0.11,1.19,7.07,1.24,8.13,0.64,0.85,125.54,194.42
2010,0.75,0.85,0,0.56,0.46,0.13,5.22,7.25,2.55,8.24,0.68,0.87,95.17,186.17
2011,0.78,0.88,0,0.39,0.32,0.06,2.02,6.85,1.61,7.81,0.66,0.91,149.01,229.28
2012,0.6,0.89,0,0.35,0.55,0.09,3.82,7.1,2.05,8.03,0.67,0.92,170.87,218.64
2013,1.2,0.64,0,1.18,0.82,0.19,0.65,7.76,1.06,8.63,0.46,0.89,139.47,250.89
2014,1.13,0.65,0,0.78,0.65,0.18,2.88,7.17,1.17,7.97,0.46,0.97,186.05,277.7
