"","b0","bp.airT"
"Jan",-3.73331743081117,0.73992559902587
"Feb",-3.94391658876821,0.759455402930349
"Mar",-2.72890447823107,0.769880655054006
"Apr",-0.840515207792849,0.72088149698547
"May",0.130074935417034,0.808692640922887
"Jun",0.756676886257105,0.782934663062724
"Jul",1.40346951226576,0.800512679409493
"Aug",0.204823427833505,0.882900567034274
"Sep",-0.651754206871028,0.851051141886647
"Oct",-2.05524956564246,0.756459551214928
"Nov",-3.66707337547751,0.737108788285375
"Dec",-4.08793033529714,0.676630408809217
